"institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2025,NA,"10.1017/s0143814x25100664",FALSE,FALSE,"Cambridge University Press (CUP)","Journal of Public Policy","0143-814X","0143-814X","1469-7815","0143-814X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"cam2024csal","00pc48d59_cam2024csal_2025"
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2025,NA,"10.1017/s0025315425100830",TRUE,FALSE,"Cambridge University Press (CUP)","Journal of the Marine Biological Association of the United Kingdom","0025-3154","0025-3154","1469-7769","0025-3154","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","00pc48d59_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1112/s0010437x24007450",TRUE,FALSE,"Cambridge University Press (CUP)","Compositio Mathematica","0010-437X","0010-437X","1570-5846","0010-437X","https://creativecommons.org/licenses/by-nc-sa/4.0/",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/jfm.2025.165",TRUE,FALSE,"Cambridge University Press (CUP)","Journal of Fluid Mechanics","0022-1120","0022-1120","1469-7645","0022-1120","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/jfm.2025.277",TRUE,FALSE,"Cambridge University Press (CUP)","Journal of Fluid Mechanics","0022-1120","0022-1120","1469-7645","0022-1120","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/jfm.2025.10402",TRUE,FALSE,"Cambridge University Press (CUP)","Journal of Fluid Mechanics","0022-1120","0022-1120","1469-7645","0022-1120","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/jfm.2025.10800",TRUE,FALSE,"Cambridge University Press (CUP)","Journal of Fluid Mechanics","0022-1120","0022-1120","1469-7645","0022-1120","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/s0022377825000510",FALSE,FALSE,"Cambridge University Press (CUP)","Journal of Plasma Physics","0022-3778","0022-3778","1469-7807","0022-3778","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/s0022377825100846",FALSE,FALSE,"Cambridge University Press (CUP)","Journal of Plasma Physics","0022-3778","0022-3778","1469-7807","0022-3778","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/s1062798725100355",FALSE,FALSE,"Cambridge University Press (CUP)","European Review","1062-7987","1062-7987","1474-0575","1062-7987","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/s1759078725000285",TRUE,FALSE,"Cambridge University Press (CUP)","International Journal of Microwave and Wireless Technologies","1759-0787","1759-0787","1759-0795","1759-0787","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/xps.2025.10025",FALSE,FALSE,"Cambridge University Press (CUP)","Journal of Experimental Political Science","2052-2630","2052-2630","2052-2649","2052-2630","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/dap.2025.10039",FALSE,FALSE,"Cambridge University Press (CUP)","Data & Policy","2632-3249",NA,"2632-3249","2632-3249","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/chr.2025.10014",FALSE,FALSE,"Cambridge University Press (CUP)","Computational Humanities Research","2977-8158",NA,"2977-8158","2977-8158","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/s1743921325104407",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/s0022377825101104",FALSE,FALSE,"Cambridge University Press (CUP)","Journal of Plasma Physics","0022-3778","0022-3778","1469-7807","0022-3778","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"École Polytechnique Fédérale de Lausanne",2025,NA,"10.1017/s0305004125101801",TRUE,FALSE,"Cambridge University Press (CUP)","Mathematical Proceedings of the Cambridge Philosophical Society","0305-0041","0305-0041","1469-8064","0305-0041","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"cam2024csal","02s376052_cam2024csal_2025"
"ETH Zurich",2025,NA,"10.1017/aog.2025.10024",FALSE,FALSE,"Cambridge University Press (CUP)","Annals of Glaciology","0260-3055","0260-3055","1727-5644","0260-3055","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"cam2024csal","05a28rw58_cam2024csal_2025"
"ETH Zurich",2025,NA,"10.1017/fmp.2025.3",FALSE,FALSE,"Cambridge University Press (CUP)","Forum of Mathematics, Pi","2050-5086",NA,"2050-5086","2050-5086","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"cam2024csal","05a28rw58_cam2024csal_2025"
