"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"University of Basel",2023,NA,"10.1088/1361-6420/ad01d4",TRUE,"IOP Publishing","Inverse Problems","0266-5611","0266-5611","1361-6420","0266-5611","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Basel",2023,NA,"10.1088/1361-6595/acfc63",TRUE,"IOP Publishing","Plasma Sources Science and Technology","0963-0252","0963-0252","1361-6595","0963-0252","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Basel",2023,NA,"10.1088/1367-2630/acf33b",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630","1367-2630","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"Swiss Consortium IOP agreement"
"University of Basel",2023,NA,"10.1088/1367-2630/ad0e1a",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630","1367-2630","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"Swiss Consortium IOP agreement"
"University of Basel",2023,NA,"10.1088/1752-7163/acf782",TRUE,"IOP Publishing","Journal of Breath Research","1752-7155","1752-7155","1752-7163","1752-7155","http://creativecommons.org/licenses/by/4.0",TRUE,"37678210",NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Basel",2023,NA,"10.1088/1752-7163/ad10e1",TRUE,"IOP Publishing","Journal of Breath Research","1752-7155","1752-7155","1752-7163","1752-7155","http://creativecommons.org/licenses/by/4.0",TRUE,"38029449",NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Basel",2023,NA,"10.1088/2632-2153/acda10",FALSE,"IOP Publishing","Machine Learning: Science and Technology","2632-2153",NA,"2632-2153","2632-2153","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"Swiss Consortium IOP agreement"
"University of Basel",2023,NA,"10.1088/2632-2153/ace67b",FALSE,"IOP Publishing","Machine Learning: Science and Technology","2632-2153",NA,"2632-2153","2632-2153","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"Swiss Consortium IOP agreement"
"University of Bern",2023,NA,"10.1088/1361-6560/acb480",TRUE,"IOP Publishing","Physics in Medicine and Biology","0031-9155","0031-9155","1361-6560","0031-9155","http://creativecommons.org/licenses/by/4.0/",TRUE,"36655485",NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Bern",2023,NA,"10.1088/1361-6560/acb755",TRUE,"IOP Publishing","Physics in Medicine and Biology","0031-9155","0031-9155","1361-6560","0031-9155","http://creativecommons.org/licenses/by/4.0/",TRUE,"36716491",NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Bern",2023,NA,"10.1088/1475-7516/2023/05/003",TRUE,"IOP Publishing","Journal of Cosmology and Astroparticle Physics","1475-7516",NA,"1475-7516","1475-7516","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Bern",2023,NA,"10.1088/1748-0221/18/03/c03014",TRUE,"IOP Publishing","Journal of Instrumentation","1748-0221",NA,"1748-0221","1748-0221","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Bern",2023,NA,"10.1088/1748-0221/18/03/c03021",TRUE,"IOP Publishing","Journal of Instrumentation","1748-0221",NA,"1748-0221","1748-0221","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Bern",2023,NA,"10.1088/1748-0221/18/04/c04004",TRUE,"IOP Publishing","Journal of Instrumentation","1748-0221",NA,"1748-0221","1748-0221","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Bern",2023,NA,"10.1088/1748-0221/18/06/c06008",TRUE,"IOP Publishing","Journal of Instrumentation","1748-0221",NA,"1748-0221","1748-0221","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
"University of Bern",2023,NA,"10.1088/1748-605x/acc55e",TRUE,"IOP Publishing","Biomedical Materials","1748-6041","1748-6041","1748-605X","1748-6041","http://creativecommons.org/licenses/by/4.0",TRUE,"36930978",NA,NA,NA,FALSE,"Swiss Consortium IOP agreement"
