"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"University of Bern",2022,NA,"10.1159/000523674",TRUE,"S. Karger AG","Gerontology","0304-324X","0304-324X","1423-0003","0304-324X","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35339999","PMC9808663","ut:000787830100001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Bern",2022,NA,"10.1159/000523965",TRUE,"S. Karger AG","Pharmacology","0031-7012","0031-7012","1423-0313","0031-7012","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35413710",NA,"ut:000806184600001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Bern",2022,NA,"10.1159/000525419",TRUE,"S. Karger AG","Audiology and Neurotology","1420-3030","1420-3030","1421-9700","1420-3030","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"36037798","PMC9808646","ut:000848395300001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Bern",2022,NA,"10.1159/000526016",TRUE,"S. Karger AG","Acta Haematologica","0001-5792","0001-5792","1421-9662","0001-5792","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35835029","PMC9808667","ut:000908472900009",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Bern",2022,NA,"10.1159/000526237",TRUE,"S. Karger AG","European Neurology","0014-3022","0014-3022","1421-9913","0014-3022","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"36049455",NA,"ut:000884357500001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Bern",2022,NA,"10.1159/000527345",TRUE,"S. Karger AG","Ophthalmologica","0030-3755","0030-3755","1423-0267","0030-3755","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"36215958",NA,"ut:000868544600001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Bern",2022,NA,"10.1159/000528611",TRUE,"S. Karger AG","Respiration","0025-7931","0025-7931","1423-0356","0025-7931","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"36566741","PMC9932828","ut:000905550400001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Bern",2022,NA,"10.1159/000528252",TRUE,"S. Karger AG","Pharmacology","0031-7012","0031-7012","1423-0313","0031-7012","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"36652938","PMC10233707","ut:000921383600001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Basel",2022,NA,"10.1159/000522365",FALSE,"S. Karger AG","Ophthalmic Research","0030-3747","0030-3747","1423-0259","0030-3747","https://creativecommons.org/licenses/by/4.0/",TRUE,"35108705",NA,"ut:000812179100013",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Basel",2022,NA,"10.1159/000522662",TRUE,"S. Karger AG","Acta Cytologica","0001-5547","0001-5547","1938-2650","0001-5547","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35512664","PMC9501752",NA,NA,FALSE,"Swiss Consortium Karger agreement"
"University of Basel",2022,NA,"10.1159/000524399",TRUE,"S. Karger AG","Pharmacology","0031-7012","0031-7012","1423-0313","0031-7012","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35526519","PMC9254302","ut:000795876900001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Basel",2022,NA,"10.1159/000525457",TRUE,"S. Karger AG","Pathobiology","1015-2008","1015-2008","1423-0291","1015-2008","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35835004","PMC10129030","ut:000835363700001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Basel",2022,NA,"10.1159/000526117",TRUE,"S. Karger AG","Pathobiology","1015-2008","1015-2008","1423-0291","1015-2008","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"36202073","PMC10273900","ut:000868566800001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Basel",2022,NA,"10.1159/000527268",TRUE,"S. Karger AG","Respiration","0025-7931","0025-7931","1423-0356","0025-7931","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"36380628","PMC9843545","ut:000886460600001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Basel",2022,NA,"10.1159/000527526",FALSE,"S. Karger AG","Transfusion Medicine and Hemotherapy","1660-3796","1660-3796","1660-3818","1660-3796","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000900384100001",NA,TRUE,"Swiss Consortium Karger agreement"
"University of Basel",2022,NA,"10.1159/000527739",TRUE,"S. Karger AG","Cerebrovascular Diseases","1015-9770","1015-9770","1421-9786","1015-9770","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"36513036",NA,"ut:000898433600001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Basel",2022,NA,"10.1159/000528261",FALSE,"S. Karger AG","Transfusion Medicine and Hemotherapy","1660-3796","1660-3796","1660-3818","1660-3796","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"37066049","PMC10090975","ut:000919225600001",NA,TRUE,"Swiss Consortium Karger agreement"
"University of Basel",2022,NA,"10.1159/000528465",FALSE,"S. Karger AG","Medical Cannabis and Cannabinoids","2504-3889",NA,NA,"2504-3889",NA,FALSE,"36814687","PMC9940649",NA,NA,TRUE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000521788",TRUE,"S. Karger AG","Fetal Diagnosis and Therapy","1015-3837","1015-3837","1421-9964","1015-3837","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"34991089",NA,"ut:000820995300002",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000521951",TRUE,"S. Karger AG","Psychotherapy and Psychosomatics","0033-3190","0033-3190","1423-0348","0033-3190","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000759802900001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000523923",TRUE,"S. Karger AG","Gerontology","0304-324X","0304-324X","1423-0003","0304-324X","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35443250","PMC9148895","ut:000791709500001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000523667",TRUE,"S. Karger AG","Psychotherapy and Psychosomatics","0033-3190","0033-3190","1423-0348","0033-3190","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000799034100001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000524203",TRUE,"S. Karger AG","Psychopathology","0254-4962","0254-4962","1423-033X","0254-4962","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35439763",NA,"ut:000791705500001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000524089",TRUE,"S. Karger AG","Gerontology","0304-324X","0304-324X","1423-0003","0304-324X","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35468600","PMC9808656","ut:000809010700001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000524225",TRUE,"S. Karger AG","Dermatology","1018-8665","1018-8665","1421-9832","1018-8665","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35533665","PMC9677846","ut:000795877400001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000524194",TRUE,"S. Karger AG","Neonatology","1661-7800","1661-7800","1661-7819","1661-7800","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35398844",NA,"ut:000788530300001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000524958",TRUE,"S. Karger AG","Verhaltenstherapie","1016-6262","1016-6262","1423-0402","1016-6262","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000873961200001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000525296",TRUE,"S. Karger AG","Psychopathology","0254-4962","0254-4962","1423-033X","0254-4962","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35772396",NA,"ut:000821875500001",NA,FALSE,"Swiss Consortium Karger agreement"
"University of Zurich",2022,NA,"10.1159/000525559",TRUE,"S. Karger AG","Fetal Diagnosis and Therapy","1015-3837","1015-3837","1421-9964","1015-3837","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35709687",NA,"ut:000847236000003",NA,FALSE,"Swiss Consortium Karger agreement"
