institution;period;doi;is_hybrid;agreement
University of Basel;2023;https://doi.org/10.1097/ACO.0000000000001259;TRUE;Swiss Consortium LWW agreement
University of Lausanne;2023;https://doi.org/10.1097/ACO.0000000000001272;TRUE;Swiss Consortium LWW agreement
University of Lausanne;2023;https://doi.org/10.1097/ACO.0000000000001281;TRUE;Swiss Consortium LWW agreement
University of Basel;2023;https://doi.org/10.1097/ACO.0000000000001288;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/ACO.0000000000001295;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/ACO.0000000000001308;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/AJP.0000000000001130;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/ALN.0000000000004520;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/ALN.0000000000004895;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/AOG.0000000000005317;TRUE;Swiss Consortium LWW agreement
University of Lausanne;2023;https://doi.org/10.1097/ASW.0000000000000066;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/AUD.0000000000001379;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/BPB.0000000000001140;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/BPO.0000000000002613;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/BRS.0000000000004584;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/BRS.0000000000004871;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/BRS.0000000000004916;TRUE;Swiss Consortium LWW agreement
University of Lausanne;2023;https://doi.org/10.1097/CCM.0000000000005841;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/CCM.0000000000006007;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/CJI.0000000000000486;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/CMR.0000000000000952;TRUE;Swiss Consortium LWW agreement
University of Lausanne;2023;https://doi.org/10.1097/EJA.0000000000001668;TRUE;Swiss Consortium LWW agreement
University of Lausanne;2023;https://doi.org/10.1097/EJA.0000000000001833;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/EJA.0000000000001887;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/EJA.0000000000001913;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/EJA.0000000000001914;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/FTD.0000000000001114;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/FTD.0000000000001154;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/FTD.0000000000001171;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/FTD.0000000000001183;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/GME.0000000000002184;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/HCR.0000000000000776;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/ICO.0000000000003467;TRUE;Swiss Consortium LWW agreement
University of Basel;2023;https://doi.org/10.1097/INF.0000000000003901;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/INF.0000000000004206;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/INF.0000000000004221;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/INF.0000000000004261;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/j.pain.0000000000003023;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/j.pain.0000000000003144;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/JOM.0000000000003005;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/JSM.0000000000001134;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/JU.0000000000003442;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/MAO.0000000000003891;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/MAO.0000000000004130;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/MBC.0000000000001217;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/MCO.0000000000000988;TRUE;Swiss Consortium LWW agreement
University of Lausanne;2023;https://doi.org/10.1097/MEJ.0000000000000983;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/MNH.0000000000000930;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/MNH.0000000000000932;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/MNM.0000000000001745;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/MOU.0000000000001099;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/MPH.0000000000002774;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/NMD.0000000000001589;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/PAP.0000000000000422;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/PCC.0000000000003346;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/PCC.0000000000003349;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/PCC.0000000000003351;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/PCC.0000000000003388;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/PCC.0000000000003406;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/PCC.0000000000003411;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/PEC.0000000000003127;TRUE;Swiss Consortium LWW agreement
University of Bern;2023;https://doi.org/10.1097/PHM.0000000000002276;TRUE;Swiss Consortium LWW agreement
University of Zurich;2023;https://doi.org/10.1097/PHM.0000000000002485;TRUE;Swiss Consortium LWW agreement
University of Geneva;2023;https://doi.org/10.1097/PRA.0000000000000789 ;TRUE;Swiss Consortium LWW agreement
