"institution","period","euro","doi","is_hybrid","opt_out","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement","group_id"
"University of Basel",2025,NA,"10.1249/mss.0000000000003878",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Medicine & Science in Sports & Exercise","0195-9131","0195-9131","1530-0315","0195-9131","http://creativecommons.org/licenses/by/4.0/",TRUE,"41121549","PMC12863594",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/prs.0000000000012105",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Plastic and Reconstructive Surgery","0032-1052","0032-1052","1529-4242","0032-1052","http://creativecommons.org/licenses/by/4.0/",TRUE,"40099668","PMC12376819",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/aln.0000000000005531",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Anesthesiology","0003-3022","0003-3022","1528-1175","0003-3022","http://creativecommons.org/licenses/by/4.0/",TRUE,"40258137","PMC12227210",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/j.jcrs.0000000000001758",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Journal of Cataract & Refractive Surgery","0886-3350","0886-3350","1873-4502","0886-3350","http://creativecommons.org/licenses/by/4.0/",TRUE,"40804769","PMC12777582",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/gox.0000000000006741",FALSE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Plastic and Reconstructive Surgery - Global Open","2169-7574",NA,"2169-7574","2169-7574","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"40443796","PMC12122175",NA,NA,TRUE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/prs.0000000000012099",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Plastic and Reconstructive Surgery","0032-1052","0032-1052","1529-4242","0032-1052","http://creativecommons.org/licenses/by/4.0/",TRUE,"40094361","PMC12456197",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1212/wnl.0000000000213558",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Neurology","0028-3878","0028-3878","1526-632X","0028-3878",NA,TRUE,"40258203","PMC12136489",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/sla.0000000000006821",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Annals of Surgery","0003-4932","0003-4932","1528-1140","0003-4932","http://creativecommons.org/licenses/by/4.0/",TRUE,"40607707",NA,NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/mco.0000000000001191",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Current Opinion in Clinical Nutrition & Metabolic Care","1473-6519",NA,"1473-6519","1363-1950","http://creativecommons.org/licenses/by/4.0",TRUE,"41307347","PMC12893168",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/jcp.0000000000002123",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Journal of Clinical Psychopharmacology","0271-0749","0271-0749","1533-712X","0271-0749","http://creativecommons.org/licenses/by/4.0/ http://creativecommons.org/licenses/by/4.0/",TRUE,"41496526","PMC12931868",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/tp.0000000000005399",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Transplantation Journal","0041-1337","0041-1337","1534-6080","0041-1337","http://creativecommons.org/licenses/by/4.0/",TRUE,"40200394","PMC12366737",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/qai.0000000000003669",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","JAIDS Journal of Acquired Immune Deficiency Syndromes","1525-4135","1525-4135","1944-7884","1525-4135","http://creativecommons.org/licenses/by/4.0/",TRUE,"40173340","PMC12187148",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/mcc.0000000000001302",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Current Opinion in Critical Care","1070-5295","1070-5295","1531-7072","1070-5295","http://creativecommons.org/licenses/by/4.0",TRUE,"40637059","PMC12419005",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/gox.0000000000007293",FALSE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Plastic and Reconstructive Surgery - Global Open","2169-7574",NA,"2169-7574","2169-7574","http://creativecommons.org/licenses/by/4.0/",TRUE,"41377924","PMC12688922",NA,NA,TRUE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/inf.0000000000004790",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","The Pediatric Infectious Disease Journal","0891-3668","0891-3668","1532-0987","0891-3668","http://creativecommons.org/licenses/by/4.0/",TRUE,"40106750","PMC12058373",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/as9.0000000000000625",FALSE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Annals of Surgery Open","2691-3593",NA,"2691-3593","2691-3593","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"41451175","PMC12727336",NA,NA,TRUE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.1097/sla.0000000000006883",TRUE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","Annals of Surgery","0003-4932","0003-4932","1528-1140","0003-4932","http://creativecommons.org/licenses/by/4.0/",TRUE,"40772946","PMC12513047",NA,NA,FALSE,"lww2025csal","02s6k3f65_lww2025csal_2025"
"University of Basel",2025,NA,"10.2106/jbjs.oa.25.00073",FALSE,FALSE,"Ovid Technologies (Wolters Kluwer Health)","JBJS Open Access","2472-7245",NA,"2472-7245","2472-7245","http://creativecommons.org/licenses/by/4.0/",TRUE,"41112697","PMC12533997",NA,NA,TRUE,"lww2025csal","02s6k3f65_lww2025csal_2025"
