institution;period;doi;is_hybrid;agreement
University of Basel;2024;10.1039/D3CC05847F;TRUE;Swiss Consortium RSC agreement
University of Basel;2024;10.1039/D3FD00172E;TRUE;Swiss Consortium RSC agreement
University of Basel;2024;10.1039/D4AN00356J;TRUE;Swiss Consortium RSC agreement
University of Basel;2024;10.1039/D4CP00739E;TRUE;Swiss Consortium RSC agreement
University of Basel;2024;10.1039/D4CY00518J;TRUE;Swiss Consortium RSC agreement
University of Basel;2024;10.1039/D4DT00276H;TRUE;Swiss Consortium RSC agreement
University of Basel;2024;10.1039/D4DT01280A;TRUE;Swiss Consortium RSC agreement
University of Basel;2024;10.1039/D4DT01299B;TRUE;Swiss Consortium RSC agreement
University of Basel;2024;10.1039/D4LC00269E;TRUE;Swiss Consortium RSC agreement
University of Basel;2024;10.1039/D4NH00114A;TRUE;Swiss Consortium RSC agreement
University of Basel;2024;10.1039/D4QO01808G;TRUE;Swiss Consortium RSC agreement
University of Bern;2024;10.1039/D3GC04375D;TRUE;Swiss Consortium RSC agreement
University of Bern;2024;10.1039/D4CC03548H;TRUE;Swiss Consortium RSC agreement
University of Bern;2024;10.1039/D4CC06005A;TRUE;Swiss Consortium RSC agreement
University of Bern;2024;10.1039/D4CS00021H;TRUE;Swiss Consortium RSC agreement
University of Bern;2024;10.1039/D4CY01337A;TRUE;Swiss Consortium RSC agreement
University of Bern;2024;10.1039/D4DT00889H;TRUE;Swiss Consortium RSC agreement
University of Bern;2024;10.1039/D4DT01715C;TRUE;Swiss Consortium RSC agreement
University of Bern;2024;10.1039/D4MD00159A;TRUE;Swiss Consortium RSC agreement
University of Bern;2024;10.1039/D4NJ02411G;TRUE;Swiss Consortium RSC agreement
University of Fribourg;2024;10.1039/D3CC06162K;TRUE;Swiss Consortium RSC agreement
University of Fribourg;2024;10.1039/D3SM01489D;TRUE;Swiss Consortium RSC agreement
University of Fribourg;2024;10.1039/D4CP00878B;TRUE;Swiss Consortium RSC agreement
University of Fribourg;2024;10.1039/D4NH00104D;TRUE;Swiss Consortium RSC agreement
University of Fribourg;2024;10.1039/D4SM01045K;TRUE;Swiss Consortium RSC agreement
University of Fribourg;2024;10.1039/D4TC01010H;TRUE;Swiss Consortium RSC agreement
University of Geneva;2024;10.1039/D3AY02234J;TRUE;Swiss Consortium RSC agreement
University of Geneva;2024;10.1039/D3DT04098D;TRUE;Swiss Consortium RSC agreement
University of Geneva;2024;10.1039/D3EM00336A;TRUE;Swiss Consortium RSC agreement
University of Geneva;2024;10.1039/D4CC05274A;TRUE;Swiss Consortium RSC agreement
University of Geneva;2024;10.1039/D4DT00610K;TRUE;Swiss Consortium RSC agreement
