"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Bern University of Applied Sciences",2021,NA,"10.1177/01708406211053206",TRUE,"SAGE Publications","Organization Studies","0170-8406","0170-8406","1741-3044","0170-8406","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000711506600001",NA,FALSE,"Swiss Consortium SAGE agreement"
"Eawag - Swiss Federal Institute of Aquatic Science and Technology",2021,NA,"10.1177/10648046211044008",TRUE,"SAGE Publications","Ergonomics in Design: The Quarterly of Human Factors Applications","1064-8046","1064-8046",NA,"1064-8046","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000694816400001",NA,FALSE,"Swiss Consortium SAGE agreement"
"Empa - Swiss Federal Laboratories for Materials Science and Technology",2021,NA,"10.1177/03611981211010795",TRUE,"SAGE Publications","Transportation Research Record: Journal of the Transportation Research Board","0361-1981","0361-1981","2169-4052","0361-1981","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000684873000001",NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/00185787211016336",TRUE,"SAGE Publications","Hospital Pharmacy","0018-5787","0018-5787","1945-1253","0018-5787","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"35601712","PMC9117769","ut:000656033700001",NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/00223433211037244",TRUE,"SAGE Publications","Journal of Peace Research","0022-3433","0022-3433","1460-3578","0022-3433","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000738693400001",NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/0022343321990076",TRUE,"SAGE Publications","Journal of Peace Research","0022-3433","0022-3433","1460-3578","0022-3433","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000652891300001",NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/00961442211044501",TRUE,"SAGE Publications","Journal of Urban History","0096-1442","0096-1442","1552-6771","0096-1442","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000697009100001",NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/0096144221989975",TRUE,"SAGE Publications","Journal of Urban History","0096-1442","0096-1442","1552-6771","0096-1442","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000620761700001",NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/02783649211047890",TRUE,"SAGE Publications","The International Journal of Robotics Research","0278-3649","0278-3649","1741-3176","0278-3649","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000708053200001",NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/03611981211031221",TRUE,"SAGE Publications","Transportation Research Record: Journal of the Transportation Research Board","0361-1981","0361-1981","2169-4052","0361-1981","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000688519300001",NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/07388942211000678",TRUE,"SAGE Publications","Conflict Management and Peace Science","0738-8942","0738-8942","1549-9219","0738-8942","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000638961200001",NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/08854122211068526",TRUE,"SAGE Publications","Journal of Planning Literature","0885-4122","0885-4122","1552-6593","0885-4122","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000739416100001",NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/1045389x211057203",TRUE,"SAGE Publications","Journal of Intelligent Material Systems and Structures","1045-389X","1045-389X","1530-8138","1045-389X","https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,FALSE,"Swiss Consortium SAGE agreement"
"ETH Zurich",2021,NA,"10.1177/10780874211056519",TRUE,"SAGE Publications","Urban Affairs Review","1078-0874","1078-0874","1552-8332","1078-0874","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000726104800001",NA,FALSE,"Swiss Consortium SAGE agreement"
