agreement;institution;doi;period;is_hybrid
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0191692;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0198773;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0202588;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0200154;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0189642;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0205611;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0206895;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0210866;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0207362;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);doi.org/10.1063/5.0204582;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0214447;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0156236;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0152705;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0156230;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0142418;2024;TRUE
CSIC-AIP;Consejo Superior de Investigaciones Cientificas (CSIC);10.1063/5.0243800;2024;TRUE
