agreement;institution;period;doi;is_hybrid
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1475-7516/2023/02/023;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1751-8121/acb575;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1475-7516/2023/04/049;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1475-7516/2023/05/023;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1751-8121/accda3;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/2515-7639/acd1b7;FALSE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1361-6560/acdd4c;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/2515-7639/acdf22;FALSE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1361-6560/ace024;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/2058-8585/acd8cc;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1367-2630/ace470;FALSE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/2058-9565/ace474;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1361-6404/ace748;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1751-8121/ace8d6;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1475-7516/2023/09/003;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/2058-9565/acf60a;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1402-4896/acc5b8;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1361-6544/acf01e;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1361-6595/acf730;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1475-7516/2023/10/030;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1475-7516/2023/11/069;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1361-6668/ad01ec;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1475-7516/2023/11/063;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/2053-1583/ad047e;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1748-9326/ad0a1a;FALSE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1748-9326/ace72e;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1475-7516/2023/09/029;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1475-7516/2023/12/006;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1361-6528/ad113d;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1475-7516/2023/12/029;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1361-6382/ad1123;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1751-8121/ad0d1e;TRUE
CSIC-Institute of Physics;Consejo Superior de Investigaciones Cientificas (CSIC);2023;10.1088/1748-3190/acc0bb;TRUE
