"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2024,NA,"10.1088/1361-6668/ad36eb",TRUE,"IOP Publishing","Superconductor Science and Technology","0953-2048","0953-2048","1361-6668","0953-2048","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"CSIC-Institute of Physics"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2024,NA,"10.1088/1758-5090/ad3aa4",TRUE,"IOP Publishing","Biofabrication","1758-5082","1758-5082","1758-5090","1758-5082","http://creativecommons.org/licenses/by/4.0",TRUE,"38574551",NA,NA,NA,FALSE,"CSIC-Institute of Physics"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2024,NA,"10.1088/2632-959x/ad2a17",FALSE,"IOP Publishing","Nano Express","2632-959X",NA,"2632-959X","2632-959X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"CSIC-Institute of Physics"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2024,NA,"10.1088/1751-8121/ad37b2",TRUE,"IOP Publishing","Journal of Physics A: Mathematical and Theoretical","1751-8113","1751-8113","1751-8121","1751-8113","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"CSIC-Institute of Physics"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2024,NA,"10.1088/1475-7516/2024/06/072",TRUE,"IOP Publishing","Journal of Cosmology and Astroparticle Physics","1475-7516",NA,"1475-7516","1475-7516","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"CSIC-Institute of Physics"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2024,NA,"10.1088/1475-7516/2024/03/055",TRUE,"IOP Publishing","Journal of Cosmology and Astroparticle Physics","1475-7516",NA,"1475-7516","1475-7516","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"CSIC-Institute of Physics"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2024,NA,"10.1088/1478-3975/ad5d6c",TRUE,"IOP Publishing","Physical Biology","1478-3967","1478-3967","1478-3975","1478-3967","http://creativecommons.org/licenses/by/4.0",TRUE,"38949447",NA,NA,NA,FALSE,"CSIC-Institute of Physics"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2024,NA,"10.1088/2040-8986/ad21df",TRUE,"IOP Publishing","Journal of Optics","2040-8978","2040-8978","2040-8986","2040-8978","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"CSIC-Institute of Physics"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2024,NA,"10.1088/1748-9326/ad67f4",FALSE,"IOP Publishing","Environmental Research Letters","1748-9326",NA,"1748-9326","1748-9326","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE,"CSIC-Institute of Physics"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2024,NA,"10.1088/2515-7639/ad4c06",FALSE,"IOP Publishing","Journal of Physics: Materials","2515-7639",NA,"2515-7639","2515-7639","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE,"CSIC-Institute of Physics"
