agreement;institution;period;doi;is_hybrid
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rspa.2023.0499;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsbl.2023.0376;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsob.230448;FALSE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rspb.2023.2501;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsob.240069;FALSE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsta.2023.0179;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsos.240548;FALSE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rspb.2024.1037;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rspb.2024.1536;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rspb.2024.1327;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsbl.2024.0278;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rspb.2024.1611;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsbl.2024.0535;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsos.240753;FALSE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rspa.2024.0141;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsos.240298;FALSE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rspb.2024.1960;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsbl.2024.0287;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rspb.2022.2448;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsob.240118;FALSE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsif.2023.0510;TRUE
CSIC-Royal Society;Consejo Superior de Investigaciones Cientificas (CSIC);2024;10.1098/rsos.240210;FALSE
