"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d2tc05447g",TRUE,"Royal Society of Chemistry (RSC)","Journal of Materials Chemistry C","2050-7526","2050-7526","2050-7534","2050-7526","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d2tc05066h",TRUE,"Royal Society of Chemistry (RSC)","Journal of Materials Chemistry C","2050-7526","2050-7526","2050-7534","2050-7526","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d3se00273j",TRUE,"Royal Society of Chemistry (RSC)","Sustainable Energy & Fuels","2398-4902",NA,"2398-4902","2398-4902","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d3en00009e",TRUE,"Royal Society of Chemistry (RSC)","Environmental Science: Nano","2051-8153","2051-8153","2051-8161","2051-8153","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d3nr00455d",TRUE,"Royal Society of Chemistry (RSC)","Nanoscale","2040-3364","2040-3364","2040-3372","2040-3364","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"37092798",NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d3cc00493g",TRUE,"Royal Society of Chemistry (RSC)","Chemical Communications","1359-7345","1359-7345","1364-548X","1359-7345","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"36876436",NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d2qi02664c",TRUE,"Royal Society of Chemistry (RSC)","Inorganic Chemistry Frontiers","2052-1553",NA,"2052-1553","2052-1545","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d2nr05935e",TRUE,"Royal Society of Chemistry (RSC)","Nanoscale","2040-3364","2040-3364","2040-3372","2040-3364","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"36810904",NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d2nr07256d",TRUE,"Royal Society of Chemistry (RSC)","Nanoscale","2040-3364","2040-3364","2040-3372","2040-3364","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"37067009",NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d2cc06770f",TRUE,"Royal Society of Chemistry (RSC)","Chemical Communications","1359-7345","1359-7345","1364-548X","1359-7345","http://creativecommons.org/licenses/by/3.0/",TRUE,"36632697",NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d2fo03957e",TRUE,"Royal Society of Chemistry (RSC)","Food & Function","2042-6496","2042-6496","2042-650X","2042-6496","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"36866688",NA,NA,NA,FALSE,"CSIC RSC agreement"
"Consejo Superior de Investigaciones Cientificas (CSIC)",2023,1837.13,"10.1039/d2fo03167a",TRUE,"Royal Society of Chemistry (RSC)","Food & Function","2042-6496","2042-6496","2042-650X","2042-6496","http://creativecommons.org/licenses/by/3.0/",TRUE,"36683547",NA,NA,NA,FALSE,"CSIC RSC agreement"
