agreement;institution;doi;period;is_hybrid
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10586-022-03798-7;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00214-022-02883-9;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00382-022-06574-w;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s12035-022-02764-z;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00214-022-02936-z;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s11224-022-01962-8;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10961-022-09940-2;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00217-022-03996-y;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1140/epja/s10050-022-00876-7;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s11242-022-01799-z;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10571-022-01299-0;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s11095-022-03455-z;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10123-022-00259-4;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s11837-022-05334-9;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00217-022-04189-3;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00271-022-00787-x;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10040-022-02580-8;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s11356-022-22233-3;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10686-021-09822-9;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00271-022-00819-6;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s11356-022-25014-0;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00048-022-00335-w;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1140/epjp/s13360-022-02483-3;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10021-022-00779-0;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00018-022-04652-0;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10530-022-02779-6;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s13280-022-01784-2;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s42729-022-01049-7;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10686-022-09839-8;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00394-022-03050-3;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00484-022-02312-3;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s12649-022-01879-7;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s12371-022-00677-w;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10347-022-00657-0;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10822-022-00465-2;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10973-022-11728-3;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10658-022-02504-y;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s11676-022-01484-3;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s13399-022-03336-w;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s11056-022-09960-8;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10530-022-02791-w;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1557/s43578-022-00822-9;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00271-022-00795-x;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s13399-022-03240-3;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00271-022-00790-2;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s10344-022-01599-2;2022;TRUE
CSIC-Springer Nature;Consejo Superior de Investigaciones Cientificas (CSIC);10.1007/s00265-022-03258-7;2022;TRUE
