"DOI","Institution","period","is_hybrid"
"10.1007/s11249-017-0958-x ","Imperial College London",2017,TRUE
"10.1007/s11136-017-1738-7","University of Cambridge",2017,TRUE
"10.1007/s00360-017-1103-8","University of Salford",2017,TRUE
"10.1007/s12530-017-9190-z","University of Glasgow",2017,TRUE
"10.1007/s11024-017-9322-4","University of Bristol",2017,TRUE
"10.1007/s00467-017-3597-4","University College London",2017,TRUE
"10.1007/s10033-017-0161-x","Northumbria University",2017,TRUE
"10.1007/s10551-017-3583-6","University of Edinburgh",2017,TRUE
"10.1007/s00376-017-6283-3","University of Cambridge",2017,TRUE
"10.1007/s10033-017-0176-3","Northumbria University",2017,TRUE
"10.1007/s00247-017-3932-8","University of Sheffield",2017,TRUE
"10.1140/epjd/e2017-80007-0","Imperial College London",2017,TRUE
"10.1007/s00772-017-0269-4","University of Hull",2017,TRUE
"10.1007/s00376-017-6268-2","University of Reading",2017,TRUE
"10.1140/epjst/e2016-60329-4","Heriot-Watt University",2017,TRUE
"10.1140/epja/i2017-12215-8","University of Liverpool",2017,TRUE
"10.1140/epjb/e2016-70471-1","University of Portsmouth",2017,TRUE
"10.1140/epje/i2017-11513-9","University of Exeter",2017,TRUE
"10.1140/epjst/e2017-70009-y","University of Warwick",2017,TRUE
"10.1007/s13280-017-0903-0","University of Exeter",2017,TRUE
"10.1007/s10071-017-1069-7","University of St Andrews",2017,TRUE
