DOI,period,Institution,is_hybrid
10.1007/s40265-019-1057-0,2019,Uppsala University,TRUE
10.1007/s10734-019-0359-1,2019,Royal Institute of Technology,TRUE
10.1007/s11252-019-0824-8,2019,Swedish University of Agricultural Sciences,TRUE
10.1007/s11904-019-00420-1,2019,University of Gothenburg,TRUE
10.1007/s10936-018-09625-8,2019,Lund University,TRUE
10.1007/s40831-019-00210-4,2019,Royal Institute of Technology,TRUE
10.1007/s10997-018-09449-7,2019,Lulea University of Technology,TRUE
10.1007/s40831-019-00209-x,2019,Royal Institute of Technology,TRUE
10.1007/s11695-018-03670-x,2019,Örebro University,TRUE
10.1007/s11661-019-05120-4,2019,Mid Sweden University,TRUE
10.1007/s11158-018-09415-y,2019,Stockholm University,TRUE
10.1007/s00477-018-01647-x,2019,Chalmers University of Technology,TRUE
10.1007/s10615-019-00699-y,2019,Malmö University,TRUE
10.1007/s10896-019-00035-5,2019,Linköping University,TRUE
10.1007/s10433-019-00501-5,2019,Lund University,TRUE
10.1007/s12115-018-00320-x,2019,Malmö University,TRUE
10.1007/s10896-018-00032-0,2019,Örebro University,TRUE
10.1007/s11085-019-09896-z,2019,Royal Institute of Technology,TRUE
10.1007/s12115-018-00323-8,2019,University West,TRUE
10.1007/s00158-019-02194-x,2019,Linköping University,TRUE
10.1007/s10910-019-01001-8,2019,Karolinska Institute,TRUE
10.1007/s11249-019-1135-1,2019,Lulea University of Technology,TRUE
10.1007/s40974-019-00109-6,2019,Mälardalen University,TRUE
10.1007/s00415-019-09183-6,2019,Dalarna University,TRUE
10.1007/s10067-019-04431-6,2019,Uppsala University,TRUE
10.1007/s10055-019-00378-w,2019,Linnaeus University,TRUE
10.1007/s00127-019-01655-4,2019,Stockholm University,TRUE
10.1007/s00234-019-02156-6,2019,Lund University,TRUE
10.1007/s10522-019-09795-5,2019,Karolinska Institute,TRUE
10.1007/s00702-019-01969-2,2019,Karolinska Institute,TRUE
10.1007/s00394-019-01893-x,2019,Karolinska Institute,TRUE
10.1007/s10798-019-09494-9,2019,Royal Institute of Technology,TRUE
10.1007/s10803-018-03871-4,2019,University of Gothenburg,TRUE
10.1007/s00417-019-04242-0,2019,Lund University,TRUE
10.1007/s00701-019-03799-3,2019,University of Gothenburg,TRUE
10.1007/s11165-019-9822-3,2019,Linköping University,TRUE
10.1007/s10649-019-9878-z,2019,Örebro University,TRUE
10.1007/s13280-019-01146-5,2019,Swedish University of Agricultural Sciences,TRUE
10.3758/s13428-019-01199-0,2019,Lund University,TRUE
10.1007/s10570-019-02265-8,2019,Royal Institute of Technology,TRUE
10.1007/s40521-019-0197-5,2019,Lund University,TRUE
10.1007/s10342-019-01166-6,2019,Stockholm University,TRUE
10.1007/s00407-019-00221-3,2019,Chalmers University of Technology,TRUE
10.1007/s00535-019-01548-y,2019,Lund University,TRUE
10.1007/s40291-019-00382-5,2019,Örebro University,TRUE
10.1007/s10745-019-0056-9,2019,Swedish University of Agricultural Sciences,TRUE
10.1007/s00216-019-01615-6,2019,Umea University,TRUE
10.1007/s41543-019-00016-x,2019,University of Gothenburg,TRUE
10.1007/s10570-019-02285-4,2019,Royal Institute of Technology,TRUE
10.1007/s10494-019-00009-z,2019,Royal Institute of Technology,TRUE
10.1007/s00170-019-03325-w,2019,University West,TRUE
10.1007/s00468-019-01814-9,2019,Lund University,TRUE
10.1007/s00775-019-01639-4,2019,Stockholm University,TRUE
10.1007/s10342-019-01168-4,2019,Stockholm University,TRUE
10.1007/s00122-019-03287-3,2019,Swedish University of Agricultural Sciences,TRUE
10.1007/s00420-019-01407-6,2019,Jönköping University,TRUE
10.1007/s00167-019-05366-w,2019,University of Gothenburg,TRUE
10.1007/s11027-019-9843-2,2019,Chalmers University of Technology,TRUE
10.1007/s11356-019-04281-4,2019,Örebro University,TRUE
10.1007/s12542-019-00448-z,2019,Uppsala University,TRUE
10.1007/s11133-019-9413-7,2019,Uppsala University,TRUE
10.1007/s11858-019-01028-w,2019,Malmö University,TRUE
10.1007/s12665-019-8074-x,2019,Lund University,TRUE
10.1007/s00261-019-01900-z,2019,Karolinska Institute,TRUE
