"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"University of Gothenburg",2019,NA,"10.1007/s11051-019-4524-3",TRUE,"Springer Nature","Journal of Nanoparticle Research","1388-0764","1388-0764","1572-896X","1388-0764","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000465496400001",NA,FALSE,"Springer Compact"
"Umea University",2019,NA,"10.1007/s00125-019-4874-5",TRUE,"Springer Nature","Diabetologia","0012-186X","0012-186X","1432-0428","0012-186X","https://creativecommons.org/licenses/by/4.0",TRUE,"31041471",NA,NA,NA,FALSE,"Springer Compact"
"Karolinska Institute",2019,NA,"10.1007/s11657-019-0599-9",TRUE,"Springer Nature","Archives of Osteoporosis","1862-3522","1862-3522","1862-3514","1862-3522","https://creativecommons.org/licenses/by/4.0",TRUE,"31028556","PMC6486622","ut:000466114400001",NA,FALSE,"Springer Compact"
"Lund University",2019,NA,"10.1007/s11095-019-2628-1",TRUE,"Springer Nature","Pharmaceutical Research","0724-8741","0724-8741","1573-904X","0724-8741","https://creativecommons.org/licenses/by/4.0",TRUE,"31037429",NA,"ut:000466388000001",NA,FALSE,"Springer Compact"
"Uppsala University",2019,NA,"10.1007/s11912-019-0798-y",TRUE,"Springer Nature","Current Oncology Reports","1523-3790","1523-3790","1534-6269","1523-3790","https://creativecommons.org/licenses/by/4.0",TRUE,"31028497",NA,"ut:000466532800002",NA,FALSE,"Springer Compact"
"Chalmers University of Technology",2019,NA,"10.1007/s10291-019-0851-1",TRUE,"Springer Nature","GPS Solutions","1080-5370","1080-5370","1521-1886","1080-5370","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000464868800003",NA,FALSE,"Springer Compact"
"Uppsala University",2019,NA,"10.1007/s00125-019-4857-6",TRUE,"Springer Nature","Diabetologia","0012-186X","0012-186X","1432-0428","0012-186X","https://creativecommons.org/licenses/by/4.0",TRUE,"30953108",NA,NA,NA,FALSE,"Springer Compact"
"Chalmers University of Technology",2019,NA,"10.1007/s10921-019-0590-9",TRUE,"Springer Nature","Journal of Nondestructive Evaluation","0195-9298","0195-9298","1573-4862","0195-9298","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000465441500001",NA,FALSE,"Springer Compact"
"Uppsala University",2019,NA,"10.1007/s12035-019-1585-3",TRUE,"Springer Nature","Molecular Neurobiology","0893-7648","0893-7648","1559-1182","0893-7648","https://creativecommons.org/licenses/by/4.0",TRUE,"30989628",NA,NA,NA,FALSE,"Springer Compact"
"Karolinska Institute",2019,NA,"10.1007/s12035-019-1580-8",TRUE,"Springer Nature","Molecular Neurobiology","0893-7648","0893-7648","1559-1182","0893-7648","https://creativecommons.org/licenses/by/4.0",TRUE,"30972626",NA,NA,NA,FALSE,"Springer Compact"
