DOI,period,Institution,is_hybrid
10.1007/s12062-019-09254-6,2019,Karolinska Institute,TRUE
10.1007/s11127-019-00761-w,2019,University of Gothenburg,TRUE
10.1007/s00420-019-01503-7,2019,Linköping University,TRUE
10.1007/s10455-019-09696-3,2019,Lund University,TRUE
10.1007/s00420-019-01505-5,2019,Karolinska Institute,TRUE
10.1007/s10943-019-00961-0,2019,University of Gothenburg,TRUE
10.1007/s00441-019-03160-1,2019,Umea University,TRUE
10.1007/s11060-019-03378-7,2019,University of Gothenburg,TRUE
10.1007/s10096-019-03807-5,2019,Linköping University,TRUE
10.1007/s00170-019-04706-x,2019,Chalmers University of Technology,TRUE
10.1007/s12053-019-09835-6,2019,Karlstad University,TRUE
10.1007/s12020-019-02160-z,2019,Karolinska Institute,TRUE
10.1007/s10096-019-03772-z,2019,Public Health Agency of Sweden,TRUE
10.1007/s10903-019-00951-0,2019,Karlstad University,TRUE
10.1007/s10533-019-00627-9,2019,University of Gothenburg,TRUE
10.1007/s00018-019-03422-9,2019,Karolinska Institute,TRUE
10.1007/s10879-019-09448-1,2019,Lund University,TRUE
10.1007/s00186-019-00699-1,2019,Linnaeus University,TRUE
10.1007/s12119-019-09690-8,2019,Linköping University,TRUE
10.1007/s00384-019-03473-1,2019,Linköping University,TRUE
10.1007/s11356-019-07274-5,2019,University of Gothenburg,TRUE
10.1007/s00231-019-02803-x,2019,Chalmers University of Technology,TRUE
10.1007/s11625-019-00770-0,2019,University of Gothenburg,TRUE
10.1007/s11356-019-07305-1,2019,Lulea University of Technology,TRUE
10.1007/s00415-019-09677-3,2019,Karolinska Institute,TRUE
10.1007/s11858-019-01119-8,2019,University of Gothenburg,TRUE
10.1007/s11104-019-04406-1,2019,Swedish University of Agricultural Sciences,TRUE
10.1007/s10562-019-03082-1,2019,Chalmers University of Technology,TRUE
10.1007/s13762-019-02607-w,2019,Stockholm University,TRUE
10.1007/s10570-019-02912-0,2019,Stockholm University,TRUE
10.1007/s10995-019-02846-w,2019,Uppsala University,TRUE
10.1007/s00383-019-04610-1,2019,Karolinska Institute,TRUE
10.1007/s00520-019-05237-7,2019,Karolinska Institute,TRUE
10.1007/s10706-019-01150-2,2019,Lulea University of Technology,TRUE
10.1007/s00238-019-01615-w,2019,University of Gothenburg,TRUE
10.1007/s00484-019-01848-1,2019,Södertörn University,TRUE
10.1007/s10460-019-10005-8,2019,Stockholm University,TRUE
10.1007/s00417-019-04569-8,2019,Lund University,TRUE
10.1007/s40264-019-00889-0,2019,Karolinska Institute,TRUE
10.3758/s13414-019-01953-8,2019,Uppsala University,TRUE
10.1007/s00267-019-01241-z,2019,RISE Research Institutes of Sweden,TRUE
10.1007/s11238-019-09740-5,2019,Karolinska Institute,TRUE
10.1007/s00170-019-04805-9,2019,Chalmers University of Technology,TRUE
10.1007/s11469-019-00202-1,2019,Lulea University of Technology,TRUE
10.1007/s10841-019-00208-z,2019,Stockholm University,TRUE
10.1007/s12020-019-02169-4,2019,Karolinska Institute,TRUE
10.1007/s00268-019-05312-4,2019,Umea University,TRUE
10.1007/s11012-019-01103-2,2019,Chalmers University of Technology,TRUE
10.1007/s10973-019-09156-x,2019,Lund University,TRUE
10.1007/s10111-019-00619-7,2019,Swedish National Road and Transport Research Institute (VTI),TRUE
10.1007/s10706-019-01139-x,2019,Lulea University of Technology,TRUE
10.1245/s10434-019-08149-2,2019,Uppsala University,TRUE
10.1007/s10570-019-02934-8,2019,Royal Institute of Technology,TRUE
10.1007/s42452-019-1908-z,2019,Linköping University,TRUE
10.1007/s00395-019-0765-7,2019,Karolinska Institute,TRUE
10.1007/s42979-019-0055-3,2019,Linköping University,TRUE
10.1007/s00107-019-01474-z,2019,Lund University,TRUE
10.1007/s00209-019-02412-8,2019,University of Gothenburg,TRUE
10.1007/s10516-019-09462-x,2019,Stockholm University,TRUE
10.1007/s00592-019-01450-2,2019,Lund University,TRUE
10.1007/s00415-019-09613-5,2019,Lund University,TRUE
10.1007/s11085-019-09943-9,2019,Chalmers University of Technology,TRUE
10.1007/s00268-019-05265-8,2019,University of Gothenburg,TRUE
10.1007/s40572-019-00257-1,2019,Uppsala University,TRUE
10.1007/s00018-019-03359-z,2019,Lund University,TRUE
10.1007/s11136-019-02362-y,2019,Linköping University,TRUE
10.1007/s12649-019-00878-5,2019,Linnaeus University,TRUE
10.1007/s11056-019-09762-5,2019,Swedish University of Agricultural Sciences,TRUE
10.1007/s00415-019-09620-6,2019,Umea University,TRUE
10.1007/s11019-019-09931-5,2019,Umea University,TRUE
10.1007/s10021-019-00458-7,2019,Lund University,TRUE
10.1007/s00153-019-00699-2,2019,University of Gothenburg,TRUE
10.1007/s10901-019-09717-4,2019,Lund University,TRUE
10.1007/s00259-019-04589-w,2019,Karolinska Institute,TRUE
10.1007/s00420-019-01486-5,2019,University of Gothenburg,TRUE
10.1007/s11869-019-00767-9,2019,Linköping University,TRUE
10.1007/s11242-019-01365-0,2019,Lulea University of Technology,TRUE
10.1007/s10841-019-00193-3,2019,Linköping University,TRUE
10.1007/s00167-019-05787-7,2019,Lund University,TRUE
10.1007/s10614-019-09943-6,2019,Örebro University,TRUE
10.1007/s11136-019-02364-w,2019,Uppsala University,TRUE
10.1007/s10549-019-05496-2,2019,Karolinska Institute,TRUE
10.1007/s10806-019-09812-0,2019,Royal Institute of Technology,TRUE
10.1007/s00246-019-02238-5,2019,Lund University,TRUE
10.1007/s00068-019-01263-6,2019,Umea University,TRUE
10.1007/s11625-019-00756-y,2019,Lund University,TRUE
10.1007/s00423-019-01836-4,2019,Lund University,TRUE
10.1007/s00024-019-02365-3,2019,Lulea University of Technology,TRUE
10.1007/s11255-019-02338-4,2019,Umea University,TRUE
10.1007/s10479-019-03461-2,2019,Uppsala University,TRUE
10.1007/s11239-019-01995-7,2019,Lund University,TRUE
10.1007/s00339-019-3144-1,2019,Royal Institute of Technology,TRUE
10.1007/s00348-019-2823-1,2019,Lulea University of Technology,TRUE
10.1007/s10877-019-00421-w,2019,Karolinska Institute,TRUE
10.1007/s13280-019-01290-y,2019,Stockholm University,TRUE
10.1007/s00127-019-01803-w,2019,Karolinska Institute,TRUE
10.1007/s11517-019-02073-z,2019,Mälardalen University,TRUE
10.1007/s00394-019-02142-x,2019,Umea University,TRUE
10.1007/s10668-019-00517-y,2019,Linköping University,TRUE
10.1007/s10207-019-00481-8,2019,University of Gothenburg,TRUE
10.1007/s00228-019-02780-4,2019,Karolinska Institute,TRUE
10.1007/s00520-019-05182-5,2019,Uppsala University,TRUE
10.1007/s12546-019-09237-6,2019,Stockholm University,TRUE
10.1007/s10519-019-09980-9,2019,Stockholm University,TRUE
10.1007/s10758-019-09426-5,2019,University of Gothenburg,TRUE
10.1007/s00787-019-01442-1,2019,Karolinska Institute,TRUE
10.1007/s11085-019-09946-6,2019,Chalmers University of Technology,TRUE
10.1007/s00345-019-03025-w,2019,Umea University,TRUE
10.1007/s00216-019-02263-6,2019,Örebro University,TRUE
10.1007/s40194-019-00829-7,2019,University West,TRUE
10.1007/s00586-019-06222-8,2019,University of Gothenburg,TRUE
10.1007/s12469-019-00220-1,2019,Lund University,TRUE
10.1007/s00464-019-07272-1,2019,Uppsala University,TRUE
10.1007/s40883-019-00141-2,2019,Chalmers University of Technology,TRUE
10.1007/s10543-019-00789-w,2019,Linköping University,TRUE
10.1007/s10344-019-1337-8,2019,Swedish University of Agricultural Sciences,TRUE
10.1007/s13165-019-00273-3,2019,Swedish University of Agricultural Sciences,TRUE
10.1007/s00423-019-01844-4,2019,Lund University,TRUE
10.1007/s10531-019-01906-5,2019,Lund University,TRUE
10.1007/s00704-019-03041-1,2019,Lund University,TRUE
10.1007/s12220-019-00325-w,2019,University of Gothenburg,TRUE
10.1007/s10867-019-09535-3,2019,Chalmers University of Technology,TRUE
10.1007/s10995-019-02826-0,2019,Uppsala University,TRUE
10.1007/s10661-019-7977-z,2019,Uppsala University,TRUE
10.1007/s42597-019-00020-1,2019,Uppsala University,TRUE
10.1007/s11665-019-04484-3,2019,Mid Sweden University,TRUE
10.1007/s10995-019-02817-1,2019,Uppsala University,TRUE
10.1007/s10910-019-01077-2,2019,Karolinska Institute,TRUE
10.1007/s00220-019-03634-x,2019,University of Gothenburg,TRUE
