institution;period;doi;is_hybrid;euro
MPG;2018;10.1039/C8CP01088A;TRUE;
MPG;2018;10.1039/C8NP00009C;TRUE;
MPG;2018;10.1039/C8CP01976B;TRUE;
MPG;2018;10.1039/C8CP01922C;TRUE;
MPG;2018;10.1039/C8TA02058B;TRUE;
MPG;2018;10.1039/C8TA04537B;TRUE;
MPG;2018;10.1039/C8TC01802B;TRUE;
MPG;2018;10.1039/C8DT01758A;TRUE;
MPG;2018;10.1039/C8NR03331E;TRUE;
MPG;2018;10.1039/C8CP01946K;TRUE;
MPG;2018;10.1039/C8DT00955D;TRUE;
MPG;2018;10.1039/C8CP02333F;TRUE;
MPG;2018;10.1039/C8EE01053F;TRUE;
MPG;2018;10.1039/C8EE01447G;TRUE;
MPG;2018;10.1039/C8SM00821C;TRUE;
MPG;2018;10.1039/C8SM01102H;TRUE;
MPG;2018;10.1039/C8CY01072B;TRUE;
MPG;2018;10.1039/C8CP01782D;TRUE;
MPG;2018;10.1039/C8CP02884B;TRUE;
MPG;2018;10.1039/C8TC01502C;TRUE;
MPG;2018;10.1039/C8CS00212F;TRUE;
MPG;2018;10.1039/C8CP03166E;TRUE;
MPG;2018;10.1039/C8CP01535J;TRUE;
MPG;2018;10.1039/C8LC00582F;TRUE;
MPG;2018;10.1039/C8SM01282B;TRUE;
