"Institution";"DOI";"is_hybrid";"period"
"University Medical Center Utrecht";"10.1007/s00330-016-4249-y";TRUE;2016
"University of Groningen";"10.1007/s00214-016-1831-y";TRUE;2016
"Maastricht University";"10.1007/s10668-016-9769-8";TRUE;2016
"VU University Medical Center (VUmc)";"10.1007/s00467-016-3343-3";TRUE;2016
"University of Twente";"10.1007/s00330-016-4240-7";TRUE;2016
"Radboud University";"10.1007/s00702-016-1516-7";TRUE;2016
"Eindhoven University of Technology";"10.1007/s10544-016-0040-8";TRUE;2016
"Academic Medical Center (AMC)";"10.1007/s13671-016-0136-7";TRUE;2016
"Wageningen University";"10.1007/s11077-016-9248-y";TRUE;2016
"Erasmus University";"10.1007/s10964-016-0476-4";TRUE;2016
"Utrecht University";"10.1007/s00426-016-0768-z";TRUE;2016
"Erasmus MC";"10.1007/s10552-016-0732-7";TRUE;2016
"Academic Medical Center (AMC)";"10.1007/s00268-016-3495-0";TRUE;2016
"Maastricht University";"10.1007/s10334-016-0543-6";TRUE;2016
"Leiden University";"10.1007/s11306-016-1025-6";TRUE;2016
"Leiden University Medical Center (LUMC)";"10.1007/s00701-016-2777-5";TRUE;2016
"VU University Amsterdam";"10.1007/s40806-016-0048-6";TRUE;2016
"VU University Medical Center (VUmc)";"10.1007/s10545-016-9925-1";TRUE;2016
"VU University Amsterdam";"10.1007/s00586-016-4526-0";TRUE;2016
"Maastricht University";"10.1007/s10459-016-9679-4";TRUE;2016
"University of Amsterdam";"10.1007/s12671-016-0504-1";TRUE;2016
"University Medical Center Utrecht";"10.1007/s00270-016-1310-9";TRUE;2016
"University of Twente";"10.1007/s00348-016-2136-6";TRUE;2016
"Erasmus MC";"10.1007/s10654-016-0128-8";TRUE;2016
"Radboud University Medical Center";"10.1007/s15010-016-0884-0";TRUE;2016
"VU University Amsterdam";"10.1007/s11238-016-9538-z";TRUE;2016
"VU University Amsterdam";"10.1007/s10519-016-9782-6";TRUE;2016
"Erasmus University";"10.1007/s11238-016-9542-3";TRUE;2016
"Maastricht University";"10.1007/s00355-016-0950-7";TRUE;2016
"University Medical Center Utrecht";"10.1007/s00439-016-1647-9";TRUE;2016
"Radboud University";"10.1007/s41061-016-0016-4";TRUE;2016
"Eindhoven University of Technology";"10.1007/s11116-016-9691-9";TRUE;2016
"Wageningen University";"10.1007/s10499-016-9987-y";TRUE;2016
"VU University Amsterdam";"10.1007/s11069-016-2286-0";TRUE;2016
"VU University Medical Center (VUmc)";"10.1007/s00520-016-3148-8";TRUE;2016
"Tilburg University";"10.1007/s10551-016-3109-7";TRUE;2016
"Leiden University Medical Center (LUMC)";"10.1007/s00259-016-3372-y";TRUE;2016
"Delft University of Technology";"10.1007/s11661-016-3418-6";TRUE;2016
"University Medical Center Utrecht";"10.1007/s00784-016-1791-6";TRUE;2016
"Utrecht University";"10.1007/s00262-016-1819-4";TRUE;2016
"Leiden University";"10.1007/s10603-016-9317-9";TRUE;2016
"Utrecht University";"10.1007/s00018-016-2168-3";TRUE;2016
"Academic Medical Center (AMC)";"10.1007/s00432-016-2140-5";TRUE;2016
"University of Groningen";"10.1007/s00216-016-9431-1";TRUE;2016
"Academic Medical Center (AMC)";"10.1007/s00011-016-0931-4";TRUE;2016
"University of Amsterdam";"10.1007/s11786-016-0250-8";TRUE;2016
"Wageningen University";"10.1007/s10658-016-0898-6";TRUE;2016
