"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"TU Berlin",2020,2910.73,"10.1039/d0cy01528h",TRUE,"Royal Society of Chemistry (RSC)","Catalysis Science & Technology","2044-4753","2044-4753","2044-4761","2044-4753","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,"ut:000613888900027",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/d0sm01238f",TRUE,"Royal Society of Chemistry (RSC)","Soft Matter","1744-683X","1744-683X","1744-6848","1744-683X","http://creativecommons.org/licenses/by/3.0/",TRUE,"32914813",NA,"ut:000582936500018",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/c9cy02285f",TRUE,"Royal Society of Chemistry (RSC)","Catalysis Science & Technology","2044-4753","2044-4753","2044-4761","2044-4753","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,"ut:000524587800006",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/c9cy01920k",TRUE,"Royal Society of Chemistry (RSC)","Catalysis Science & Technology","2044-4753","2044-4753","2044-4761","2044-4753","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000536775400014",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/c9ta09775a",TRUE,"Royal Society of Chemistry (RSC)","Journal of Materials Chemistry A","2050-7488","2050-7488","2050-7496","2050-7496","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,NA,NA,"ut:000521200000037",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/c9cy02579k",TRUE,"Royal Society of Chemistry (RSC)","Catalysis Science & Technology","2044-4753","2044-4753","2044-4761","2044-4753","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000534338900019",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/d0cp02110e",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084","1463-9076","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"32490447",NA,"ut:000543038500022",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/d0ee01125h",TRUE,"Royal Society of Chemistry (RSC)","Energy & Environmental Science","1754-5692","1754-5692","1754-5706","1754-5692","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000544033100010",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/d0nr03170d",TRUE,"Royal Society of Chemistry (RSC)","Nanoscale","2040-3364","2040-3364","2040-3372","2040-3364","http://creativecommons.org/licenses/by/3.0/",TRUE,"32618327",NA,"ut:000549588900005",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/d0sm00616e",TRUE,"Royal Society of Chemistry (RSC)","Soft Matter","1744-683X","1744-683X","1744-6848","1744-683X","http://creativecommons.org/licenses/by/3.0/",TRUE,"32582901",NA,"ut:000548419000012",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/d0ee01013h",TRUE,"Royal Society of Chemistry (RSC)","Energy & Environmental Science","1754-5692","1754-5692","1754-5706","1754-5692","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000566904600013",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/d0cc03229h",TRUE,"Royal Society of Chemistry (RSC)","Chemical Communications","1359-7345","1359-7345","1364-548X","1359-7345","http://creativecommons.org/licenses/by/3.0/",TRUE,"32696786",NA,"ut:000560917100015",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/d0cp02919j",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084","1463-9076","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"32685941",NA,"ut:000556405200024",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/d0ja00208a",TRUE,"Royal Society of Chemistry (RSC)","Journal of Analytical Atomic Spectrometry","0267-9477","0267-9477","1364-5544","0267-9477","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000578579900018",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
"TU Berlin",2020,2910.73,"10.1039/d0cp02572k",TRUE,"Royal Society of Chemistry (RSC)","Physical Chemistry Chemical Physics","1463-9076","1463-9076","1463-9084","1463-9076","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"32749415",NA,"ut:000562560400020",NA,FALSE,"TIB RSC Journals R&P - TU Berlin"
