INSTITUTION;PERIOD;AGREEMENT;DOI;IS_HIBRID;PUBLISHER;JOURNAL_FULL_TITLE;ISSN
University of Milan;2024;University of Milan - OUP;10.1093/eurjpc/zwae056;TRUE;OUP;EUROPEAN JOURNAL OF PREVENTIVE CARDIOLOGY;2047-4873
University of Milan;2024;University of Milan - OUP;10.1093/jas/skae070;TRUE;OUP;JOURNAL OF ANIMAL SCIENCE;0021-8812
University of Milan;2024;University of Milan - OUP;10.1093/humrep/deae086;TRUE;OUP;HUMAN REPRODUCTION;0268-1161
University of Milan;2024;University of Milan - OUP;10.1093/socrel/srae004;TRUE;OUP;SOCIOLOGY OF RELIGION;1069-4404
University of Milan;2024;University of Milan - OUP;10.1093/aje/kwae130;TRUE;OUP;AMERICAN JOURNAL OF EPIDEMIOLOGY;0002-9262
University of Milan;2024;University of Milan - OUP;10.1210/clinem/dgae476;TRUE;OUP;THE JOURNAL OF CLINICAL ENDOCRINOLOGY AND METABOLISM;0021-972X
University of Milan;2024;University of Milan - OUP;10.1093/jicj/mqae017;TRUE;OUP;JOURNAL OF INTERNATIONAL CRIMINAL JUSTICE;1478-1387
University of Milan;2024;University of Milan - OUP;10.1093/jleo/ewae023;TRUE;OUP;THE JOURNAL OF LAW ECONOMICS & ORGANIZATION;8756-6222
University of Milan;2024;University of Milan - OUP;10.1093/imrn/rnae181;TRUE;OUP;INTERNATIONAL MATHEMATICS RESEARCH NOTICES;1073-7928
University of Milan;2024;University of Milan - OUP;10.1093/nutrit/nuae168;TRUE;OUP;NUTRITION REVIEWS;1753-4887
University of Milan;2024;University of Milan - OUP;10.1093/jnci/djae288;TRUE;OUP;JOURNAL OF THE NATIONAL CANCER INSTITUTE;0027-8874
University of Milan;2024;University of Milan - OUP;10.1093/logcom/exae086;TRUE;OUP;JOURNAL OF LOGIC AND COMPUTATION;0955-792X
University of Milan;2024;University of Milan - OUP;10.1093/notesj/gjae024;TRUE;OUP;NOTES AND QUERIES;0029-3970
University of Milan;2024;University of Milan - OUP;10.1093/jigpal/jzae113;TRUE;OUP;LOGIC JOURNAL OF THE IGPL;1367-0751
University of Milan;2024;University of Milan - OUP;10.1093/jhc/fhae016;TRUE;OUP;JOURNAL OF THE HISTORY OF COLLECTIONS;0954-6650
University of Milan;2024;University of Milan - OUP;10.1093/neuonc/noae264;TRUE;OUP;NEURO-ONCOLOGY;1522-8517
University of Milan;2024;University of Milan - OUP;10.1093/ser/mwae025;TRUE;OUP;SOCIO-ECONOMIC REVIEW;1475-1461
University of Milan;2024;University of Milan - OUP;10.1093/ejil/chae019;TRUE;OUP;EUROPEAN JOURNAL OF INTERNATIONAL LAW;0938-5428
University of Milan;2024;University of Milan - OUP;10.1093/analys/anae043;TRUE;OUP;ANALYSIS;0003-2638
