"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"VSB - Technical University of Ostrava",2021,1512.22,"10.3390/pr9010106",FALSE,"MDPI AG","Processes","2227-9717",NA,"2227-9717","2227-9717","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000610760700001",NA,TRUE
"VSB - Technical University of Ostrava",2021,1008.15,"10.3390/su13020524",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000611761200001",NA,TRUE
"VSB - Technical University of Ostrava",2021,1899.88,"10.3390/s21030725",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"33494497","PMC7865960","ut:000615502600001",NA,TRUE
"VSB - Technical University of Ostrava",2021,1998.54,"10.1142/s0218348x21501000",TRUE,"World Scientific Pub Co Pte Lt","Fractals","0218-348X","0218-348X","1793-6543","0218-348X",NA,TRUE,NA,NA,NA,NA,FALSE
"VSB - Technical University of Ostrava",2021,1011.14,"10.3390/hydrology8010014",FALSE,"MDPI AG","Hydrology","2306-5338",NA,"2306-5338","2306-5338","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000633124000001",NA,TRUE
"VSB - Technical University of Ostrava",2021,909.77,"10.3390/catal11020203",FALSE,"MDPI AG","Catalysts","2073-4344",NA,"2073-4344","2073-4344","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000622284100001",NA,TRUE
"VSB - Technical University of Ostrava",2021,2197.87,"10.1155/2021/3876561",FALSE,"Hindawi Publishing Corporation","Mathematical Problems in Engineering","1563-5147","1024-123X","1563-5147","1024-123X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000641977200001",NA,TRUE
"VSB - Technical University of Ostrava",2021,2040.68,"10.3390/app11041610",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417","2076-3417","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000632146900001",NA,TRUE
"VSB - Technical University of Ostrava",2021,1815.34,"10.3390/su13063219",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000645759900001",NA,TRUE
"VSB - Technical University of Ostrava",2021,2044.9,"10.1038/s41598-021-83460-1",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33603017","PMC7892814","ut:000621412400026",NA,TRUE
"VSB - Technical University of Ostrava",2021,894.23,"10.3390/min11020197",FALSE,"MDPI AG","Minerals","2075-163X",NA,"2075-163X","2075-163X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000622846600001",NA,TRUE
"VSB - Technical University of Ostrava",2021,1810.81,"10.3390/su13042048",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000624815000001",NA,TRUE
"VSB - Technical University of Ostrava",2021,1408.4,"10.3390/coatings11020207",FALSE,"MDPI AG","Coatings","2079-6412",NA,"2079-6412","2079-6412","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000622377000001",NA,TRUE
"VSB - Technical University of Ostrava",2021,2313.39,"10.3390/ijerph18030929",FALSE,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601","1660-4601","https://creativecommons.org/licenses/by/4.0/",TRUE,"33494483","PMC7908560","ut:000615154900001",NA,TRUE
"VSB - Technical University of Ostrava",2021,1883.4,"10.3390/su13052957",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000628671000001",NA,TRUE
"VSB - Technical University of Ostrava",2021,1210,"10.1016/j.jlp.2021.104410",TRUE,"Elsevier BV","Journal of Loss Prevention in the Process Industries","0950-4230","0950-4230",NA,"0950-4230","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000633443200005",NA,FALSE
"VSB - Technical University of Ostrava",2021,2163.09,"10.1364/oe.418186",FALSE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087","1094-4087","https://doi.org/10.1364/OA_License_v1#VOR-OA",TRUE,"33820178",NA,NA,NA,TRUE
"VSB - Technical University of Ostrava",2021,1301.86,"10.1145/3447807",TRUE,"Association for Computing Machinery (ACM)","ACM Transactions on Graphics","0730-0301","0730-0301","1557-7368","0730-0301",NA,TRUE,NA,NA,"ut:000667456500007",NA,FALSE
"VSB - Technical University of Ostrava",2021,2120.84,"10.1109/access.2021.3064016",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536","2169-3536","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,TRUE
"VSB - Technical University of Ostrava",2021,1417.88,"10.3390/min11030313",FALSE,"MDPI AG","Minerals","2075-163X",NA,"2075-163X","2075-163X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000633908000001",NA,TRUE
"VSB - Technical University of Ostrava",2021,818.01,"10.3390/app11062800",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417","2076-3417","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000645687500001",NA,TRUE
"VSB - Technical University of Ostrava",2021,2046.48,"10.1364/oe.421162",FALSE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087","1094-4087","https://doi.org/10.1364/OA_License_v1#VOR-OA",TRUE,"33985045",NA,NA,NA,TRUE
