institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,url
TU Berlin,2018,1630.30, 10.1038/s41598-018-38433-2,FALSE,,,,
TU Berlin,2019,1422.70,10.3390/s19010208,FALSE,,,,
TU Berlin,2019,1415.35,10.1109/JPHOT.2019.2901722,FALSE,,,,
TU Berlin,2018,970.05,10.3390/genes10010017,FALSE,,,,
TU Berlin,2019,1261.34,10.3390/ma12020266,FALSE,,,,
TU Berlin,2019,1871.77,10.3389/fchem.2018.00667,FALSE,,,,
TU Berlin,2019,1133.06,10.3389/fams.2018.00067,FALSE,,,,
TU Berlin,2019,630.70,10.1080/15487733.2019.1567215,FALSE,,,,
TU Berlin,2019,1328.04,10.5194/hess-23-537-2019,FALSE,,,,
TU Berlin,2019,1773.10,10.1038/s41598-019-39320-0,FALSE,,,,
TU Berlin,2019,2126.20,10.2196/11497,FALSE,,,,
TU Berlin,2019,1329.55,10.3390/su11030857,FALSE,,,,
TU Berlin,2019,1207.86,10.1049/joe.2018.5520,FALSE,,,,
TU Berlin,2019,1414.10,10.3390/s19040973,FALSE,,,,
TU Berlin,2019,1897.72,10.3389/fbioe.2019.00037,FALSE,,,,
TU Berlin,2019,1997.59,10.3389/fpsyg.2019.00519,FALSE,,,,
TU Berlin,2019,1202.44,10.1177/1756827719856237,FALSE,,,,
TU Berlin,2019,2059.40,10.1177/1687814019841779,FALSE,,,,
TU Berlin,2019,1986.22,10.1371/journal.pcbi.1006827,FALSE,,,,
TU Berlin,2019,1921.16,10.25165/j.ijabe.20191202.2999,FALSE,,,,
TU Berlin,2019,786.09,10.3390/insects10040084,FALSE,,,,
TU Berlin,2019,796.76,10.3390/ani9040136,FALSE,,,,
TU Berlin,2019,1159.06,10.3389/fmech.2019.00007,FALSE,,,,
TU Berlin,2019,1159.06,10.3389/fams.2019.00019,FALSE,,,,
TU Berlin,2019,1773.10,10.1038/s41598-019-42884-6,FALSE,,,,
TU Berlin,2019,1258.97,10.3390/w11050888,FALSE,,,,
TU Berlin,2019,1868.01,10.2136/vzj2019.01.0008,FALSE,,,,
TU Berlin,2019,1773.10,10.1038/s41598-019-43468-0,FALSE,,,,
TU Berlin,2019,1410.42,10.3390/ijms20092299,FALSE,,,,
TU Berlin,2019,1035.43,10.3389/fams.2019.00026,FALSE,,,,
TU Berlin,2019,1410.42,10.3390/ijms20092343,FALSE,,,,
TU Berlin,2019,297.50,10.2478/rara-2019-0009,FALSE,,,,
TU Berlin,2019,1155.85,10.3390/math7050462,FALSE,,,,
TU Berlin,2019,669.80,10.3390/math7050462,FALSE,,,,
TU Berlin,2019,1418.48,10.1038/s41598-019-44269-1,FALSE,,,,
TU Berlin,2019,1773.10,10.1038/s41598-019-44687-1,FALSE,,,,
TU Berlin,2019,264.75,10.1107/S2056989019008053 ,FALSE,,,,
TU Berlin,2019,1192.58,10.3390/app9122437,FALSE,,,,
TU Berlin,2019,876.45,10.3390/pr7060380,FALSE,,,,
TU Berlin,2019,1902.94,10.3389/fbioe.2019.00122,FALSE,,,,
TU Berlin,2019,1151.80,10.3389/fmech.2019.00030,FALSE,,,,
TU Berlin,2019,856.21,10.3389/feduc.2019.00053,FALSE,,,,
TU Berlin,2019,1151.56,10.3389/fams.2019.00031,FALSE,,,,
TU Berlin,2019,595.00,10.1515/arh-2019-0014,FALSE,,,,
TU Berlin,2019,1356.60,10.1186/s13068-019-1473-0,FALSE,,,,
TU Berlin,2019,2012.14,10.1155/2019/5075163,FALSE,,,,
TU Berlin,2019,283.55,10.3390/resources8030132,FALSE,,,,
TU Berlin,2019,974.07,10.1039/C9RA04865K,FALSE,,,,
TU Berlin,2019,1389.98,10.3390/su11164303,FALSE,,,,
TU Berlin,2019,1730.28,10.1371/journal.pone.0217447,FALSE,,,,
TU Berlin,2019,818.59,10.3390/membranes9090108,FALSE,,,,
TU Berlin,2019,1720.91,10.1371/journal.pone.0220583,FALSE,,,,
TU Berlin,2019,583.10,10.16910/jemr.12.4.2,FALSE,,,,
TU Berlin,2019,1983.73,10.3389/fmicb.2019.02133,FALSE,,,,
TU Berlin,2019,1474.64,10.3390/s19194212,FALSE,,,,
TU Berlin,2019,1464.49,10.3390/ma12193078,FALSE,,,,
TU Berlin,2019,1428.00,10.1088/1367-2630/ab4522,FALSE,,,,
TU Berlin,2019,1388.85,10.3390/su11195343,FALSE,,,,
TU Berlin,2019,1773.10,10.1038/s41598-019-50960-0,FALSE,,,,
TU Berlin,2019,1071.00,10.17645/pag.v7i4.2215,FALSE,,,,
TU Berlin,2019,351.05,10.3926/jiem.3004,FALSE,,,,
TU Berlin,2019,1461.59,10.3390/ma12203445,FALSE,,,,
TU Berlin,2019,1380.40,10.3390/su11215900,FALSE,,,,
TU Berlin,2019,1037.04,10.1039/C9RA05541J,FALSE,,,,
TU Berlin,2019,1999.13,10.1088/1748-9326/ab506b,FALSE,,,,
TU Berlin,2019,1379.69,10.3390/su11215991,FALSE,,,,
TU Berlin,2019,1456.88,10.3390/ijms20215507,FALSE,,,,
