Institution;period;euro;doi;backlist_oa;publisher;book_title;isbn;isbn_print;isbn_electronic;license_ref;indexed_in_crossref;doab
Technische UniversitÑt Berlin;2018;476;10.14279/depositonce-7472;FALSE;Ruby Press Berlin;Das Kotti-Prinzip. Urbane Komplizenschaft zwischen Raum,  Mensch, Zeit, Wissen und Dingen;978-3-944074-25-2;;;https://creativecommons.org/licenses/by-nc-sa/4.0/;;FALSE
Technische UniversitÑt Berlin;2019;5.355,00;10.1007/978-3-658-24945-8;FALSE;Springer VS;Die Praxis kollektiven Handelns;;978-3-658-24944-1;978-3-658-24945-8;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische UniversitÑt Berlin;2019;12.390,88;10.1007/978-3-662-58709-6;FALSE;Springer;Handbook of contact mechanics. Exact solutions of axisymmetric contact problems;;978-3-662-58708-9;978-3-662-58709-6;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische UniversitÑt Berlin;2019;5.908,35;10.1007/978-3-658-25393-6;FALSE;Springer VS;The places where community is practiced. How store owners and their businesses build neighborhood social life;;978-3-658-25392-9;978-3-658-25393-6;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische UniversitÑt Berlin;2019;7.080,50;10.1007/978-3-662-60296-6;FALSE;Springer;Sto·probleme in Physik, Technik und Medizin. Grundlagen und Anwendungen;;978-3-662-60295-9;978-3-662-60296-6;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische UniversitÑt Berlin;2020;7.497,00;10.1007/978-3-030-48485-9;FALSE;Springer;The economics of water. Rules and institutions;;978-3-030-48484-2;978-3-030-48485-9;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische UniversitÑt Berlin;2020;7.232,02;10.14361/9783839448748;FALSE;transcript;Media agency. Neue AnsÑtze zur MedialitÑt in der Architektur;;978-3-8376-4874-4;978-3-8394-4874-8;https://creativecommons.org/licenses/by-sa/4.0/;;TRUE
Technische UniversitÑt Berlin;2020;7.427,48;10.1007/978-3-030-60124-9;FALSE;Springer;Multiscale biomechanics and tribology of inorganic and organic systems;;978-3-030-60123-2;978-3-030-60124-9;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische UniversitÑt Berlin;2020;4.760,00;10.3726/b16557;FALSE;Peter Lang;Sprachlernspiele im DaF-Unterricht in der VR China. Mîglichkeiten und Herausforderungen ihres Einsatzes in UniversitÑten;;978-3-631-80063-8;978-3-631-81241-9;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische UniversitÑt Berlin;2020;3.580,00;10.14631/978-3-96317-721-7;FALSE;BÅchner;Sampling in der Musikproduktion. Das Spannungsfeld zwischen Urheberrecht und KreativitÑt;;978-3-96317-190-1;978-3-96317-721-7;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische UniversitÑt Berlin;2019;7.140,00;10.14361/9783839451854;FALSE;transcript;Die multiple IdentitÑt der Technik. Eine Innovationsbiographie der Augmented Reality-Technologie;;978-3-8376-5185-0;978-3-8394-5185-4;https://creativecommons.org/licenses/by-sa/4.0/;;TRUE
Technische UniversitÑt Berlin;2020;8.120,00;10.1007/978-3-030-62669-3;FALSE;Springer;Environmental valuation with discrete choice experiments. Guidance on design, implementation and data analysis;;978-3-030-62668-6;978-3-030-62669-3;https://creativecommons.org/licenses/by/4.0/;;TRUE
Technische UniversitÑt Berlin;2020;7.556,50;10.14361/9783839455890;FALSE;transcript;Im Zwischenraum der beschleunigten Moderne. Eine Bau- und Kulturgeschichte des Wartens auf Eisenbahnen, 1830-1935;;978-3-8376-5589-6;978-3-8394-5589-0;https://creativecommons.org/licenses/by/4.0/;;FALSE
