"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"TU Braunschweig",2023,3841.27,"10.1002/bit.28636",TRUE,"Wiley-Blackwell","Biotechnology and Bioengineering","0006-3592","0006-3592","1097-0290","0006-3592","http://creativecommons.org/licenses/by/4.0/",TRUE,"38151924",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/ejic.202300680",TRUE,"Wiley-Blackwell","European Journal of Inorganic Chemistry","1434-1948","1434-1948","1099-0682","1434-1948","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/ppap.202300177",TRUE,"Wiley-Blackwell","Plasma Processes and Polymers","1612-8850","1612-8850","1612-8869","1612-8850","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/stco.202300024",TRUE,"Wiley-Blackwell","Steel Construction","1867-0520","1867-0520","1867-0539","1867-0520","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pamm.202300137",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/anie.202314870",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by/4.0/",TRUE,"37947372",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/ange.202314870",TRUE,"Wiley-Blackwell","Angewandte Chemie","0044-8249","0044-8249","1521-3757","0044-8249","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/anie.202313010",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37883663",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/jssc.202300516",TRUE,"Wiley-Blackwell","Journal of Separation Science","1615-9306","1615-9306","1615-9314","1615-9306","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37884462",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pamm.202300294",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pamm.202300027",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pamm.202300265",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pamm.202300257",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pamm.202300109",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cepa.2919",TRUE,"Wiley-Blackwell","ce/papers","2509-7075","2509-7075","2509-7075","2509-7075","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/elps.202300032",TRUE,"Wiley-Blackwell","ELECTROPHORESIS","0173-0835","0173-0835","1522-2683","0173-0835","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37732546",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cepa.2872",TRUE,"Wiley-Blackwell","ce/papers","2509-7075","2509-7075","2509-7075","2509-7075","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cepa.2826",TRUE,"Wiley-Blackwell","ce/papers","2509-7075","2509-7075","2509-7075","2509-7075","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cepa.2816",TRUE,"Wiley-Blackwell","ce/papers","2509-7075","2509-7075","2509-7075","2509-7075","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pamm.202300091",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cepa.2811",TRUE,"Wiley-Blackwell","ce/papers","2509-7075","2509-7075","2509-7075","2509-7075","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cepa.2818",TRUE,"Wiley-Blackwell","ce/papers","2509-7075","2509-7075","2509-7075","2509-7075","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cepa.2822",TRUE,"Wiley-Blackwell","ce/papers","2509-7075","2509-7075","2509-7075","2509-7075","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/ppap.202300123",TRUE,"Wiley-Blackwell","Plasma Processes and Polymers","1612-8850","1612-8850","1612-8869","1612-8850","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cbic.202300537",TRUE,"Wiley-Blackwell","ChemBioChem","1439-4227","1439-4227","1439-7633","1439-4227","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37650217",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pamm.202300216",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pamm.202300080",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pamm.202300102",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cend.202300011",TRUE,"Wiley-Blackwell","Civil Engineering Design","2625-073X","2625-073X","2625-073X","2625-073X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cctc.202300658",TRUE,"Wiley-Blackwell","ChemCatChem","1867-3880","1867-3880","1867-3899","1867-3880","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pmic.202200421",TRUE,"Wiley-Blackwell","PROTEOMICS","1615-9853","1615-9853","1615-9861","1615-9853","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37609810",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pro.4753",TRUE,"Wiley-Blackwell","Protein Science","0961-8368","0961-8368","1469-896X","0961-8368","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37572332","PMC10461460",NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cepa.2677",TRUE,"Wiley-Blackwell","ce/papers","2509-7075","2509-7075","2509-7075","2509-7075","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/bit.28528",TRUE,"Wiley-Blackwell","Biotechnology and Bioengineering","0006-3592","0006-3592","1097-0290","0006-3592","http://creativecommons.org/licenses/by/4.0/",TRUE,"37593803",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/chem.202302494",TRUE,"Wiley-Blackwell","Chemistry - A European Journal","0947-6539","0947-6539","1521-3765","0947-6539","http://creativecommons.org/licenses/by/4.0/",TRUE,"37584302",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cepa.2667",TRUE,"Wiley-Blackwell","ce/papers","2509-7075","2509-7075","2509-7075","2509-7075","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1029/2023ja031603",TRUE,"American Geophysical Union (AGU)","Journal of Geophysical Research: Space Physics","2169-9380","2169-9380","2169-9402","2169-9380","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/elps.202300158",TRUE,"Wiley-Blackwell","ELECTROPHORESIS","0173-0835","0173-0835","1522-2683","0173-0835","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37537327",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cmdc.202300344",TRUE,"Wiley-Blackwell","ChemMedChem","1860-7179","1860-7179","1860-7187","1860-7179","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37485831",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/jcc.27196",TRUE,"Wiley-Blackwell","Journal of Computational Chemistry","0192-8651","0192-8651","1096-987X","0192-8651","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37489606",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/mawe.202300067",TRUE,"Wiley-Blackwell","Materialwissenschaft und Werkstofftechnik","0933-5137","0933-5137","1521-4052","0933-5137","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cite.202300052",TRUE,"Wiley-Blackwell","Chemie Ingenieur Technik","0009-286X","0009-286X","1522-2640","0009-286X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cphc.202300197",TRUE,"Wiley-Blackwell","ChemPhysChem","1439-4235","1439-4235","1439-7641","1439-4235","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"37402703",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/ente.202300341",TRUE,"Wiley-Blackwell","Energy Technology","2194-4288","2194-4288","2194-4296","2194-4288","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/anie.202306598",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37318206",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cctc.202300452",TRUE,"Wiley-Blackwell","ChemCatChem","1867-3880","1867-3880","1867-3899","1867-3880","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cite.202200197",TRUE,"Wiley-Blackwell","Chemie Ingenieur Technik","0009-286X","0009-286X","1522-2640","0009-286X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/aenm.202300973",TRUE,"Wiley-Blackwell","Advanced Energy Materials","1614-6832","1614-6832","1614-6840","1614-6832","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/ente.202300307",TRUE,"Wiley-Blackwell","Energy Technology","2194-4288","2194-4288","2194-4296","2194-4288","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/nme.7289",TRUE,"Wiley-Blackwell","International Journal for Numerical Methods in Engineering","0029-5981","0029-5981","1097-0207","0029-5981","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/elps.202200284",TRUE,"Wiley-Blackwell","ELECTROPHORESIS","0173-0835","0173-0835","1522-2683","0173-0835","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"37079448",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/jcc.27114",TRUE,"Wiley-Blackwell","Journal of Computational Chemistry","0192-8651","0192-8651","1096-987X","0192-8651","http://creativecommons.org/licenses/by/4.0/",TRUE,"37171574",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/elps.202200275",TRUE,"Wiley-Blackwell","ELECTROPHORESIS","0173-0835","0173-0835","1522-2683","0173-0835","http://creativecommons.org/licenses/by/4.0/",TRUE,"37043774",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1111/cgf.14796",TRUE,"Wiley-Blackwell","Computer Graphics Forum","0167-7055","0167-7055","1467-8659","0167-7055","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/adhm.202203256",TRUE,"Wiley-Blackwell","Advanced Healthcare Materials","2192-2640","2192-2640","2192-2659","2192-2640","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"37018430","PMC11468608",NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1111/acps.13543",TRUE,"Wiley-Blackwell","Acta Psychiatrica Scandinavica","0001-690X","0001-690X","1600-0447","0001-690X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36905373",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/zaac.202300025",TRUE,"Wiley-Blackwell","Zeitschrift für anorganische und allgemeine Chemie","0044-2313","0044-2313","1521-3749","0044-2313","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/jqs.3517",TRUE,"Wiley-Blackwell","Journal of Quaternary Science","0267-8179","0267-8179","1099-1417","0267-8179","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1111/aec.13302",TRUE,"Wiley-Blackwell","Austral Ecology","1442-9985","1442-9985","1442-9993","1442-9985","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cmdc.202300036",TRUE,"Wiley-Blackwell","ChemMedChem","1860-7179","1860-7179","1860-7187","1860-7179","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"36847711",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cite.202200208",TRUE,"Wiley-Blackwell","Chemie Ingenieur Technik","0009-286X","0009-286X","1522-2640","0009-286X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/ardp.202300005",TRUE,"Wiley-Blackwell","Archiv der Pharmazie","0365-6233","0365-6233","1521-4184","0365-6233","http://creativecommons.org/licenses/by/4.0/",TRUE,"37010439",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cite.202200227",TRUE,"Wiley-Blackwell","Chemie Ingenieur Technik","0009-286X","0009-286X","1522-2640","0009-286X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/pssa.202200809",TRUE,"Wiley-Blackwell","physica status solidi (a)","1862-6300","1862-6300","1862-6319","1862-6300","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"",,,"","","","","","","","","","","","","","","",""
"TU Braunschweig",2023,3841.27,"10.1002/ente.202201299",TRUE,"Wiley-Blackwell","Energy Technology","2194-4288","2194-4288","2194-4296","2194-4288","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/ente.202200671",TRUE,"Wiley-Blackwell","Energy Technology","2194-4288","2194-4288","2194-4296","2194-4288","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/anie.202218492",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by/4.0/",TRUE,"36655928",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/cbic.202200744",TRUE,"Wiley-Blackwell","ChemBioChem","1439-4227","1439-4227","1439-7633","1439-4227","http://creativecommons.org/licenses/by/4.0/",TRUE,"36622253",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Braunschweig",2023,3841.27,"10.1002/ange.202218492",TRUE,"Wiley-Blackwell","Angewandte Chemie","0044-8249","0044-8249","1521-3757","0044-8249","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
