Nr.,institution,period,euro,doi,is_hybrid,publisher,journal_full_title,url
1,TU Chemnitz,2016,"1432,84",10.1371/journal.pone.0151634,FALSE,Public Library of Science (PLoS),PLoS ONE,
2,TU Chemnitz,2016,2000,10.3389/fpsyg.2016.00343,FALSE,Frontiers Media S.A.,Frontiers in Psychology,
3,TU Chemnitz,2016,"1374,45",10.1186/s11671-015-1216-5,FALSE,Springer,Nanoscale Research Letters,
4,TU Chemnitz,2016,2000,10.3389/fams.2016.00004,FALSE,Frontiers Media S.A.,Frontiers in Applied Mathematics and Statistics,
5,TU Chemnitz,2016,"180,33",10.1107/S2056989015024214,FALSE,International Union of Crystallography,Acta Crystallographica Section E: CRYSTALLOGRAPHIC COMMUNICATIONS,
6,TU Chemnitz,2016,2000,10.3389/fpsyg.2016.00399,FALSE,Frontiers Media S.A.,Frontiers in Psychology.,
7,TU Chemnitz,2016,"1956,19",10.3389/fphy.2016.00028,FALSE,Frontiers Media S.A.,Frontiers in Physics,
8,TU Chemnitz,2016,"1512,75",10.1097/MD.0000000000004242,FALSE,Wolters Kluwer,Medicine,
9,TU Chemnitz,2016,"1387,43",10.3390/e18070275,FALSE,MDPI AG,Entropy,
10,TU Chemnitz,2016,2000,10.1186/s12868-016-0279-2,FALSE,BioMed Central,BMC Neuroscience,
11,TU Chemnitz,2016,"831,34",,FALSE,Sciaccess,Journal of Neurology & Neuromedicine,http://nbn-resolving.de/urn:nbn:de:bsz:ch1-qucosa-213533
12,TU Chemnitz,2016,"1436,02",10.1155/2016/9837321,FALSE,Hindawi Publishing Corporation,Neural Plasticity,
13,TU Chemnitz,2016,"632,59",10.4236/ojcm.2016.64013,FALSE,"Scientific Research Publishing, Inc.",Open Journal of Composite Materials,
14,TU Chemnitz,2016,"1386,35",10.1038/srep33490,FALSE,Nature Publishing Group,Scientific Reports,
15,TU Chemnitz,2016,"269,74",10.1080/2331205X.2016.1238600,FALSE,Cogent OA,Cogent Medicine.,
16,TU Chemnitz,2016,"1672,83",10.1371/journal.pone.0167224 ,FALSE,Public Library of Science (PLoS),PLoS ONE,
