pos	institution_name	journal_title	eissn	doi	initial_opt-out
1	Technische Universität Chemnitz	Inventiones Mathematicae	1432-1297	10.1007/s00222-022-01096-y	optin
2	Technische Universität Chemnitz	Quality & Quantity	1573-7845	10.1007/s11135-022-01394-w	optin
3	Technische Universität Chemnitz	Educational Psychology Review	1573-336X	10.1007/s10648-022-09683-4	optin
4	Technische Universität Chemnitz	Digital Society	2731-4669	10.1007/s44206-022-00015-1	optin
5	Technische Universität Chemnitz	Zeitschrift für Vergleichende Politikwissenschaft	1865-2654	10.1007/s12286-022-00519-7	optin
6	Technische Universität Chemnitz	Politische Vierteljahresschrift	1862-2860	10.1007/s11615-022-00444-0	optin
7	Technische Universität Chemnitz	CEAS Aeronautical Journal	1869-5590	10.1007/s13272-022-00617-y	optin
8	Technische Universität Chemnitz	Mathematische Annalen	1432-1807	10.1007/s00208-022-02411-x	optin
9	Technische Universität Chemnitz	International Review of Economics	1863-4613	10.1007/s12232-022-00409-0	optin
10	Technische Universität Chemnitz	Welding in the World	1878-6669	10.1007/s40194-022-01279-4	optin
11	Technische Universität Chemnitz	International Journal on Interactive Design and Manufacturing (IJIDeM)	1955-2505	10.1007/s12008-022-00880-7	optin
12	Technische Universität Chemnitz	The European Physical Journal Special Topics	1951-6401	10.1140/epjs/s11734-022-00498-6	optin
13	Technische Universität Chemnitz	HMD Praxis der Wirtschaftsinformatik	2198-2775	10.1365/s40702-022-00901-9	optin
14	Technische Universität Chemnitz	Brain Structure and Function	1863-2661	10.1007/s00429-021-02446-x	optin
15	Technische Universität Chemnitz	Acta Scientiarum Mathematicarum	2064-8316	10.1007/s44146-022-00007-0	optin
16	Technische Universität Chemnitz	Mathematische Annalen	1432-1807	10.1007/s00208-022-02409-5	optin
17	Technische Universität Chemnitz	International Journal of Thermophysics	1572-9567	10.1007/s10765-022-03098-7	optin
18	Technische Universität Chemnitz	The International Journal of Advanced Manufacturing Technology	1433-3015	10.1007/s00170-022-09914-6	optin
19	Technische Universität Chemnitz	Zeitschrift für Vergleichende Politikwissenschaft	1865-2654	10.1007/s12286-022-00546-4	optin
20	Technische Universität Chemnitz	Welding in the World	1878-6669	10.1007/s40194-022-01450-x	optin
21	Technische Universität Chemnitz	Selecta Mathematica	1420-9020	10.1007/s00029-022-00767-1	optin
22	Technische Universität Chemnitz	Educational Technology Research and Development	1556-6501	10.1007/s11423-022-10083-2	optin
23	Technische Universität Chemnitz	Journal of Intelligent Manufacturing	1572-8145	10.1007/s10845-021-01906-9	optin
24	Technische Universität Chemnitz	Journal of Nanoparticle Research	1572-896X	10.1007/s11051-022-05650-w	optout
25	Technische Universität Chemnitz	Earth Science Informatics	1865-0481	10.1007/s12145-022-00883-8	optout
26	Technische Universität Chemnitz	The International Journal of Advanced Manufacturing Technology	1433-3015	10.1007/s00170-022-09349-z	optin
27	Technische Universität Chemnitz	Journal of Materials Engineering and Performance	1544-1024	10.1007/s11665-022-07070-2	optin
28	Technische Universität Chemnitz	KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie	1861-891X	10.1007/s11577-022-00855-2	optin
29	Technische Universität Chemnitz	Prävention und Gesundheitsförderung	1861-6763	10.1007/s11553-022-00943-3	optin
30	Technische Universität Chemnitz	Welding in the World	1878-6669	10.1007/s40194-022-01306-4	optin
31	Technische Universität Chemnitz	International Journal of Thermophysics	1572-9567	10.1007/s10765-022-03096-9	optin
32	Technische Universität Chemnitz	Computational Management Science	1619-6988	10.1007/s10287-022-00429-9	optin
33	Technische Universität Chemnitz	Journal of Thermal Spray Technology	1544-1016	10.1007/s11666-022-01417-w	optin
34	Technische Universität Chemnitz	Numerical Algorithms	1572-9265	10.1007/s11075-022-01389-6	optin
35	Technische Universität Chemnitz	Production Engineering	1863-7353	10.1007/s11740-021-01101-y	optin
36	Technische Universität Chemnitz	Prävention und Gesundheitsförderung	1861-6763	10.1007/s11553-022-00995-5	optout
37	Technische Universität Chemnitz	Sampling Theory, Signal Processing, and Data Analysis	2730-5724	10.1007/s43670-022-00039-1	optin
38	Technische Universität Chemnitz	Journal of Solid State Electrochemistry	1433-0768	10.1007/s10008-022-05128-8	optin
39	Technische Universität Chemnitz	Zeitschrift für Vergleichende Politikwissenschaft	1865-2654	10.1007/s12286-022-00539-3	optin
40	Technische Universität Chemnitz	AI and Ethics	2730-5961	10.1007/s43681-022-00184-2	optin
41	Technische Universität Chemnitz	Supportive Care in Cancer	1433-7339	10.1007/s00520-021-06787-5	optin
42	Technische Universität Chemnitz	Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO)	2366-6218	10.1007/s11612-022-00644-7	optin
43	Technische Universität Chemnitz	Sustainability Management Forum | NachhaltigkeitsManagementForum	2522-5995	10.1007/s00550-022-00527-x	optin
44	Technische Universität Chemnitz	Mathematische Annalen	1432-1807	10.1007/s00208-021-02346-9	optin
45	Technische Universität Chemnitz	British Politics	1746-9198	10.1057/s41293-022-00205-y	optin
46	Technische Universität Chemnitz	Welding in the World	1878-6669	10.1007/s40194-022-01431-0	optin
47	Technische Universität Chemnitz	Sampling Theory, Signal Processing, and Data Analysis	2730-5724	10.1007/s43670-022-00037-3	optin
