"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Technische Universität Chemnitz",NA,NA,"10.1007/s00222-022-01096-y",NA,"Springer Nature","Inventiones mathematicae","0020-9910","0020-9910","1432-1297","0020-9910","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s11135-022-01394-w",NA,"Springer Nature","Quality & Quantity","0033-5177","0033-5177","1573-7845","0033-5177","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s10648-022-09683-4",NA,"Springer Nature","Educational Psychology Review","1040-726X","1040-726X","1573-336X","1040-726X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s44206-022-00015-1",NA,"Springer Nature","Digital Society","2731-4650","2731-4650","2731-4669","2731-4650","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s12286-022-00519-7",NA,"Springer Nature","Zeitschrift für Vergleichende Politikwissenschaft","1865-2654",NA,"1865-2654","1865-2646","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s11615-022-00444-0",NA,"Springer Nature","Politische Vierteljahresschrift","0032-3470","0032-3470","1862-2860","0032-3470","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s13272-022-00617-y",NA,"Springer Nature","CEAS Aeronautical Journal","1869-5582","1869-5582","1869-5590","1869-5582","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s00208-022-02411-x",NA,"Springer Nature","Mathematische Annalen","0025-5831","0025-5831","1432-1807","0025-5831","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s12232-022-00409-0",NA,"Springer Nature","International Review of Economics","1865-1704","1865-1704","1863-4613","1863-4613","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s40194-022-01279-4",NA,"Springer Nature","Welding in the World","0043-2288","0043-2288","1878-6669","0043-2288","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s12008-022-00880-7",NA,"Springer Nature","International Journal on Interactive Design and Manufacturing (IJIDeM)","1955-2513","1955-2513","1955-2505","1955-2505","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1140/epjs/s11734-022-00498-6",NA,"Springer Nature","The European Physical Journal Special Topics","1951-6355","1951-6355","1951-6401","1951-6355","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1365/s40702-022-00901-9",NA,"Springer Nature","HMD Praxis der Wirtschaftsinformatik","1436-3011","1436-3011","2198-2775","1436-3011","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s00429-021-02446-x",NA,"Springer Nature","Brain Structure and Function","1863-2653","1863-2653","1863-2661","1863-2653","https://creativecommons.org/licenses/by/4.0",TRUE,"35113242","PMC8930794",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s44146-022-00007-0",NA,"Springer Nature","Acta Scientiarum Mathematicarum","0001-6969","0001-6969","2064-8316","0001-6969","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s00208-022-02409-5",NA,"Springer Nature","Mathematische Annalen","0025-5831","0025-5831","1432-1807","0025-5831","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s10765-022-03098-7",NA,"Springer Nature","International Journal of Thermophysics","0195-928X","0195-928X","1572-9567","0195-928X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s00170-022-09914-6",NA,"Springer Nature","The International Journal of Advanced Manufacturing Technology","0268-3768","0268-3768","1433-3015","0268-3768","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s12286-022-00546-4",NA,"Springer Nature","Zeitschrift für Vergleichende Politikwissenschaft","1865-2654",NA,"1865-2654","1865-2646","https://creativecommons.org/licenses/by/4.0",TRUE,NA,"PMC9773679",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s40194-022-01450-x",NA,"Springer Nature","Welding in the World","0043-2288","0043-2288","1878-6669","0043-2288","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s00029-022-00767-1",NA,"Springer Nature","Selecta Mathematica","1022-1824","1022-1824","1420-9020","1022-1824","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s11423-022-10083-2",NA,"Springer Nature","Educational technology research and development","1042-1629","1042-1629","1556-6501","1042-1629","https://creativecommons.org/licenses/by/4.0",TRUE,"35095237","PMC8788906",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s10845-021-01906-9",NA,"Springer Nature","Journal of Intelligent Manufacturing","0956-5515","0956-5515","1572-8145","0956-5515","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s00170-022-09349-z",NA,"Springer Nature","The International Journal of Advanced Manufacturing Technology","0268-3768","0268-3768","1433-3015","0268-3768","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s11665-022-07070-2",NA,"Springer Nature","Journal of Materials Engineering and Performance","1059-9495","1059-9495","1544-1024","1059-9495","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s11577-022-00855-2",NA,"Springer Nature","KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie","0023-2653","0023-2653","1861-891X","0023-2653","https://creativecommons.org/licenses/by/4.0",TRUE,"36247221","PMC9542465",NA,NA,FALSE,"DEAL Springer Nature Germany"
"Technische Universität Chemnitz",NA,NA,"10.1007/s11553-022-00943-3",NA,"Springer Nature","Prävention und Gesundheitsförderung","1861-6755","1861-6755","1861-6763","1861-6755","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
