institution;period;euro;doi;is_hybrid;opt-out
TU Chemnitz;2020;2.440,20 €;10.1002/adem.202001253;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/adfm.202007479;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/adma.202006437;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/admi.201902048;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/adom.202000861;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/aic.17128;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/ange.202003010;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/anie.202003010;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/chem.202000089;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/chem.202003933;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/cmm4.1103;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/cpe.5898;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/cphc.201901218;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/ejic.201901310;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/ejic.202000414;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/ejic.202000956;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/ente.202000258;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/for.2675;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/gamm.202000013;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/hbe2.184;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/hbe2.190;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/hbe2.201;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/hbe2.209;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/hbe2.232;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/hbe2.250;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/maco.201911468;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/marc.202000597;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/num.22678;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/pamm.202000002;TRUE;opt-out
TU Chemnitz;2020;2.440,20 €;10.1002/pamm.202000004;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/pamm.202000039;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/pamm.202000072;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/pamm.202000120;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/pamm.202000206;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/pamm.202000255;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/pamm.202000267;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/pamm.202000299;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/pssa.202000079;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/zaac.201900345;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/zaac.202000124;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/zaac.202000257;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1002/zaac.202000304;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1111/1469-8676.12859;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1111/apps.12242;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1111/ejn.14730;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1111/ejn.14868;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1111/ejn.15082;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1111/ijac.13548;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1111/ijac.13668;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1111/jasp.12720;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1111/joa.13173;TRUE;
TU Chemnitz;2020;2.440,20 €;10.1111/str.12376;TRUE;
