"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"TU Darmstadt",2020,2545.98,"10.1002/app.50469",TRUE,"Wiley-Blackwell","Journal of Applied Polymer Science","0021-8995","0021-8995","1097-4628","0021-8995","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000607522200001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/mawe.202000270",TRUE,"Wiley-Blackwell","Materialwissenschaft und Werkstofftechnik","0933-5137","0933-5137","1521-4052","0933-5137","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000618786200010",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/fld.4950",TRUE,"Wiley-Blackwell","International Journal for Numerical Methods in Fluids","0271-2091","0271-2091","1097-0363","0271-2091","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,"ut:000606756000001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/mawe.202000237",TRUE,"Wiley-Blackwell","Materialwissenschaft und Werkstofftechnik","0933-5137","0933-5137","1521-4052","0933-5137","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,"ut:000618786200008",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/psc.3298",TRUE,"Wiley-Blackwell","Journal of Peptide Science","1075-2617","1075-2617","1099-1387","1075-2617","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"33458922",NA,"ut:000608073700001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/anie.202014862",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by/4.0/",TRUE,"33497000","PMC7986892","ut:000611658600001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/pamm.202000347",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/anie.202014933",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by/4.0/",TRUE,"33340439","PMC7986935","ut:000616811000001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1111/ntwe.12183",TRUE,"Wiley-Blackwell","New Technology, Work and Employment","0268-1072","0268-1072","1468-005X","0268-1072","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000604553100001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/anie.202011081",TRUE,"Wiley-Blackwell","Angewandte Chemie International Edition","1433-7851","1433-7851","1521-3773","1433-7851","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33137233","PMC7898695","ut:000598270900001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/cite.202000214",TRUE,"Wiley-Blackwell","Chemie Ingenieur Technik","0009-286X","0009-286X","1522-2640","0009-286X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000598283000001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1111/1462-2920.15344",TRUE,"Wiley-Blackwell","Environmental Microbiology","1462-2912","1462-2912","1462-2920","1462-2912","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33264482",NA,"ut:000598680600001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/cphc.202000894",TRUE,"Wiley-Blackwell","ChemPhysChem","1439-4235","1439-4235","1439-7641","1439-4235","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,"PMC7898789","ut:000601102300001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/pamm.202000011",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/pamm.202000012",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/pamm.202000020",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/jcc.26456",TRUE,"Wiley-Blackwell","Journal of Computational Chemistry","0192-8651","0192-8651","1096-987X","0192-8651","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33300611",NA,"ut:000596863100001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/ente.202000856",TRUE,"Wiley-Blackwell","Energy Technology","2194-4288","2194-4288","2194-4296","2194-4288","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33520597","PMC7816232","ut:000596141600001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/pamm.202000093",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1111/jace.17581",TRUE,"Wiley-Blackwell","Journal of the American Ceramic Society","0002-7820","0002-7820","1551-2916","0002-7820","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000611957300001",NA,FALSE,"DEAL Wiley Germany"
"TU Darmstadt",2020,2545.98,"10.1002/mma.7084",TRUE,"Wiley-Blackwell","Mathematical Methods in the Applied Sciences","0170-4214","0170-4214","1099-1476","0170-4214","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000596747600001",NA,FALSE,"DEAL Wiley Germany"
