"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"TU Darmstadt",2017,190,"10.1515/ijcss-2017-0011",FALSE,"Walter de Gruyter GmbH","International Journal of Computer Science in Sport","1684-4769",NA,"1684-4769","1684-4769","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,NA,NA,NA,NA,TRUE
"TU Darmstadt",2017,271,"10.3390/act6040030",FALSE,"MDPI AG","Actuators","2076-0825",NA,"2076-0825","2076-0825","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000419251400003",NA,TRUE
"TU Darmstadt",2017,722.28,"10.7717/peerj.3870",FALSE,"PeerJ","PeerJ","2167-8359",NA,"2167-8359","2167-8359","http://creativecommons.org/licenses/by/4.0/",TRUE,"29038753","PMC5639873","ut:000412980400003",NA,TRUE
"TU Darmstadt",2017,740,"10.1186/s13637-017-0063-3",FALSE,"Springer Nature","EURASIP Journal on Bioinformatics and Systems Biology","1687-4153",NA,"1687-4153","1687-4145","http://creativecommons.org/licenses/by/4.0",TRUE,"28933027","PMC5607220","ut:000411334100001",NA,TRUE
"TU Darmstadt",2017,769.9,"10.3390/cryst7080246",FALSE,"MDPI AG","Crystals","2073-4352",NA,"2073-4352","2073-4352","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000408374200018",NA,TRUE
"TU Darmstadt",2017,825,"10.3390/w9080572",FALSE,"MDPI AG","Water","2073-4441",NA,"2073-4441","2073-4441","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"TU Darmstadt",2017,837,"10.3390/catal7020050",FALSE,"MDPI AG","Catalysts","2073-4344",NA,"2073-4344","2073-4344","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"TU Darmstadt",2017,940,"10.3390/ma10111324",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"29156541","PMC5706271","ut:000416786200102",NA,TRUE
"TU Darmstadt",2017,952,"10.3390/ma11010052",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"29286321","PMC5793550","ut:000427764000052",NA,TRUE
"TU Darmstadt",2017,1003,"10.3389/fnbot.2017.00024",FALSE,"Frontiers Media SA","Frontiers in Neurorobotics","1662-5218",NA,"1662-5218","1662-5218",NA,TRUE,"28588473","PMC5440510","ut:000401954300001",NA,TRUE
"TU Darmstadt",2017,1014,"10.1088/1367-2630/aa9011",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630","1367-2630","http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000424849200003",NA,TRUE
"TU Darmstadt",2017,1077.86,"10.3390/su9050747",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"TU Darmstadt",2017,1105,"10.1186/s13104-017-3032-8",FALSE,"Springer Nature","BMC Research Notes","1756-0500",NA,"1756-0500","1756-0500",NA,TRUE,"29208031","PMC5717827",NA,NA,TRUE
"TU Darmstadt",2017,1155,"10.1186/s13638-017-0904-5",FALSE,"Springer Nature","EURASIP Journal on Wireless Communications and Networking","1687-1499",NA,"1687-1499","1687-1472","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000405398300002",NA,TRUE
"TU Darmstadt",2017,1184,"10.3390/e19080404",FALSE,"MDPI AG","Entropy","1099-4300",NA,"1099-4300","1099-4300","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000408739700027",NA,TRUE
"TU Darmstadt",2017,1206.49,"10.1371/journal.pone.0175001",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"28384308","PMC5383148",NA,NA,TRUE
"TU Darmstadt",2017,1218,"10.3390/e19080384",FALSE,"MDPI AG","Entropy","1099-4300",NA,"1099-4300","1099-4300","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000408739700005",NA,TRUE
"TU Darmstadt",2017,1257.95,"10.1371/journal.pone.0170252",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"28118357","PMC5261733","ut:000396160500040",NA,TRUE
"TU Darmstadt",2017,1294,"10.3390/polym9100491",FALSE,"MDPI AG","Polymers","2073-4360",NA,"2073-4360","2073-4360","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"TU Darmstadt",2017,1305,"10.1038/s41598-017-01921-y",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"28500328","PMC5431821","ut:000401262400011",NA,TRUE
"TU Darmstadt",2017,1305,"10.1038/s41598-017-03414-4",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"28611417","PMC5469790","ut:000403140000064",NA,TRUE
"TU Darmstadt",2017,1305,"10.1038/s41598-017-10513-9",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"28852148","PMC5575089","ut:000408535700021",NA,TRUE
"TU Darmstadt",2017,1305,"10.1038/s41598-017-12265-y",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"28939910","PMC5610319","ut:000411434900007",NA,TRUE
"TU Darmstadt",2017,1305,"10.1038/s41598-017-17446-3",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29222438","PMC5722923","ut:000417461600004",NA,TRUE
"TU Darmstadt",2017,1305,"10.1038/s41598-017-18942-2",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","http://creativecommons.org/licenses/by/4.0",TRUE,"29330407","PMC5766626","ut:000419945400043",NA,TRUE
"TU Darmstadt",2017,1305,"10.1038/srep46571",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322",NA,TRUE,"28417973","PMC5394551",NA,NA,TRUE
"TU Darmstadt",2017,1370,"10.1371/journal.pone.0176410",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"28448638","PMC5407650",NA,NA,TRUE
"TU Darmstadt",2017,1452.63,"10.3389/fnbot.2017.00044",FALSE,"Frontiers Media SA","Frontiers in Neurorobotics","1662-5218",NA,"1662-5218","1662-5218",NA,TRUE,"28928650","PMC5591611","ut:000409103200001",NA,TRUE
"TU Darmstadt",2017,1533.33,"10.3389/fncom.2017.00108",FALSE,"Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188",NA,"1662-5188","1662-5188",NA,TRUE,"29230172","PMC5707192","ut:000416230500001",NA,TRUE
"TU Darmstadt",2017,1560,"10.1038/s41524-017-0043-x",FALSE,"Springer Nature","npj Computational Materials","2057-3960",NA,"2057-3960","2057-3960","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000426836600001",NA,TRUE
"TU Darmstadt",2017,1570.5,"10.1186/s12859-017-1703-z",FALSE,"Springer Nature","BMC Bioinformatics","1471-2105",NA,"1471-2105","1471-2105",NA,TRUE,"28583067","PMC5460430","ut:000402840200002",NA,TRUE
"TU Darmstadt",2017,1620,"10.5194/acp-17-12475-2017",FALSE,"Copernicus GmbH","Atmospheric Chemistry and Physics","1680-7324",NA,"1680-7324","1680-7316","https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"TU Darmstadt",2017,1820,"10.1002/mbo3.456",FALSE,"Wiley-Blackwell","MicrobiologyOpen","2045-8827",NA,NA,"2045-8827","http://creativecommons.org/licenses/by/4.0/",TRUE,"28296352","PMC5552961","ut:000407573700008",NA,TRUE
"TU Darmstadt",2017,1868.9,"10.1186/s13015-017-0105-0",FALSE,"Springer Nature","Algorithms for Molecular Biology","1748-7188",NA,"1748-7188","1748-7188",NA,TRUE,"28572834","PMC5450175","ut:000403026800001",NA,TRUE
"TU Darmstadt",2017,1898.05,"10.1186/s12983-017-0221-1",FALSE,"Springer Nature","Frontiers in Zoology","1742-9994",NA,"1742-9994","1742-9994",NA,TRUE,"28717381","PMC5508481","ut:000405834800001",NA,TRUE
