"doi","colour charge","cover charge","page charge","permission","reprint","submission fee","payment fee","other"
"10.1038/s41598-024-51404-0",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/2688-8319.12380",NA,NA,NA,NA,NA,NA,NA,NA
"10.1029/2023wr036360",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s10040-023-02763-x",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/smll.202311065",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.parco.2024.103063",NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/icad.12713",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s42520-024-00548-4",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/adfm.202312508",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/cite.202300178",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.rtbm.2024.101101",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s00145-023-09489-9",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/adem.202301820",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/admt.202301535",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/smll.202311121",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.spc.2024.01.020",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.fuel.2024.131096",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.matdes.2024.112684",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s42520-024-00550-w",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.ejor.2024.01.033",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/03003930.2024.2310213",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.matpur.2024.01.001",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.chemosphere.2024.141310",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.sigpro.2024.109410",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.geothermics.2024.102933",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.solidstatesciences.2024.107467",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/qute.202300353",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/mawe.202300093",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s40964-023-00559-9",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s00339-024-07319-8",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.ces.2024.119864",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/13603116.2024.2319095",NA,NA,NA,NA,NA,NA,NA,NA
"10.1080/01630563.2024.2318597",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.heliyon.2024.e26083",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s11615-024-00531-4",NA,NA,NA,NA,NA,NA,NA,NA
"10.1365/s40702-024-01053-8",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.matdes.2024.112747",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.apm.2024.02.004",NA,NA,NA,NA,NA,NA,NA,NA
"10.1029/2024wr037317",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/chem.202304016",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/adem.202302027",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/jcc.27334",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/rnc.7275",NA,NA,NA,NA,NA,NA,NA,NA
"10.1038/s41467-024-45840-9",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s11097-024-09965-y",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/adem.202301841",NA,NA,NA,NA,NA,NA,NA,NA
"10.1140/epja/s10050-024-01262-1",NA,NA,NA,NA,NA,NA,NA,NA
"10.1116/5.0174884",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.jneumeth.2024.110083",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.ultramic.2024.113939",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.conbuildmat.2024.135517",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.cej.2024.149863",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s10817-023-09692-0",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s00502-024-01206-z",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/adem.202302021",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.jallcom.2024.174021",NA,NA,NA,NA,NA,NA,NA,NA
"10.1016/j.watres.2024.121400",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/rhc3.12296",NA,NA,NA,NA,NA,NA,NA,NA
"10.1007/s12525-024-00707-1",NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/cite.202300194",NA,NA,NA,NA,NA,NA,NA,NA
