"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"TU Dresden",2023,3275.8,"10.1007/s00107-023-02016-4",TRUE,"Springer Nature","European Journal of Wood and Wood Products","0018-3768","0018-3768","1436-736X","0018-3768","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00482-023-00756-z",TRUE,"Springer Nature","Der Schmerz","0932-433X","0932-433X","1432-2129","0932-433X","https://creativecommons.org/licenses/by/4.0",TRUE,"37737282","PMC10959813",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00784-023-05206-9",TRUE,"Springer Nature","Clinical Oral Investigations","1436-3771",NA,"1436-3771","1432-6981","https://creativecommons.org/licenses/by/4.0",TRUE,"37698630","PMC10560166",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00466-023-02330-x",TRUE,"Springer Nature","Computational Mechanics","0178-7675","0178-7675","1432-0924","0178-7675","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00482-023-00720-x",TRUE,"Springer Nature","Der Schmerz","0932-433X","0932-433X","1432-2129","0932-433X","https://creativecommons.org/licenses/by/4.0",TRUE,"37278837","PMC10959775",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s41449-023-00357-7",TRUE,"Springer Nature","Zeitschrift für Arbeitswissenschaft","0340-2444","0340-2444","2366-4681","0340-2444","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00259-023-06529-1",TRUE,"Springer Nature","European Journal of Nuclear Medicine and Molecular Imaging","1619-7070","1619-7070","1619-7089","1619-7070","https://creativecommons.org/licenses/by/4.0",TRUE,"37991526","PMC10957691",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s12286-023-00558-8",TRUE,"Springer Nature","Zeitschrift für Vergleichende Politikwissenschaft","1865-2654",NA,"1865-2654","1865-2646","https://creativecommons.org/licenses/by/4.0",TRUE,NA,"PMC10052220",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00396-023-05111-3",TRUE,"Springer Nature","Colloid and Polymer Science","0303-402X","0303-402X","1435-1536","0303-402X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00402-023-04913-y",TRUE,"Springer Nature","Archives of Orthopaedic and Trauma Surgery","1434-3916",NA,"1434-3916","0936-8051","https://creativecommons.org/licenses/by/4.0",TRUE,"37314526","PMC10491572",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00415-023-11938-1",TRUE,"Springer Nature","Journal of Neurology","0340-5354","0340-5354","1432-1459","0340-5354","https://creativecommons.org/licenses/by/4.0",TRUE,"37626244","PMC10632197",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00415-023-11787-y",TRUE,"Springer Nature","Journal of Neurology","0340-5354","0340-5354","1432-1459","0340-5354","https://creativecommons.org/licenses/by/4.0",TRUE,"37289324","PMC10421827",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00787-023-02244-2",TRUE,"Springer Nature","European Child & Adolescent Psychiatry","1018-8827","1018-8827","1435-165X","1018-8827","https://creativecommons.org/licenses/by/4.0",TRUE,"37286879","PMC10326145",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s10231-023-01332-z",TRUE,"Springer Nature","Annali di Matematica Pura ed Applicata (1923 -)","0373-3114","0373-3114","1618-1891","0373-3114","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s10040-023-02631-8",TRUE,"Springer Nature","Hydrogeology Journal","1431-2174","1431-2174","1435-0157","1431-2174","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00103-023-03765-6",TRUE,"Springer Nature","Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz","1436-9990","1436-9990","1437-1588","1436-9990","https://creativecommons.org/licenses/by/4.0",TRUE,"37737318","PMC10539183",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00432-023-04666-6",TRUE,"Springer Nature","Journal of Cancer Research and Clinical Oncology","0171-5216","0171-5216","1432-1335","0171-5216","https://creativecommons.org/licenses/by/4.0",TRUE,"36920564","PMC10374782",NA,NA,TRUE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s00466-023-02387-8",TRUE,"Springer Nature","Computational Mechanics","0178-7675","0178-7675","1432-0924","0178-7675","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s40194-023-01529-z",TRUE,"Springer Nature","Welding in the World","0043-2288","0043-2288","1878-6669","0043-2288","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Dresden",2023,3275.8,"10.1007/s12268-023-1882-2",TRUE,"Springer Nature","BIOspektrum","0947-0867","0947-0867","1868-6249","0947-0867","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
