institution_ror,institution,period,euro,doi,is_hybrid,opt-out,type,contract_primary_identifier,contract_group_id,external_costsplitting,gold-oa,vat,colour charge,cover charge,hybrid-oa,other,page charge,permission,publication charge,reprint,submission fee,payment fee,url
https://ror.org/042aqky30,TU Dresden,2024,3640.04,10.3389/fimmu.2024.1356436,FALSE,FALSE,journal article,NA,NA,false,3640.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,3636.66,10.3389/fmed.2024.1377209,FALSE,FALSE,journal article,NA,NA,false,3636.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,3214.59,10.3390/ijms25126666,FALSE,FALSE,journal article,NA,NA,false,3214.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,1657.07,10.1158/2767-9764.crc-23-0287,FALSE,FALSE,journal article,NA,NA,false,1657.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,4088.41,10.26508/lsa.202302257,FALSE,FALSE,journal article,NA,NA,false,4088.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2669.37,10.1093/ijnp/pyae003,FALSE,FALSE,journal article,NA,NA,false,2669.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,3012.22,10.3390/cells13060502,FALSE,FALSE,journal article,NA,NA,false,3012.2200000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2451.41,10.3390/polym16091254,FALSE,FALSE,journal article,NA,NA,false,2451.4100000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,2720.52,10.1093/ijnp/pyae023,FALSE,FALSE,journal article,NA,NA,false,2720.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://ror.org/042aqky30,TU Dresden,2024,4155.65,10.1093/nar/gkae481,FALSE,FALSE,journal article,NA,NA,false,4155.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
