institution, period, euro,doi,is_hybrid,opt_out
TU Bergakademie Freiberg,2021,5445,10.1007/s10357-021-3915-2,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s10653-021-00885-3,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s12268-021-1551-2,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s11663-021-02182-x,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s11663-021-02233-3,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s40830-021-00339-w,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s00603-021-02436-9,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s11663-020-02044-y,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s00063-021-00861-w,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s10967-021-08142-8,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s00531-021-02053-5,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s10230-021-00807-w,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s11661-021-06441-z,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s00126-021-01061-4,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s00020-021-02645-5,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s00445-021-01434-7,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s11242-021-01600-7,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s10035-021-01121-6,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s11669-021-00876-y,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s00792-021-01249-6,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s10562-021-03747-w,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s12665-021-09770-9,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s12665-021-09606-6,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s11664-021-09067-4,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s00531-021-02015-x,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s00126-020-01035-y,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s00531-021-02092-y,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s10921-021-00824-3,TRUE,FALSE
TU Bergakademie Freiberg,2021,5445,10.1007/s11663-021-02114-9,TRUE,FALSE
