"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"TU Bergakademie Freiberg",2022,1738.33,"10.3390/min12010046",FALSE,"MDPI AG","Minerals","2075-163X",NA,"2075-163X","2075-163X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000758436300001",NA,TRUE
"TU Bergakademie Freiberg",2022,2001.37,"10.1038/s41598-022-05105-1",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"35075158","PMC8786849","ut:000746700700044",NA,TRUE
"TU Bergakademie Freiberg",2022,1545.18,"10.3390/plants11030341",FALSE,"MDPI AG","Plants","2223-7747",NA,"2223-7747","2223-7747","https://creativecommons.org/licenses/by/4.0/",TRUE,"35161323","PMC8838376","ut:000756213100001",NA,TRUE
"TU Bergakademie Freiberg",2022,1360.17,"10.1002/ese3.1028",FALSE,"Wiley-Blackwell","Energy Science & Engineering","2050-0505","2050-0505","2050-0505","2050-0505","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000729047400001",NA,TRUE
"TU Bergakademie Freiberg",2022,1369.33,"10.1021/acsomega.1c06868",FALSE,"American Chemical Society (ACS)","ACS Omega","2470-1343","2470-1343","2470-1343","2470-1343","https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"35350308","PMC8945131","ut:000783849700039",NA,TRUE
"TU Bergakademie Freiberg",2022,1545.18,"10.3390/fluids7030095",FALSE,"MDPI AG","Fluids","2311-5521",NA,"2311-5521","2311-5521","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000775529900001",NA,TRUE
"TU Bergakademie Freiberg",2022,1931.47,"10.3390/min12040409",FALSE,"MDPI AG","Minerals","2075-163X",NA,"2075-163X","2075-163X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000787962300001",NA,TRUE
"TU Bergakademie Freiberg",2022,1931.47,"10.3390/met12040649",FALSE,"MDPI AG","Metals","2075-4701",NA,"2075-4701","2075-4701","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000787025300001",NA,TRUE
"TU Bergakademie Freiberg",2022,1931.47,"10.3390/coatings12050618",FALSE,"MDPI AG","Coatings","2079-6412",NA,"2079-6412","2079-6412","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000801513800001",NA,TRUE
"TU Bergakademie Freiberg",2022,1123.44,"10.1155/2022/7885556",FALSE,"Hindawi Publishing Corporation","Geofluids","1468-8123","1468-8115","1468-8123","1468-8115","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000803958500003",NA,TRUE
