institution;period;euro;doi;is_hybrid;opt_out
Hamburg TUHH;2020;4.389,62;10.1007/s11548-020-02261-5;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s11440-020-00922-y;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s00211-020-01114-2;TRUE;Retro OA??
Hamburg TUHH;2020;4.389,62;10.1007/s11356-020-08327-w;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s10570-020-03555-2;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s00449-020-02300-0;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s00791-020-00335-0;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s41449-020-00209-8;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s40571-020-00348-z;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s11548-020-02224-w;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s13398-020-00863-x;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s00396-020-04616-5;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s00216-020-02401-5;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s00330-020-07480-7;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s11548-020-02178-z;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s11548-020-02203-1;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s00453-019-00636-y;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s00348-020-03099-y;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s40571-020-00363-0;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s10543-020-00827-y;TRUE;Retro OA??
Hamburg TUHH;2020;4.389,62;10.1007/s43037-020-00072-z;TRUE;FALSE
Hamburg TUHH;2020;4.389,62;10.1007/s40828-020-0103-6;TRUE;FALSE
