"Institution","Period","EURO","publisher","journal_full_title","issn","issn_print","issn_electronic","doi","indexed_in_CrossRef","pmid","pmcid","base_url","repo_id","ut","DOAJ","license_ref"
"Hamburg TUHH",2014,"1184.2","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","1932-6203","10.1371/journal.pone.0085844","TRUE",24454935,"PMC3891874","NA","NA","NA","TRUE","http://creativecommons.org/licenses/by/4.0/"
"Hamburg TUHH",2014,"738.46","Scientific Research Publishing Inc.","Journal of Environmental Protection","2152-2219","2152-2197","2152-2219","10.4236/jep.2014.511097","TRUE","NA","NA","http://tubdok.tub.tuhh.de/handle/11420/",1229,"NA","TRUE","NA"
"Hamburg TUHH",2014,"1628.16","Optical Society of America (OSA)","Optics Express","1094-4087","NA","1094-4087","10.1364/OE.22.012122","TRUE",24921332,"NA","NA","NA","NA","TRUE","NA"
"Hamburg TUHH",2014,"1113.47","Hindawi Publishing Corporation","Advances in Materials Science and Engineering","1687-8442","1687-8434","1687-8442","10.1155/2014/602495","TRUE","NA","NA","NA","NA","NA","TRUE","http://creativecommons.org/licenses/by/3.0/"
"Hamburg TUHH",2014,"300.05","Sciknow Publications Ltd.","Open Journal of Social Science Research","2328-501X","2328-5001","2328-501X","10.12966/ojssr.03.01.2014",,"NA","NA","NA","NA","NA","FALSE","NA"
"Hamburg TUHH",2014,1785,"Springer Science + Business Media","AMB Express","2191-0855","NA","2191-0855","10.1186/s13568-014-0077-0","TRUE",25401077,"PMC4230898","NA","NA","NA","TRUE","http://creativecommons.org/licenses/by/4.0/"
"Hamburg TUHH",2014,"1065.05","Springer Science + Business Media","Environmental Sciences Europe","2190-4715","2190-4707","2190-4715","10.1186/2190-4715-26-7","TRUE","NA","NA","NA","NA","NA","TRUE","http://creativecommons.org/licenses/by/2.0/"
"Hamburg TUHH",2014,"542.05","Hindawi Publishing Corporation","Advances in Fuzzy Systems","1687-711X","1687-7101","1687-711X","10.1155/2014/892363","TRUE","NA","NA","NA","NA","NA","TRUE","http://creativecommons.org/licenses/by/3.0/"
"Hamburg TUHH",2014,1920,"BioMed Central","BMC Genomics","1471-2164","NA","1471-2164","10.1186/1471-2164-15-362","TRUE",24884510,"PMC4048456","NA","NA","NA","TRUE","http://creativecommons.org/licenses/by/2.0/"
"Hamburg TUHH",2014,"1634.68","Optical Society of America (OSA)","Optics Express","1094-4087","NA","1094-4087","10.1364/OE.22.013280","TRUE",24921522,"NA","NA","NA","NA","TRUE","NA"
