institution;period;euro;DOI;is_hybrid
Hamburg TUHH;2022;1904,00;10.5194/gmd-15-1061-2022;FALSE
Hamburg TUHH;2022;2179,02;10.3390/pr10081482;FALSE
Hamburg TUHH;2022;2118,20;10.1080/19942060.2022.2044383;FALSE
Hamburg TUHH;2022;1931,47;10.3390/en15020559;FALSE
Hamburg TUHH;2022;1834,90;10.3390/su14031662;FALSE
Hamburg TUHH;2022;1931,47;10.3390/molecules27020446;FALSE
Hamburg TUHH;2022;1545,18;10.3390/fermentation8020065;FALSE
Hamburg TUHH;2022;3063,26;10.3389/fmats.2022.826076;FALSE
Hamburg TUHH;2022;2189,60;10.1002/elsc.202100169;FALSE
Hamburg TUHH;2022;1931,47;10.3390/su14073998;FALSE
Hamburg TUHH;2022;2475,20;10.1002/we.2779;FALSE
Hamburg TUHH;2022;1931,47;10.3390/su14063364;FALSE
Hamburg TUHH;2022;2094,40;10.1002/elsc.202100128;FALSE
Hamburg TUHH;2022;720,33;10.12688/f1000research.121665.1;FALSE
Hamburg TUHH;2022;2124,61;10.3390/en15072607;FALSE
Hamburg TUHH;2022;5579,37;10.1038/s41467-022-29263-y;FALSE
Hamburg TUHH;2022;5579,37;10.1038/s41467-022-29216-5;FALSE
Hamburg TUHH;2022;523,60;10.1016/j.dib.2022.108236;FALSE
Hamburg TUHH;2022;2060,24;10.3390/s22072797;FALSE
Hamburg TUHH;2022;2262,63;10.3389/fenvc.2022.931067;FALSE
Hamburg TUHH;2022;2105,05;10.3390/atmos13071009 ;FALSE
Hamburg TUHH;2022;3325,28;10.3389/feart.2022.916056;FALSE
Hamburg TUHH;2022;1482,60;10.3390/designs6040061;FALSE
Hamburg TUHH;2022;2438,49;10.3390/en15176111;FALSE
Hamburg TUHH;2022;2080,41;10.1186/s12934-022-01902-5;FALSE
Hamburg TUHH;2022;1773,45;10.3390/robotics11050085;FALSE
Hamburg TUHH;2022;973,91;10.3390/pr10102137;FALSE
Hamburg TUHH;2022;2180,08;10.1186/s12302-022-00663-7;FALSE
Hamburg TUHH;2022;2217,34;10.3390/jmse10101369;FALSE
Hamburg TUHH;2022;2436,91;10.3390/w14182903;FALSE
Hamburg TUHH;2022;2191,29;10.3390/pr10112174;FALSE
Hamburg TUHH;2022;2499,96;10.3390/ma15238505;FALSE
Hamburg TUHH;2022;2526,27;10.3390/ijms232314699;FALSE
Hamburg TUHH;2022;2616,55;10.3390/s22239464;FALSE
Hamburg TUHH;2022;1204,30;10.3390/pr10122686;FALSE
Hamburg TUHH;2022;3854,42;10.1097/RLI.0000000000000858;TRUE
Hamburg TUHH;2022;583,10;10.30844/I40M_22-3_25-30;TRUE
Hamburg TUHH;2022;4435,33;10.1021/acsnano.2c01332;TRUE
Hamburg TUHH;2022;3129,70;10.1016/j.actbio.2022.05.039;TRUE
Hamburg TUHH;2022;4065,00;10.1063/5.0099239;TRUE
Hamburg TUHH;2022;2660,80;10.3390/polym14204322;FALSE
Hamburg TUHH;2022;3129,70;10.1016/j.actamat.2022.118419;TRUE
Hamburg TUHH;2022;6069,26;10.1021/acs.nanolett.2c02666;TRUE
Hamburg TUHH;2022;3343,90;10.1016/j.jcp.2022.111724;TRUE
Hamburg TUHH;2022;101,41;10.1109/ECTC51906.2022.00143;TRUE
Hamburg TUHH;2022;1800,02;10.1115/DETC2022-88463 ;TRUE
Hamburg TUHH;2022;3048,07;10.1103/PhysRevApplied.18.054027;TRUE
Hamburg TUHH;2022;3415,30;10.1016/j.amc.2022.127706;TRUE
Hamburg TUHH;2022;583,10;10.30844/IM_22-6_29-32;TRUE
Hamburg TUHH;2022;3055,47;10.1103/PhysRevMaterials.6.116002;TRUE
Hamburg TUHH;2022;1355,77;10.1145/3520441;TRUE
Hamburg TUHH;2022;3088,00;10.3389/fmats.2022.837006;FALSE
Hamburg TUHH;2022;3663,72;10.1063/5.0077408;TRUE
Hamburg TUHH;2022;3129,70;10.1016/j.actamat.2022.117696;TRUE
Hamburg TUHH;2022;2124,61;10.3390/en15072502;FALSE
Hamburg TUHH;2022;1072,52;10.3389/fmtec.2022.919738;FALSE
Hamburg TUHH;2022;1458,79;10.3390/designs6030050;FALSE
Hamburg TUHH;2022;2106,79;10.3389/fceng.2022.874019;FALSE
Hamburg TUHH;2022;2094,40;10.1002/elsc.202100047;FALSE
Hamburg TUHH;2022;2094,40;10.1002/elsc.202100114;FALSE
Hamburg TUHH;2022;5390,70;10.1038/s41467-021-26907-3;FALSE
