"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"TU Ilmenau",2017,1249.5,"10.5194/ms-8-29-2017",FALSE,"Copernicus GmbH","Mechanical Sciences","2191-916X",NA,"2191-916X","2191-9151","https://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,"ut:000398420700001",NA,TRUE
"TU Ilmenau",2017,952,"10.17645/mac.v5i2.885",FALSE,"Cogitatio","Media and Communication","2183-2439",NA,"2183-2439","2183-2439","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000408564800005",NA,TRUE
"TU Ilmenau",2017,727.09,"10.3390/en10040535",FALSE,"MDPI AG","Energies","1996-1073",NA,"1996-1073","1996-1073","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000400065000124",NA,TRUE
"TU Ilmenau",2017,1967.31,"10.3390/molecules22050731",FALSE,"MDPI AG","Molecules","1420-3049",NA,"1420-3049","1420-3049","https://creativecommons.org/licenses/by/4.0/",TRUE,"28467367",NA,"ut:000404522900054",NA,TRUE
"TU Ilmenau",2017,1036.84,"10.3389/fict.2017.00013",FALSE,"Frontiers Media SA","Frontiers in ICT","2297-198X",NA,"2297-198X","2297-198X",NA,TRUE,NA,NA,NA,NA,TRUE
"TU Ilmenau",2017,226.1,"10.3991/ijoe.v13i08.7387",FALSE,"International Association of Online Engineering (IAOE)","International Journal of Online Engineering (iJOE)","1861-2121","1868-1646","1861-2121","1861-2121",NA,TRUE,NA,NA,"ut:000409259100011",NA,TRUE
"TU Ilmenau",2017,1252.74,"10.3390/app7090873",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417","2076-3417","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000414453600009",NA,TRUE
"TU Ilmenau",2017,1446.77,"10.1109/access.2017.2789020",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536","2169-3536",NA,TRUE,NA,NA,"ut:000426287400001",NA,TRUE
"TU Ilmenau",2017,1033.07,"10.3390/met8020085",FALSE,"MDPI AG","Metals","2075-4701",NA,"2075-4701","2075-4701","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000427530700005",NA,TRUE
"TU Ilmenau",2017,952,"10.1186/s40991-018-0028-1",FALSE,"Springer Nature","International Journal of Corporate Social Responsibility","2366-0066","2366-0066","2366-0074","2366-0074","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
