"institution","period","euro","doi","is hybrid","out_out"
"Technische Universität München",2019,"1,053.47","10.1002/adma.201905458","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/adma.201906762","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/admt.201900517","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/adom.201900995","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/adom.201901969","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/adts.201900178","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/aenm.201902412","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/aic.16808","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ange.201906908","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ange.201907127","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ange.201907929","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ange.201911158","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201906630","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201906908","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201907127","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201907917","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201907929","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201908209","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201908619","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201909551","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201911158","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201912075","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201912241","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201912247","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201914559","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201914613","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201915731","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/anie.201915735","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/aqc.3208","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/asia.201900748","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/bit.27166","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/btpr.2950","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cbic.201900405","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cbic.201900477","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cbic.201900515","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cbic.201900564","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cbic.201900716","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cctc.201900456","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cctc.201901255","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cctc.201901331","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ceat.201900372","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ceat.201900511","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/chem.201902919","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/chem.201904199","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/chem.201904545","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cite.201800220","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cite.201900041","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cite.201900101","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cnm.3253","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/cyto.a.23964","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/eji.201848011","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ejic.201900984","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ejic.201901043","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ejic.201901173","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ejlt.201900101","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ente.201900840","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/ente.201901237","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/fld.4776","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/gamm.202000004","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/hbm.24784","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/hyp.13565","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/jcu.22811","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/jmri.27032","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/jpln.201900056","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/jsfa.9979","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/lpor.201900070","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/mde.3109","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/mnfr.201900263","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/mnfr.201900558","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/mnfr.201900921","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/mrm.28128","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/nme.6205","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/nme.6309","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/oby.22737","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/pamm.201900293","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/pamm.201900392","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/pamm.201900454","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/pon.5191","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/prot.25860","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/psc.3235","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/pssa.201900488","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/pssb.201900296","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/qute.201900007","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/sim.8404","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/smll.201903541","TRUE",FALSE
"Technische Universität München",2019,"1,053.47","10.1002/smtd.201900445","TRUE",FALSE
