"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"TU Muenchen",2018,142.8,"10.12911/22998993/79418",FALSE,"Wydawnictwo Naukowe Gabriel Borowski (WNGB)","Journal of Ecological Engineering","2299-8993",NA,"2299-8993","2299-8993",NA,TRUE,NA,NA,"ut:000428722700001",NA,TRUE
"TU Muenchen",2018,198.92,"10.3390/lubricants6020047",FALSE,"MDPI AG","Lubricants","2075-4442",NA,"2075-4442","2075-4442","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000435142600018",NA,TRUE
"TU Muenchen",2018,222.33,"10.3390/pr6100184",FALSE,"MDPI AG","Processes","2227-9717",NA,"2227-9717","2227-9717","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000448557100012",NA,TRUE
"TU Muenchen",2018,237.6,"10.3390/wevj9040048",FALSE,"MDPI AG","World Electric Vehicle Journal","2032-6653",NA,"2032-6653","2032-6653","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"TU Muenchen",2018,238,"10.22331/q-2018-02-27-55",FALSE,"Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften","Quantum","2521-327X",NA,"2521-327X","2521-327X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000428614500014",NA,TRUE
"TU Muenchen",2018,263.81,"10.3390/inorganics6010031",FALSE,"MDPI AG","Inorganics","2304-6740",NA,"2304-6740","2304-6740","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,"ut:000428556900030",NA,TRUE
"TU Muenchen",2018,284.42,"10.20485/jsaeijae.9.4_178",FALSE,"J-STAGE","International Journal of Automotive Engineering","2185-0992",NA,NA,"2185-0992",NA,FALSE,NA,NA,NA,NA,FALSE
"TU Muenchen",2018,357,"10.2340/00015555-2868",FALSE,"Acta Dermato-Venereologica","Acta Dermato Venereologica","0001-5555","0001-5555",NA,"0001-5555",NA,TRUE,"29243768",NA,"ut:000430147800021",NA,TRUE
"TU Muenchen",2018,400,"10.15203/ciss_2018.005",FALSE,"Universitaet Innsbruck - Innsbruck University Press","Current Issues in Sport Science (CISS)","2414-6641",NA,"2414-6641","2414-6641",NA,FALSE,NA,NA,NA,NA,TRUE
"TU Muenchen",2018,403.7,"10.3390/cancers10070216",FALSE,"MDPI AG","Cancers","2072-6694",NA,"2072-6694","2072-6694","https://creativecommons.org/licenses/by/4.0/",TRUE,"29949934","PMC6070779","ut:000445632200007",NA,TRUE
