institution;period;euro;doi;is_hybrid
Technische Universität München;2020;835,20;10.1002/2688-8319.12045;FALSE
Technische Universität München;2020;1.299,20;10.1002/ecs2.3399;FALSE
Technische Universität München;2020;3.665,20;10.15252/msb.20209478;FALSE
Technische Universität München;2021;238,00;10.47197/retos.v0i41.84146;FALSE
Technische Universität München;2021;238,00;10.47197/retos.v43i0.88116;FALSE
Technische Universität München;2021;291,61;10.3390/wevj12010018;FALSE
Technische Universität München;2021;297,50;10.2478/rara-2020-0029;FALSE
Technische Universität München;2021;408,91;10.3389/fpsyg.2021.653458;FALSE
Technische Universität München;2021;458,22;10.3390/en14217441;FALSE
Technische Universität München;2021;475,94;10.5334/jors.304;FALSE
Technische Universität München;2021;487,08;10.5334/jors.351;FALSE
Technische Universität München;2021;523,60;10.1016/j.softx.2021.100860;FALSE
Technische Universität München;2021;535,50;10.22331/q-2021-07-13-502;FALSE
Technische Universität München;2021;571,20;10.1002/acn3.51444;FALSE
Technische Universität München;2021;595,00;10.1515/demo-2021-0105;FALSE
Technische Universität München;2021;630,08;10.3389/fdata.2020.519957;FALSE
Technische Universität München;2021;630,70;10.1016/j.softx.2021.100807;FALSE
Technische Universität München;2021;709,18;10.1212/NXI.0000000000001042;FALSE
Technische Universität München;2021;752,34;10.1090/bproc/92;FALSE
Technische Universität München;2021;756,04;10.3390/membranes10120415;FALSE
Technische Universität München;2021;757,62;10.3390/mti5040016;FALSE
Technische Universität München;2021;776,26;10.3390/aerospace8080229;FALSE
Technische Universität München;2021;776,26;10.3390/cli9070112;FALSE
Technische Universität München;2021;818,72;10.1186/s42252-020-00014-w;FALSE
Technische Universität München;2021;856,80;10.1002/jvc2.2;FALSE
Technische Universität München;2021;857,87;10.3389/feduc.2021.582773;FALSE
Technische Universität München;2021;863,25;10.3389/ffutr.2021.681451;FALSE
Technische Universität München;2021;863,25;10.3389/ffutr.2021.693708;FALSE
Technische Universität München;2021;863,25;10.3389/frsc.2021.670807;FALSE
Technische Universität München;2021;863,25;10.3389/frsc.2021.751682;FALSE
Technische Universität München;2021;880,50;10.3390/magnetochemistry7060080;FALSE
