"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"TU Muenchen",2021,827.3,"10.1007/s00347-021-01557-4",TRUE,"Springer Nature","Der Ophthalmologe","0941-293X","0941-293X","1433-0423","0941-293X","https://creativecommons.org/licenses/by/4.0",TRUE,"34939156",NA,"ut:000733871400001",NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2021,827.3,"10.1007/s00234-021-02703-0",TRUE,"Springer Nature","Neuroradiology","0028-3940","0028-3940","1432-1920","0028-3940","https://creativecommons.org/licenses/by/4.0",TRUE,"33835238","PMC8528802","ut:000638496200001",NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2021,827.3,"10.1007/s10021-021-00674-0",TRUE,"Springer Nature","Ecosystems","1432-9840","1432-9840","1435-0629","1432-9840","https://creativecommons.org/licenses/by/4.0",TRUE,"35509678","PMC9016046","ut:000678448100002",NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2021,827.3,"10.1007/s00380-021-01890-3",TRUE,"Springer Nature","Heart and Vessels","0910-8327","0910-8327","1615-2573","0910-8327","https://creativecommons.org/licenses/by/4.0",TRUE,"34152442","PMC8732937","ut:000663976300002",NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2021,827.3,"10.1007/s13385-021-00290-1",TRUE,"Springer Nature","European Actuarial Journal","2190-9733","2190-9733","2190-9741","2190-9733","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000685710400001",NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2021,827.3,"10.1007/s10845-021-01790-3",TRUE,"Springer Nature","Journal of Intelligent Manufacturing","0956-5515","0956-5515","1572-8145","0956-5515","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000666836900001",NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2021,827.3,"10.1007/s00330-021-08356-0",TRUE,"Springer Nature","European Radiology","0938-7994","0938-7994","1432-1084","0938-7994","https://creativecommons.org/licenses/by/4.0",TRUE,"34837511","PMC8921086","ut:000722967600002",NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2021,827.3,"10.1038/s41366-021-00883-6",TRUE,"Springer Nature","International Journal of Obesity","0307-0565","0307-0565","1476-5497","0307-0565","https://creativecommons.org/licenses/by/4.0",TRUE,"34172828","PMC8380540","ut:000669570500001",NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2021,827.3,"10.1007/s13272-021-00561-3",TRUE,"Springer Nature","CEAS Aeronautical Journal","1869-5582","1869-5582","1869-5590","1869-5582","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2021,827.3,"10.1007/s10342-021-01418-4",TRUE,"Springer Nature","European Journal of Forest Research","1612-4669","1612-4669","1612-4677","1612-4669","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,"ut:000710065900001",NA,FALSE,"DEAL Springer Nature Germany"
