institution;period;euro;doi;is_hybrid;opt_out
Technische Universität München;2021;827,30;10.1007/s11678-021-00622-3;TRUE;TRUE
Technische Universität München;2021;827,30;10.1007/s10113-020-01729-z;TRUE;TRUE
Technische Universität München;2021;827,30;10.1007/s10010-021-00505-7;TRUE;TRUE
Technische Universität München;2021;827,30;10.1007/s10766-020-00688-6;TRUE;TRUE
Technische Universität München;2021;827,30;10.1007/s40890-021-00118-3;TRUE;TRUE
Technische Universität München;2021;827,30;10.1007/s10010-021-00524-4;TRUE;TRUE
Technische Universität München;2021;827,30;10.1007/s10048-021-00637-6;TRUE;TRUE
Technische Universität München;2021;827,30;10.1007/s00115-021-01101-4;TRUE;TRUE
Technische Universität München;2021;827,30;10.1007/s12678-021-00655-w;TRUE;TRUE
Technische Universität München;2021;827,30;10.1007/s00347-020-01317-w;TRUE;TRUE
Technische Universität München;2021;827,30;10.1007/s00464-020-08191-2;TRUE;TRUE
