"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"TU Muenchen",2023,933.13,"10.1007/s00245-023-09967-3",TRUE,"Springer Nature","Applied Mathematics & Optimization","0095-4616","0095-4616","1432-0606","0095-4616","https://www.springernature.com/gp/researchers/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2023,933.13,"10.1007/s11356-023-31710-2",TRUE,"Springer Nature","Environmental Science and Pollution Research","1614-7499",NA,"1614-7499","0944-1344","https://www.springernature.com/gp/researchers/text-and-data-mining",TRUE,"38157174",NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2023,933.13,"10.1007/s00482-023-00708-7",TRUE,"Springer Nature","Der Schmerz","0932-433X","0932-433X","1432-2129","0932-433X","https://www.springernature.com/gp/researchers/text-and-data-mining",TRUE,"36941442","PMC10027278",NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2023,933.13,"10.1007/s00220-023-04788-5",TRUE,"Springer Nature","Communications in Mathematical Physics","0010-3616","0010-3616","1432-0916","0010-3616","https://www.springernature.com/gp/researchers/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2023,933.13,"10.1007/s10010-023-00712-4",TRUE,"Springer Nature","Forschung im Ingenieurwesen","0015-7899","0015-7899","1434-0860","0015-7899","https://www.springernature.com/gp/researchers/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2023,933.13,"10.1007/s10618-022-00904-6",TRUE,"Springer Nature","Data Mining and Knowledge Discovery","1384-5810","1384-5810","1573-756X","1384-5810","https://www.springernature.com/gp/researchers/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2023,933.13,"10.1007/s00220-023-04720-x",TRUE,"Springer Nature","Communications in Mathematical Physics","0010-3616","0010-3616","1432-0916","0010-3616","https://www.springernature.com/gp/researchers/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2023,933.13,"10.1007/s12648-023-02648-5",TRUE,"Springer Nature","Indian Journal of Physics","0973-1458","0973-1458","0974-9845","0019-5480","https://www.springernature.com/gp/researchers/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2023,933.13,"10.1007/s00120-023-02098-1",TRUE,"Springer Nature","Die Urologie","2731-7064","2731-7064","2731-7072","2731-7064","https://www.springernature.com/gp/researchers/text-and-data-mining",TRUE,"37264284",NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
"TU Muenchen",2023,933.13,"10.1007/s00142-023-00612-3",TRUE,"Springer Nature","Arthroskopie","0933-7946","0933-7946","1434-3924","0933-7946","https://www.springernature.com/gp/researchers/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE,"DEAL Springer Nature Germany"
