"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"TU Muenchen",2017,1393.81,"10.3389/fimmu.2016.00660",FALSE,"Frontiers Media SA","Frontiers in Immunology","1664-3224",NA,"1664-3224","1664-3224",NA,TRUE,"28138325","PMC5238459","ut:000391827900001",NA,TRUE
"TU Muenchen",2017,2020.01,"10.3389/fmicb.2017.00135",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X",NA,TRUE,"28197147","PMC5281617","ut:000392969000001",NA,TRUE
"TU Muenchen",2017,2020.01,"10.3389/fnbot.2017.00004",FALSE,"Frontiers Media SA","Frontiers in Neurorobotics","1662-5218",NA,"1662-5218","1662-5218",NA,TRUE,"28223931","PMC5293834","ut:000393522600001",NA,TRUE
"TU Muenchen",2017,2020.01,"10.3389/fnhum.2017.00004",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161",NA,"1662-5161","1662-5161",NA,TRUE,"28167906","PMC5253359","ut:000392444300002",NA,TRUE
"TU Muenchen",2017,2020.01,"10.3389/fnhum.2017.00042",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161",NA,"1662-5161","1662-5161",NA,TRUE,"28223927","PMC5293874","ut:000393546000001",NA,TRUE
"TU Muenchen",2017,1858.41,"10.3389/fonc.2017.00035",FALSE,"Frontiers Media SA","Frontiers in Oncology","2234-943X",NA,"2234-943X","2234-943X",NA,TRUE,"28348976","PMC5346564","ut:000396178200001",NA,TRUE
"TU Muenchen",2017,883.76,"10.3389/fonc.2017.00037",FALSE,"Frontiers Media SA","Frontiers in Oncology","2234-943X",NA,"2234-943X","2234-943X",NA,TRUE,"28348978","PMC5346562","ut:000396178200003",NA,TRUE
"TU Muenchen",2017,2020.01,"10.3389/fncom.2017.00016",FALSE,"Frontiers Media SA","Frontiers in Computational Neuroscience","1662-5188",NA,"1662-5188","1662-5188",NA,TRUE,"28373839","PMC5357671",NA,NA,TRUE
"TU Muenchen",2017,2020.01,"10.3389/fmicb.2017.00445",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X",NA,TRUE,"28377750","PMC5359228","ut:000396908500001",NA,TRUE
"TU Muenchen",2017,2020.01,"10.3389/fpls.2017.00379",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X",NA,TRUE,"28424706","PMC5372809","ut:000397517500001",NA,TRUE
"TU Muenchen",2017,956.1,"10.3389/fnut.2017.00009",FALSE,"Frontiers Media SA","Frontiers in Nutrition","2296-861X",NA,"2296-861X","2296-861X",NA,TRUE,"28459050","PMC5394109","ut:000408989100001",NA,TRUE
"TU Muenchen",2017,2020.01,"10.3389/fpls.2017.00598",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X",NA,TRUE,"28473841","PMC5397420","ut:000399525500001",NA,TRUE
"TU Muenchen",2017,2020.01,"10.3389/fmicb.2017.00807",FALSE,"Frontiers Media SA","Frontiers in Microbiology","1664-302X",NA,"1664-302X","1664-302X",NA,TRUE,"28522999","PMC5415625","ut:000400547400002",NA,TRUE
"TU Muenchen",2017,1945.59,"10.3389/fpsyg.2017.00919",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078",NA,TRUE,"28626442","PMC5454048","ut:000402502900001",NA,TRUE
"TU Muenchen",2017,1961.27,"10.3389/fneur.2017.00272",FALSE,"Frontiers Media SA","Frontiers in Neurology","1664-2295",NA,"1664-2295","1664-2295",NA,TRUE,"28674513","PMC5474958","ut:000403714200001",NA,TRUE
"TU Muenchen",2017,2053.27,"10.3389/fcimb.2017.00275",FALSE,"Frontiers Media SA","Frontiers in Cellular and Infection Microbiology","2235-2988",NA,"2235-2988","2235-2988",NA,TRUE,"28680859","PMC5478678","ut:000403718500005",NA,TRUE
"TU Muenchen",2017,1961.27,"10.3389/fonc.2017.00225",FALSE,"Frontiers Media SA","Frontiers in Oncology","2234-943X",NA,"2234-943X","2234-943X",NA,TRUE,"28979889","PMC5611394","ut:000411524200002",NA,TRUE
