"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Universität der Bundeswehr München",2024,1381.44,"10.1039/d3ra08038b",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069","2046-2069","http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"38213973","PMC10777360",NA,NA,TRUE
"Universität der Bundeswehr München",2024,2959.11,"10.1667/rade-23-00217.1",TRUE,"Radiation Research Society","Radiation Research","0033-7587","0033-7587",NA,"0033-7587",NA,TRUE,"38214379",NA,NA,NA,FALSE
"Universität der Bundeswehr München",2024,3623.97,"10.3389/fpubh.2024.1353119",FALSE,"Frontiers Media SA","Frontiers in Public Health","2296-2565",NA,"2296-2565","2296-2565","https://creativecommons.org/licenses/by/4.0/",TRUE,"38406496","PMC10884305",NA,NA,TRUE
"Universität der Bundeswehr München",2024,3626.19,"10.3389/fpubh.2024.1347825",FALSE,"Frontiers Media SA","Frontiers in Public Health","2296-2565",NA,"2296-2565","2296-2565","https://creativecommons.org/licenses/by/4.0/",TRUE,"38379679","PMC10877054",NA,NA,TRUE
"Universität der Bundeswehr München",2024,3751.09,"10.1108/hff-11-2023-0708",TRUE,"Emerald","International Journal of Numerical Methods for Heat & Fluid Flow","0961-5539","0961-5539","1758-6585","0961-5539","https://creativecommons.org/licences/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Universität der Bundeswehr München",2024,3613.23,"10.3389/fpubh.2024.1304721",FALSE,"Frontiers Media SA","Frontiers in Public Health","2296-2565",NA,"2296-2565","2296-2565","https://creativecommons.org/licenses/by/4.0/",TRUE,"38450146","PMC10915069",NA,NA,TRUE
"Universität der Bundeswehr München",2024,1660.05,"10.5194/amt-17-299-2024",FALSE,"Copernicus GmbH","Atmospheric Measurement Techniques","1867-8548",NA,"1867-8548","1867-1381","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,3018.98,"10.3390/cells13050464",FALSE,"MDPI AG","Cells","2073-4409",NA,"2073-4409","2073-4409","https://creativecommons.org/licenses/by/4.0/",TRUE,"38474428","PMC10931022",NA,NA,TRUE
"Universität der Bundeswehr München",2024,3046.4,"10.1088/1361-6501/ad3410",TRUE,"IOP Publishing","Measurement Science and Technology","0957-0233","0957-0233","1361-6501","0957-0233","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"Universität der Bundeswehr München",2024,1410.15,"10.2147/oajsm.s444568",FALSE,"Informa UK Limited","Open Access Journal of Sports Medicine","1179-1543",NA,"1179-1543","1179-1543","https://creativecommons.org/licenses/by-nc/3.0/",TRUE,"38742188","PMC11090120",NA,NA,TRUE
"Universität der Bundeswehr München",2024,1578.94,"10.3390/instruments8010018",FALSE,"MDPI AG","Instruments","2410-390X",NA,"2410-390X","2410-390X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,2971.16,"10.3390/batteries10040131",FALSE,"MDPI AG","Batteries","2313-0105",NA,"2313-0105","2313-0105","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,595,"10.1515/secm-2022-0238",FALSE,"Walter de Gruyter GmbH","Science and Engineering of Composite Materials","2191-0359",NA,"2191-0359","0792-1233","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,3046.4,"10.1088/1361-6501/ad3a85",TRUE,"IOP Publishing","Measurement Science and Technology","0957-0233","0957-0233","1361-6501","0957-0233","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"Universität der Bundeswehr München",2024,892.5,"10.1515/icom-2024-0006",FALSE,"Walter de Gruyter GmbH","i-com","2196-6826",NA,"2196-6826","1618-162X","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,2858.21,"10.3390/ma17102243",FALSE,"MDPI AG","Materials","1996-1944",NA,"1996-1944","1996-1944","https://creativecommons.org/licenses/by/4.0/",TRUE,"38793309","PMC11123151",NA,NA,FALSE
"Universität der Bundeswehr München",2024,1978.77,"10.3390/jcs8050184",FALSE,"MDPI AG","Journal of Composites Science","2504-477X",NA,"2504-477X","2504-477X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Universität der Bundeswehr München",2024,1533.03,"10.3390/aerospace11050403",FALSE,"MDPI AG","Aerospace","2226-4310",NA,"2226-4310","2226-4310","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,1539.04,"10.3390/aerospace11050404",FALSE,"MDPI AG","Aerospace","2226-4310",NA,"2226-4310","2226-4310","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,3927,"10.1108/ijchm-09-2023-1513",TRUE,"Emerald","International Journal of Contemporary Hospitality Management","0959-6119","0959-6119","0959-6119","0959-6119","https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,FALSE
"Universität der Bundeswehr München",2024,2696.3,"10.3390/aerospace11070527",FALSE,"MDPI AG","Aerospace","2226-4310",NA,"2226-4310","2226-4310","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,754.1,"10.3389/feduc.2024.1416307",FALSE,"Frontiers Media SA","Frontiers in Education","2504-284X",NA,"2504-284X","2504-284X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,2960.3,"10.3390/s24186122",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"39338866","PMC11435938",NA,NA,TRUE
"Universität der Bundeswehr München",2024,1549.3,"10.3390/instruments8030039",FALSE,"MDPI AG","Instruments","2410-390X",NA,"2410-390X","2410-390X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,3549.89,"10.3389/fpsyg.2024.1427373",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"39220388","PMC11363260",NA,NA,TRUE
"Universität der Bundeswehr München",2024,3087.06,"10.3390/healthcare12161599",FALSE,"MDPI AG","Healthcare","2227-9032",NA,"2227-9032","2227-9032","https://creativecommons.org/licenses/by/4.0/",TRUE,"39201158","PMC11353908",NA,NA,FALSE
"Universität der Bundeswehr München",2024,3055.05,"10.3390/batteries10090305",FALSE,"MDPI AG","Batteries","2313-0105",NA,"2313-0105","2313-0105","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Universität der Bundeswehr München",2024,2962.65,"10.3390/s24175769",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"39275680","PMC11397946",NA,NA,TRUE
