"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"",,,"","","","","","","","","","","","","","","",""
"",,,"","","","","","","","","","","","","","","",""
"",,,"","","","","","","","","","","","","","","",""
"Augsburg U",2023,5856.34,"10.1111/gcb.16622",TRUE,"Wiley-Blackwell","Global Change Biology","1354-1013","1354-1013","1365-2486","1354-1013","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"36847151",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1002/bimj.202200212",TRUE,"Wiley-Blackwell","Biometrical Journal","0323-3847","0323-3847","1521-4036","0323-3847","http://creativecommons.org/licenses/by/4.0/",TRUE,"36810737",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1029/2022jd038275",TRUE,"American Geophysical Union (AGU)","Journal of Geophysical Research: Atmospheres","2169-897X","2169-897X","2169-8996","2169-897X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1002/ctpp.202300014",TRUE,"Wiley-Blackwell","Contributions to Plasma Physics","0863-1042","0863-1042","1521-3986","0863-1042","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1111/1911-3846.12873",TRUE,"Wiley-Blackwell","Contemporary Accounting Research","0823-9150","0823-9150","1911-3846","0823-9150","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1002/app.54320",TRUE,"Wiley-Blackwell","Journal of Applied Polymer Science","0021-8995","0021-8995","1097-4628","0021-8995","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1002/ijc.34665",TRUE,"Wiley-Blackwell","International Journal of Cancer","0020-7136","0020-7136","1097-0215","0020-7136","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"37501565",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1111/bioe.13205",TRUE,"Wiley-Blackwell","Bioethics","0269-9702","0269-9702","1467-8519","0269-9702","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37830740",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1111/ene.16006",TRUE,"Wiley-Blackwell","European Journal of Neurology","1351-5101","1351-5101","1468-1331","1351-5101","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37522399","PMC11235198",NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1002/ejp.2169",TRUE,"Wiley-Blackwell","European Journal of Pain","1090-3801","1090-3801","1532-2149","1090-3801","http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"37592377",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1002/pamm.202300169",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1002/pamm.202300094",TRUE,"Wiley-Blackwell","PAMM","1617-7061","1617-7061","1617-7061","1617-7061","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1111/febs.16968",TRUE,"Wiley-Blackwell","FEBS Journal","1742-464X","1742-464X","1742-4658","1742-464X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"37786993",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1111/codi.16811",TRUE,"Wiley-Blackwell","Colorectal Disease","1462-8910","1462-8910","1463-1318","1462-8910","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"38115093",NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1111/ijac.14624",TRUE,"Wiley-Blackwell","International Journal of Applied Ceramic Technology","1546-542X","1546-542X","1744-7402","1546-542X","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
"Augsburg U",2023,5856.34,"10.1002/joc.8331",TRUE,"Wiley-Blackwell","International Journal of Climatology","0899-8418","0899-8418","1097-0088","0899-8418","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE,"DEAL Wiley Germany"
