"Institution","Period","EURO","publisher","journal","ISSN.1","ISSN.2","doi","indexed_in_CrossRef","pmid","pmcid","base_url","repo_id","ut","DOAJ"
"Bamberg U",2013,"405.79","Pion Ltd","i-Perception","2041-6695","NA","10.1068/i0605","TRUE",24349703,"PMC3859561","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",5104,"NA","TRUE"
"Bamberg U",2014,"380.74","Pion Ltd","i-Perception","2041-6695","NA","10.1068/i0664","TRUE","NA","NA"," ","NA","NA","TRUE"
"Bamberg U",2013,2010,"Springer Science + Business Media","BMC Neurosci","1471-2202","NA","10.1186/1471-2202-14-154","TRUE",24330622,"PMC4028813","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",6185,"NA","TRUE"
"Bamberg U",2014,1890,"Springer Science + Business Media","BMC Neurology","1471-2377","NA","10.1186/s12883-014-0229-5","TRUE","NA","NA"," ","NA","NA","TRUE"
"Bamberg U",2014,1920,"Springer Science + Business Media","Health and Quality of Life Outcomes","1477-7525","NA","10.1186/s12955-014-0181-5","TRUE","NA","NA","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",24376,"NA","TRUE"
"Bamberg U",2013,"1019.3","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0079164","TRUE",24116236,"PMC3792936","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",5533,"NA","TRUE"
"Bamberg U",2013,"1022.78","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","10.1371/journal.pone.0083277","TRUE",24349479,"PMC3857299","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",6296,"NA","TRUE"
"Bamberg U",2014,90,"Editorial Universidad de Almeria","Electronic Journal of Research in Education Psychology","1696-2095","NA","10.14204/ejrep.32.13077","TRUE","NA","NA","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",6933,"NA","TRUE"
"Bamberg U",2013,1372,"Dove Medical Press Ltd.","Journal of Pain Research","1178-7090","NA","10.2147/JPR.S45097","TRUE","NA","NA","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",6288,"NA","TRUE"
"Bamberg U",2014,"1569.89","JMIR Publications Inc.","J Med Internet Res","1438-8871","NA","10.2196/jmir.3398","TRUE",25299174,"PMC4210952","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",25520,"NA","TRUE"
"Bamberg U",2014,960,"Frontiers Media SA","Front. Hum. Neurosci.","1662-5161","NA","10.3389/fnhum.2014.00566","TRUE",25132816,"PMC4116780","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",10670,"NA","TRUE"
"Bamberg U",2013,960,"Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","10.3389/fpsyg.2013.00318","TRUE",23760550,"PMC3669756","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",5204,"NA","TRUE"
"Bamberg U",2013,960,"Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","10.3389/fpsyg.2013.00406","TRUE",23847576,"PMC3705173","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",4358,"NA","TRUE"
"Bamberg U",2013,960,"Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","10.3389/fpsyg.2013.00453","TRUE",23882250,"PMC3714455","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",4357,"NA","TRUE"
"Bamberg U",2013,"229.61","Sciedu Press","International Journal of Higher Education","1927-6052","1927-6044","10.5430/ijhe.v2n4p214","TRUE","NA","NA","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",10524,"NA","TRUE"
"Bamberg U",2013,182,"Lifescience Global","International Journal of Criminology and Sociology","1929-4409","NA","10.6000/1929-4409.2013.02.32","FALSE","NA","NA"," ","NA","NA","FALSE"
"Bamberg U",2015,1372,"Dove Medical Press Ltd.","Journal of Pain Research","1178-7090","NA","10.2147/JPR.S79618","TRUE",25960674,"PMC4412487",,"NA","NA","TRUE"
"Bamberg U",2015,1584,"Dove Medical Press Ltd.","Journal of Pain Research","1178-7090","NA","10.2147/JPR.S90434","TRUE",26664154,"PMC4669922",,"NA","NA","TRUE"
"Bamberg U",2015,1372,"Dove Medical Press Ltd.","Journal of Pain Research","1178-7090","NA","10.2147/JPR.S80990","TRUE",26316802,"PMC4540212",,"NA","NA","TRUE"
"Bamberg U",2015,960,"Frontiers Media SA","Frontiers in Psychology","1664-1078","NA","10.3389/fpsyg.2015.00365","TRUE",25873907,"PMC4379740","http://opus4.kobv.de/opus4-bamberg/frontdoor/index/index/docId/",45636,"NA","TRUE"
"Bamberg U",2015,"999.60","Springer Science + Business Media","Decision analytics","2193-8636","NA","10.1186/s40165-015-0018-2","TRUE","NA","NA",,"NA","NA","TRUE"
"Bamberg U",2015,"1442.99","Hindawi Publishing Corporation","Behavioural Neurology ","1875-8584","0953-4180","10.1155/2015/878157","TRUE",26788018,"PMC4691599",,"NA","NA","TRUE"
