"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Bamberg U",2013,405.79,"10.1068/i0605",FALSE,"Pion Ltd","i-Perception","2041-6695",NA,"2041-6695",NA,TRUE,"24349703","PMC3859561",NA,NA,TRUE
"Bamberg U",2014,380.74,"10.1068/i0664",FALSE,"Pion Ltd","i-Perception","2041-6695",NA,"2041-6695",NA,TRUE,"25926968","PMC4411983",NA,NA,TRUE
"Bamberg U",2013,2010,"10.1186/1471-2202-14-154",FALSE,"Springer Science + Business Media","BMC Neuroscience","1471-2202","1471-2202",NA,NA,TRUE,"24330622","PMC4028813",NA,NA,TRUE
"Bamberg U",2014,1890,"10.1186/s12883-014-0229-5",FALSE,"Springer Science + Business Media","BMC Neurology","1471-2377",NA,"1471-2377","http://www.springer.com/tdm",TRUE,"25726717","PMC4279897",NA,NA,TRUE
"Bamberg U",2014,1920,"10.1186/s12955-014-0181-5",FALSE,"Springer Science + Business Media","Health and Quality of Life Outcomes","1477-7525",NA,"1477-7525",NA,TRUE,"25479769","PMC4263046",NA,NA,TRUE
"Bamberg U",2013,1019.3,"10.1371/journal.pone.0079164",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"24116236","PMC3792936",NA,NA,TRUE
"Bamberg U",2013,1022.78,"10.1371/journal.pone.0083277",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"24349479","PMC3857299",NA,NA,TRUE
"Bamberg U",2014,90,"10.14204/ejrep.32.13077",FALSE,"Editorial Universidad de Almeria","Electronic Journal of Research in Education Psychology","1696-2095",NA,"16962095",NA,TRUE,NA,NA,NA,NA,TRUE
"Bamberg U",2013,1372,"10.2147/JPR.S45097",FALSE,"Dove Medical Press Ltd.","Journal of Pain Research","1178-7090",NA,"1178-7090",NA,TRUE,"23788838","PMC3684223",NA,NA,TRUE
"Bamberg U",2014,1569.89,"10.2196/jmir.3398",FALSE,"JMIR Publications Inc.","Journal of Medical Internet Research","1438-8871",NA,"1438-8871",NA,TRUE,"25299174","PMC4210952",NA,NA,TRUE
"Bamberg U",2014,960,"10.3389/fnhum.2014.00566",FALSE,"Frontiers Media SA","Frontiers in Human Neuroscience","1662-5161",NA,"1662-5161",NA,TRUE,"25132816","PMC4116780",NA,NA,TRUE
"Bamberg U",2013,960,"10.3389/fpsyg.2013.00318",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"23760550","PMC3669756",NA,NA,TRUE
"Bamberg U",2013,960,"10.3389/fpsyg.2013.00406",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"23847576","PMC3705173",NA,NA,TRUE
"Bamberg U",2013,960,"10.3389/fpsyg.2013.00453",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"23882250","PMC3714455",NA,NA,TRUE
"Bamberg U",2013,229.61,"10.5430/ijhe.v2n4p214",FALSE,"Sciedu Press","International Journal of Higher Education","1927-6052","1927-6044","1927-6052",NA,TRUE,NA,NA,NA,NA,FALSE
"Bamberg U",2013,182,"10.6000/1929-4409.2013.02.32",FALSE,"Lifescience Global","International Journal of Criminology and Sociology","1929-4409",NA,"19294409",NA,TRUE,NA,NA,NA,NA,FALSE
"Bamberg U",2015,1372,"10.2147/JPR.S79618",FALSE,"Dove Medical Press Ltd.","Journal of Pain Research","1178-7090",NA,"1178-7090",NA,TRUE,"25960674","PMC4412487",NA,NA,TRUE
"Bamberg U",2015,1584,"10.2147/JPR.S90434",FALSE,"Dove Medical Press Ltd.","Journal of Pain Research","1178-7090",NA,"1178-7090",NA,TRUE,"26664154","PMC4669922",NA,NA,TRUE
"Bamberg U",2015,1372,"10.2147/JPR.S80990",FALSE,"Dove Medical Press Ltd.","Journal of Pain Research","1178-7090",NA,"1178-7090",NA,TRUE,"26316802","PMC4540212",NA,NA,TRUE
"Bamberg U",2015,960,"10.3389/fpsyg.2015.00365",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,TRUE,"25873907","PMC4379740",NA,NA,TRUE
"Bamberg U",2015,999.6,"10.1186/s40165-015-0018-2",FALSE,"Springer Nature","Decision Analytics","2193-8636",NA,"2193-8636",NA,TRUE,NA,NA,NA,NA,TRUE
"Bamberg U",2015,1442.99,"10.1155/2015/878157",FALSE,"Hindawi Publishing Corporation","Behavioural Neurology","0953-4180","0953-4180","1875-8584","http://creativecommons.org/licenses/by/4.0/",TRUE,"26788018","PMC4691599",NA,NA,TRUE
