"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Bayreuth U",2022,3159.57,"10.7554/elife.74422",FALSE,"eLife Sciences Publications, Ltd","eLife","2050-084X",NA,"2050-084X","2050-084X","http://creativecommons.org/licenses/by/4.0/",TRUE,"35042580","PMC8769644",NA,NA,TRUE
"Bayreuth U",2022,1931.47,"10.3390/app12031152",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417","2076-3417","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1931.47,"10.3390/antibiotics11010074",FALSE,"MDPI AG","Antibiotics","2079-6382",NA,"2079-6382","2079-6382","https://creativecommons.org/licenses/by/4.0/",TRUE,"35052951","PMC8772973",NA,NA,TRUE
"Bayreuth U",2022,1352.03,"10.3390/computation10020021",FALSE,"MDPI AG","Computation","2079-3197",NA,"2079-3197","2079-3197","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1931.47,"10.3390/app12031684",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417","2076-3417","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,2645.81,"10.1103/physrevresearch.4.013189",FALSE,"American Physical Society (APS)","Physical Review Research","2643-1564",NA,"2643-1564","2643-1564","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,2659.28,"10.3389/fenvs.2022.684589",FALSE,"Frontiers Media SA","Frontiers in Environmental Science","2296-665X",NA,"2296-665X","2296-665X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1931.47,"10.3390/pr10020421",FALSE,"MDPI AG","Processes","2227-9717",NA,"2227-9717","2227-9717","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1826.52,"10.1109/access.2022.3148711",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536","2169-3536","https://creativecommons.org/licenses/by/4.0/legalcode",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1931.47,"10.3390/f13020299",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907","1999-4907","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1738.33,"10.3390/jcdd9040096",FALSE,"MDPI AG","Journal of Cardiovascular Development and Disease","2308-3425",NA,"2308-3425","2308-3425","https://creativecommons.org/licenses/by/4.0/",TRUE,"35448072","PMC9027624",NA,NA,TRUE
"Bayreuth U",2022,2606.1,"10.1016/j.ecolind.2022.108829",FALSE,"Elsevier BV","Ecological Indicators","1470-160X","1470-160X",NA,"1470-160X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,3281.91,"10.3389/fpls.2022.897673",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X","https://creativecommons.org/licenses/by/4.0/",TRUE,"35574097","PMC9100894",NA,NA,TRUE
"Bayreuth U",2022,3318.53,"10.3389/fphys.2022.892247",FALSE,"Frontiers Media SA","Frontiers in Physiology","1664-042X",NA,"1664-042X","1664-042X","https://creativecommons.org/licenses/by/4.0/",TRUE,"35721534","PMC9204197",NA,NA,TRUE
"Bayreuth U",2022,2317.76,"10.3390/s22093311",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"35591000","PMC9101221",NA,NA,TRUE
"Bayreuth U",2022,1212.23,"10.1039/d2ra00470d",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069","2046-2069","http://creativecommons.org/licenses/by/3.0/",TRUE,"35425044","PMC8988274",NA,NA,TRUE
"Bayreuth U",2022,1352.03,"10.3390/educsci12050296",FALSE,"MDPI AG","Education Sciences","2227-7102",NA,"2227-7102","2227-7102","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,2567.09,"10.3389/fpsyg.2022.819899",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078","https://creativecommons.org/licenses/by/4.0/",TRUE,"35615200","PMC9126305",NA,NA,TRUE
"Bayreuth U",2022,2849.6,"10.1103/physrevresearch.4.023061",FALSE,"American Physical Society (APS)","Physical Review Research","2643-1564",NA,"2643-1564","2643-1564","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,4182.45,"10.1126/sciadv.abn9084",FALSE,"American Association for the Advancement of Science (AAAS)","Science Advances","2375-2548",NA,"2375-2548","2375-2548",NA,TRUE,"35584219","PMC9116614",NA,NA,TRUE
"Bayreuth U",2022,2770.15,"10.3389/fenvs.2022.846243",FALSE,"Frontiers Media SA","Frontiers in Environmental Science","2296-665X",NA,"2296-665X","2296-665X","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,2221.19,"10.3390/app12094449",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417","2076-3417","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1287.65,"10.3390/s22093104",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"35590794","PMC9105614",NA,NA,TRUE
"Bayreuth U",2022,1552.95,"10.1016/j.oceram.2022.100253",FALSE,"Elsevier BV","Open Ceramics","2666-5395","2666-5395",NA,"2666-5395","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,2414.33,"10.3390/ijerph19095620",FALSE,"MDPI AG","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601","1660-4601","https://creativecommons.org/licenses/by/4.0/",TRUE,"35565006","PMC9101905",NA,NA,FALSE
"Bayreuth U",2022,1931.47,"10.3390/su14095689",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050","2071-1050","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1297.1,"10.1080/26395916.2022.2065361",FALSE,"Informa UK Limited","Ecosystems and People","2639-5908","2639-5908","2639-5916","2639-5908","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,2317.76,"10.3390/polym14102095",FALSE,"MDPI AG","Polymers","2073-4360",NA,"2073-4360","2073-4360","https://creativecommons.org/licenses/by/4.0/",TRUE,"35631976","PMC9145363",NA,NA,TRUE
"Bayreuth U",2022,2116.11,"10.1107/s2052252522003888",FALSE,"International Union of Crystallography (IUCr)","IUCrJ","2052-2525",NA,"2052-2525","2052-2525","http://creativecommons.org/licenses/by/4.0/legalcode",TRUE,"35546799","PMC9067112",NA,NA,TRUE
"Bayreuth U",2022,1352.02,"10.3390/educsci12060378",FALSE,"MDPI AG","Education Sciences","2227-7102",NA,"2227-7102","2227-7102","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1931.47,"10.3390/f13060875",FALSE,"MDPI AG","Forests","1999-4907",NA,"1999-4907","1999-4907","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1698.46,"10.7717/peerj.13566",FALSE,"PeerJ","PeerJ","2167-8359",NA,"2167-8359","2167-8359","https://creativecommons.org/licenses/by/4.0/",TRUE,"35860044","PMC9291012",NA,NA,TRUE
"Bayreuth U",2022,1802.7,"10.3390/s22114244",FALSE,"MDPI AG","Sensors","1424-8220",NA,"1424-8220","1424-8220","https://creativecommons.org/licenses/by/4.0/",TRUE,"35684865","PMC9185554",NA,NA,TRUE
"Bayreuth U",2022,2180.01,"10.3389/fspor.2022.869151",FALSE,"Frontiers Media SA","Frontiers in Sports and Active Living","2624-9367",NA,"2624-9367","2624-9367","https://creativecommons.org/licenses/by/4.0/",TRUE,"35837248","PMC9273996",NA,NA,TRUE
"Bayreuth U",2022,1317.33,"10.1093/aobpla/plac021",FALSE,"Oxford University Press (OUP)","AoB Plants","2041-2851",NA,"2041-2851","2041-2851","https://creativecommons.org/licenses/by/4.0/",TRUE,"35673361","PMC9167560",NA,NA,TRUE
"Bayreuth U",2022,4141.2,"10.1002/advs.202105701",FALSE,"Wiley-Blackwell","Advanced Science","2198-3844","2198-3844","2198-3844","2198-3844","http://creativecommons.org/licenses/by/4.0/",TRUE,"35187843","PMC9008799",NA,NA,TRUE
"Bayreuth U",2022,1713.6,"10.1002/ece3.8513",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"35228858","PMC8864100",NA,NA,TRUE
"Bayreuth U",2022,1335.93,"10.3390/jrfm15090392",FALSE,"MDPI AG","Journal of Risk and Financial Management","1911-8074",NA,"1911-8074","1911-8066","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"Bayreuth U",2022,3229.83,"10.3389/fphys.2022.867108",FALSE,"Frontiers Media SA","Frontiers in Physiology","1664-042X",NA,"1664-042X","1664-042X","https://creativecommons.org/licenses/by/4.0/",TRUE,"35574463","PMC9096560",NA,NA,TRUE
"Bayreuth U",2022,2862.26,"10.3390/nu14163257",FALSE,"MDPI AG","Nutrients","2072-6643",NA,"2072-6643","2072-6643","https://creativecommons.org/licenses/by/4.0/",TRUE,"36014763","PMC9414006",NA,NA,TRUE
"Bayreuth U",2022,1687,"10.1127/metz/2022/1134",FALSE,"Schweizerbart","Meteorologische Zeitschrift","0941-2948","0941-2948",NA,"0941-2948",NA,TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,2427.6,"10.1002/cey2.257",FALSE,"Wiley-Blackwell","Carbon Energy","2637-9368","2637-9368","2637-9368","2637-9368","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1713.6,"10.1002/sae2.12026",FALSE,"Wiley-Blackwell","Journal of Sustainable Agriculture and Environment","2767-035X","2767-035X","2767-035X","2767-035X","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,2654.57,"10.3390/polym14204331",FALSE,"MDPI AG","Polymers","2073-4360",NA,"2073-4360","2073-4360","https://creativecommons.org/licenses/by/4.0/",TRUE,"36297909","PMC9607094",NA,NA,TRUE
"Bayreuth U",2022,1109.09,"10.3390/electricity3040027",FALSE,"MDPI AG","Electricity","2673-4826",NA,"2673-4826","2673-4826","https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,3962.7,"10.1002/advs.202103720",FALSE,"Wiley-Blackwell","Advanced Science","2198-3844","2198-3844","2198-3844","2198-3844","http://creativecommons.org/licenses/by/4.0/",TRUE,"35187810","PMC9284162",NA,NA,TRUE
"Bayreuth U",2022,1713.6,"10.1002/ece3.8781",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758","2045-7758","2045-7758","2045-7758","http://creativecommons.org/licenses/by/4.0/",TRUE,"35414893","PMC8986513",NA,NA,TRUE
"Bayreuth U",2022,2221.19,"10.3390/ijms23073501",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"35408868","PMC8998961",NA,NA,TRUE
"Bayreuth U",2022,1931.47,"10.3390/biology11020338",FALSE,"MDPI AG","Biology","2079-7737",NA,"2079-7737","2079-7737","https://creativecommons.org/licenses/by/4.0/",TRUE,"35205205","PMC8869760",NA,NA,TRUE
"Bayreuth U",2022,1229.77,"10.1039/d2ra01008a",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069","2046-2069","http://creativecommons.org/licenses/by/3.0/",TRUE,"35424640","PMC8981978",NA,NA,TRUE
"Bayreuth U",2022,1190,"10.1515/epoly-2022-0031",FALSE,"Walter de Gruyter GmbH","e-Polymers","1618-7229",NA,"1618-7229","1618-7229","http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"Bayreuth U",2022,1983.08,"10.3389/fspor.2022.824006",FALSE,"Frontiers Media SA","Frontiers in Sports and Active Living","2624-9367",NA,"2624-9367","2624-9367","https://creativecommons.org/licenses/by/4.0/",TRUE,"35359501","PMC8961871",NA,NA,TRUE
"Bayreuth U",2022,2124.61,"10.3390/polym14030550",FALSE,"MDPI AG","Polymers","2073-4360",NA,"2073-4360","2073-4360","https://creativecommons.org/licenses/by/4.0/",TRUE,"35160539","PMC8840214",NA,NA,TRUE
"Bayreuth U",2022,1931.47,"10.3390/cells11010153",FALSE,"MDPI AG","Cells","2073-4409",NA,"2073-4409","2073-4409","https://creativecommons.org/licenses/by/4.0/",TRUE,"35011715","PMC8750279",NA,NA,TRUE
"Bayreuth U",2022,1297.1,"10.1080/23311975.2021.2016096",FALSE,"Informa UK Limited","Cogent Business & Management","2331-1975",NA,"2331-1975","2331-1975","http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
