Institution;Period;apc;currency;doi;is hybrid
University of Bern;11.06.2021;2093.69;EUR;https://doi.org/10.1161/JAHA.120.020368;false
University of Bern;15.07.2021;1610.12;EUR;https://doi.org/10.1186/s12711-021-00650-1;false
University of Bern;31.08.2021;1723.20;CHF;https://doi.org/10.3390/genes12071038;false
University of Bern;12.07.2021;3177.15;USD;10.3389/fmed.2021.699969;false
University of Bern;16.09.2021;1615.50;GBP;10.1136/bmjopen-2021-052341;false
University of Bern;19.10.2021;2143.23;EUR;doi: 10.1186/s12955-021-01817-6.;false
University of Bern;02.08.2021;1067.36;CHF;10.1128/MRA.00586-21;false
University of Bern;02.08.2021;2143.23;EUR;https://doi.org/10.1186/s12917-021-02937-3;false
University of Bern;02.08.2021;3177.15;USD;doi: 10.3389/fimmu.2020.02105;false
University of Bern;16.08.2021;3177.15;USD;10.3389/fchem.2021.721272;false
University of Bern;10.08.2021;1400.01;CHF;10.3390/min11070783;false
University of Bern;16.08.2021;1500;CHF;10.3389/fspor.2021.706467;false
University of Bern;23.08.2021;1895.52;CHF;10.3390/v13081474;false
University of Bern;16.09.2021;1883.68;USD;https://doi.org/10.1371/journal.pone.0255921;false
University of Bern;23.08.2021;2681.73;USD;10.3389/fcvm.2021.655226;false
University of Bern;31.08.2021;2466.33;EUR;https://doi.org/10.1186/s13049-021-00931-0;false
University of Bern;23.08.2021;1500;CHF;10.1186/s13049-021-00909-y ;false
University of Bern;02.09.2021;2143.23;EUR;https://doi.org/10.1186/s12903-021-01668-z;false
University of Bern;31.08.2021;1500;CHF;https://doi.org/10.1186/s13690-021-00670-9;false
University of Bern;16.08.2021;1820.13;EUR;https://doi.org/10.1038/s41598-021-95103-6;false
University of Bern;17.08.2021;1550.88;CHF;https://doi.org/10.3390/biology10070660;false
University of Bern;17.08.2021;1550.88;CHF;https://doi.org/10.3390/biology10070650;false
University of Bern;06.09.2021;484.65;GBP;https://doi.org/10.5334/johd.46;false
University of Bern;19.08.2021;3177.15;USD;https://doi.org/10.3389/feart.2021.670532;false
University of Bern;02.09.2021;3177.15;USD;10.3389/fvets.2021.702730;false
University of Bern;31.08.2021;1507.80;CHF;https://doi.org/10.3390/ani11072071;false
University of Bern;25.11.2021;483.94;CHF;https://doi.org/10.1038/s41598-021-92308-7;false
University of Bern;02.09.2021;2773.30;USD;https://doi.org/10.1371/journal. pgen.1009716;false
University of Bern;06.09.2021;1378.56;CHF;10.3390/insects12080751;false
University of Bern;14.09.2021;1981.68;CHF;https://doi.org/10.3390/ijerph18157908;false
University of Bern;07.09.2021;1723.20;CHF;doi.org/10.3390/ijms22179218;false
University of Bern;09.09.2021;1346.25;EUR;DOI: 10.3290/j.ohpd.b1453013;false
University of Bern;09.09.2021;3123.30;EUR;https://doi.org/10.1002/hbm.25648;false
University of Bern;20.09.2021;1459.34;GBP;https://doi.org/10.1186/s12919-021-00226-3;false
University of Bern;09.09.2021;2681.73;USD;https://doi.org/10.3389/fsurg.2021.740008;false
University of Bern;04.10.2021;3177.15;USD;DOI: 10.3389/fvets.2021.681559;false
University of Bern;27.09.2021;2326.32;EUR;10.1186/s13024-021-00482-z;false
University of Bern;08.11.2021;3696;EUR;10.5194/acp-2021-142;false
University of Bern;21.09.2021;858.35;CHF;https://doi.org/10.3389/fspor.2021.693700;false
University of Bern;13.12.2021;2681.75;USD;https://www.frontiersin.org/articles/10.3389/fcvm.2021.669205/full;false
University of Bern;07.10.2021;1820.30;EUR;10.1038/s41598-021-98406-w;false
University of Bern;20.12.2021;2681.73;USD;10.3389/fcvm.2021.743849;false
University of Bern;06.10.2021;1820.13;EUR;DOI:10.1038/s41598-021-95942-3;false
University of Bern;02.12.2021;2202.46;EUR;https://doi.org/10.1186/s13019-021-01655-z;false
University of Bern;19.10.2021;2530.95;USD;https://doi.org/10.1371/journal.pntd.0009688;false
