"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","agreement"
"Bielefeld U",2023,2750,"10.1007/s00526-023-02616-1",TRUE,"Springer Nature","Calculus of Variations and Partial Differential Equations","0944-2669","0944-2669","1432-0835","0944-2669","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s00526-023-02616-1",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s40993-023-00455-9",TRUE,"Springer Nature","Research in Number Theory","2522-0160","2522-0160","2363-9555","2363-9555","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s40993-023-00455-9",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s10212-023-00699-0",TRUE,"Springer Nature","European Journal of Psychology of Education","0256-2928","0256-2928","1878-5174","0256-2928","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s10212-023-00699-0",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s00028-023-00926-7",TRUE,"Springer Nature","Journal of Evolution Equations","1424-3199","1424-3199","1424-3202","1424-3199","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s00028-023-00926-7",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s00222-023-01234-0",TRUE,"Springer Nature","Inventiones mathematicae","0020-9910","0020-9910","1432-1297","0020-9910","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s00222-023-01234-0",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s00208-023-02703-w",TRUE,"Springer Nature","Mathematische Annalen","0025-5831","0025-5831","1432-1807","0025-5831","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s00208-023-02703-w",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s12220-022-01167-9",TRUE,"Springer Nature","The Journal of Geometric Analysis","1050-6926","1050-6926","1559-002X","1050-6926","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s12220-022-01167-9",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s11612-023-00699-0",TRUE,"Springer Nature","Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO)","2366-6145","2366-6145","2366-6218","2366-6218","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s11612-023-00699-0",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s35834-023-00401-w",TRUE,"Springer Nature","Zeitschrift für Bildungsforschung","2190-6890","2190-6890","2190-6904","2190-6890","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s35834-023-00401-w",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,917,"10.1007/s12399-023-00945-9",TRUE,"Springer Nature","Zeitschrift für Außen- und Sicherheitspolitik","1866-2188","1866-2188","1866-2196","1866-2188","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s12399-023-00945-9",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s12054-023-00627-y",TRUE,"Springer Nature","Sozial Extra","0931-279X","0931-279X","1863-8953","0931-279X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s12054-023-00627-y",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s10951-023-00789-3",TRUE,"Springer Nature","Journal of Scheduling","1094-6136","1094-6136","1099-1425","1094-6136","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s10951-023-00789-3",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s00396-023-05104-2",TRUE,"Springer Nature","Colloid and Polymer Science","0303-402X","0303-402X","1435-1536","0303-402X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s00396-023-05104-2",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s00396-023-05168-0",TRUE,"Springer Nature","Colloid and Polymer Science","0303-402X","0303-402X","1435-1536","0303-402X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s00396-023-05168-0",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,917,"10.1007/s00591-023-00345-2",TRUE,"Springer Nature","Mathematische Semesterberichte","0720-728X","0720-728X","1432-1815","0720-728X","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s00591-023-00345-2",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s40687-023-00398-8",TRUE,"Springer Nature","Research in the Mathematical Sciences","2522-0144","2522-0144","2197-9847","2197-9847","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s40687-023-00398-8",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s40211-023-00464-1",TRUE,"Springer Nature","neuropsychiatrie","0948-6259","0948-6259","2194-1327","0948-6259","https://creativecommons.org/licenses/by/4.0",TRUE,"37084073","PMC10703945",NA,"https://doi.org/10.1007/s40211-023-00464-1",FALSE,"DEAL Springer Nature Germany"
"Bielefeld U",2023,2750,"10.1007/s00454-023-00557-2",TRUE,"Springer Nature","Discrete & Computational Geometry","0179-5376","0179-5376","1432-0444","0179-5376","https://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://doi.org/10.1007/s00454-023-00557-2",FALSE,"DEAL Springer Nature Germany"
