"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Bielefeld U",2011,845,"10.1371/journal.pone.0021162",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"21738615","PMC3124483","ut:000292092600015","https://pub.uni-bielefeld.de/publication/2307232",TRUE
"Bielefeld U",2011,1310,"10.1186/1477-5956-9-30",FALSE,"Springer Science + Business Media","Proteome Science","1477-5956","1477-5956",NA,"1477-5956",NA,TRUE,"21663690","PMC3142201","ut:000293072900001","https://pub.uni-bielefeld.de/publication/2300063",TRUE
"Bielefeld U",2011,1028,"10.1186/1756-0381-4-2",FALSE,"Springer Science + Business Media","BioData Mining","1756-0381",NA,"1756-0381","1756-0381","http://creativecommons.org/licenses/by/2.0",TRUE,"21247420","PMC3035591","ut:000208761200002","https://pub.uni-bielefeld.de/publication/2300073",TRUE
"Bielefeld U",2011,1474,"10.1186/1471-2105-12-297",FALSE,"Springer Science + Business Media","BMC Bioinformatics","1471-2105",NA,"1471-2105","1471-2105","http://creativecommons.org/licenses/by/2.0",TRUE,"21777450","PMC3161928","ut:000294284300001","https://pub.uni-bielefeld.de/publication/2300082",TRUE
"Bielefeld U",2010,1393,"10.1186/1471-2180-10-321",FALSE,"Springer Science + Business Media","BMC Microbiology","1471-2180","1471-2180",NA,"1471-2180",NA,TRUE,"21159175","PMC3022706","ut:000286211100002","https://pub.uni-bielefeld.de/publication/1924666",TRUE
"Bielefeld U",2011,1816,"10.1167/11.7.9",FALSE,"Association for Research in Vision and Ophthalmology (ARVO)","Journal of Vision","1534-7362",NA,"1534-7362","1534-7362",NA,TRUE,"21665985",NA,"ut:000292382400009","https://pub.uni-bielefeld.de/publication/2033988",TRUE
"Bielefeld U",2011,1072,"10.1186/1471-2164-12-383",FALSE,"Springer Science + Business Media","BMC Genomics","1471-2164",NA,"1471-2164","1471-2164","http://creativecommons.org/licenses/by/2.0",TRUE,"21801446","PMC3164646","ut:000294425800001","https://pub.uni-bielefeld.de/publication/2354752",TRUE
"Bielefeld U",2011,954,"10.1371/journal.pone.0023283",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"21853104","PMC3154332","ut:000295454200064","https://pub.uni-bielefeld.de/publication/2397495",TRUE
"Bielefeld U",2011,1072,"10.1186/1471-2105-12-429",FALSE,"Springer Science + Business Media","BMC Bioinformatics","1471-2105","1471-2105",NA,"1471-2105",NA,TRUE,"22051375","PMC3293930","ut:000301379800001","https://pub.uni-bielefeld.de/publication/2410526",TRUE
"Bielefeld U",2011,884,"10.1890/es11-00095.1",FALSE,"Wiley-Blackwell","Ecosphere","2150-8925","2150-8925",NA,"2150-8925","http://doi.wiley.com/10.1002/tdm_license_1",TRUE,NA,NA,"ut:000208810800013","https://pub.uni-bielefeld.de/publication/2372260",TRUE
"Bielefeld U",2014,1240,"10.1186/2050-7283-2-14",FALSE,"Springer Science + Business Media","BMC Psychology","2050-7283",NA,"2050-7283","2050-7283","http://www.springer.com/tdm",TRUE,NA,NA,NA,"https://pub.uni-bielefeld.de/publication/2685103",TRUE
