"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Bielefeld U",2016,1407,"10.1371/journal.pone.0165882",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"27973539","PMC5156427",NA,NA,TRUE
"Bielefeld U",2016,1396,"10.1186/s12864-016-2566-9",FALSE,"Springer Nature","BMC Genomics","1471-2164",NA,"1471-2164","1471-2164",NA,TRUE,"26980001","PMC4791833","ut:000372090800007",NA,TRUE
"Bielefeld U",2016,1456.56,"10.1002/ece3.2305",FALSE,"Wiley-Blackwell","Ecology and Evolution","2045-7758",NA,NA,"2045-7758","http://doi.wiley.com/10.1002/tdm_license_1",TRUE,"27547349","PMC4983586","ut:000381578400013",NA,TRUE
"Bielefeld U",2016,1653,"10.3389/fpls.2016.01465",FALSE,"Frontiers Media SA","Frontiers in Plant Science","1664-462X",NA,"1664-462X","1664-462X",NA,TRUE,NA,NA,NA,NA,TRUE
"Bielefeld U",2016,1396,"10.1186/s12889-016-3810-6",FALSE,"Springer Nature","BMC Public Health","1471-2458",NA,"1471-2458","1471-2458",NA,TRUE,NA,NA,"ut:000387602900007",NA,TRUE
"Bielefeld U",2016,1386.85,"10.1038/srep38952",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322",NA,TRUE,"27958335","PMC5154183","ut:000389627400002",NA,TRUE
"Bielefeld U",2016,1396,"10.1186/s12859-016-1397-7",FALSE,"Springer Nature","BMC Bioinformatics","1471-2105",NA,"1471-2105","1471-2105",NA,TRUE,"27998267","PMC5168860","ut:000390908800002",NA,TRUE
"Bielefeld U",2016,1048,"10.3389/fpsyg.2016.01996",FALSE,"Frontiers Media SA","Frontiers in Psychology","1664-1078",NA,"1664-1078","1664-1078",NA,TRUE,"28066310","PMC5177652","ut:000390133200001",NA,TRUE
"Bielefeld U",2016,1435,"10.1371/journal.pone.0167674",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"27977719","PMC5157975","ut:000391217400026",NA,TRUE
"Bielefeld U",2016,238,"10.15203/CISS_2016.107",FALSE,"innsbruck university press","Current Issues in Sport Science","2414-6641",NA,NA,NA,NA,FALSE,NA,NA,NA,"https://webapp.uibk.ac.at/ojs2/index.php/ciss/article/view/423/404",FALSE
"Bielefeld U",2016,1323.3,"10.1371/journal.pone.0146848",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203","1932-6203","http://creativecommons.org/licenses/by/4.0/",TRUE,"26812487","PMC4727887","ut:000369528000015",NA,TRUE
