institution;period;euro;doi;is_hybrid;opt_out
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1.273,30;10.1002/hsr2.159;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1570,8;10.1111/cas.14319;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1370,88;10.1002/open.202000171;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1370,88;10.1002/open.202000096;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1165,01;10.1002/ece3.6365;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1370,88;10.1002/open.202000110;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1856;10.1111/jfr3.12664;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1336,32;10.1002/ece3.6759;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1531,2;10.1111/cas.14635;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1.241,20;10.1002/hsr2.236;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;2.032,32;10.1002/acn3.51263;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;3.572,80;10.15252/emmm.202012724;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;2.041,60;10.1111/mcn.13123;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;2.041,60;10.1002/epi4.12459;FALSE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;735,44;10.1002/ccr3.3779;FALSE;FALSE
