institution;period;euro;doi;is_hybrid;opt_out
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s13167-020-00206-1;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s11192-020-03758-1;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s10822-020-00315-z;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00190-020-01460-x;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00723-020-01214-0;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1140/epja/s10050-020-00093-0;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s10468-020-10006-w;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s41245-020-00117-z;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00526-020-1706-x;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00453-020-00694-7;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00041-020-09768-0;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s42520-020-00223-4;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s10533-020-00700-8;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s42977-020-00031-7;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00029-020-0540-5;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00792-020-01188-8;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00401-020-02169-z;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s11368-019-02551-9;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s10341-020-00474-1;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s10584-020-02691-9;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00784-020-03533-9;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s10341-020-00514-w;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00190-020-01348-w;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s11127-020-00860-z;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00435-020-00509-x;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s10546-020-00501-4;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s11081-020-09547-2;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00784-020-03244-1;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s13593-020-00624-5;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s10822-020-00349-3;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00709-020-01544-7;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s12311-020-01111-z;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s13167-020-00216-z;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s10618-020-00682-z;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00039-020-00554-0;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s11258-020-01107-z;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s41207-020-0146-5;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s12571-020-01095-y;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00265-020-02910-4;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00381-020-04655-x;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00280-020-04128-7;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s11077-020-09385-0;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00355-020-01291-x;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s00190-020-01368-6;TRUE;FALSE
Rheinische Friedrich-Wilhelms-Universität Bonn;2020;1223;10.1007/s13167-020-00217-y;TRUE;FALSE
