"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"Bonn U",2021,1924.24,"10.3390/ijms22010375",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067","1422-0067","https://creativecommons.org/licenses/by/4.0/",TRUE,"33396484","PMC7795371","ut:000606079600001",NA,TRUE
"Bonn U",2021,1453.58,"10.3389/fcell.2021.648313",FALSE,"Frontiers Media SA","Frontiers in Cell and Developmental Biology","2296-634X",NA,"2296-634X","2296-634X","https://creativecommons.org/licenses/by/4.0/",TRUE,"33708774","PMC7940384","ut:000626482300001",NA,TRUE
"Bonn U",2021,1241.2,"10.1002/hsr2.236",FALSE,"Wiley-Blackwell","Health Science Reports","2398-8835","2398-8835","2398-8835","2398-8835","http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"33532599","PMC7837675","ut:000672475300019",NA,TRUE
"Bonn U",2021,735.44,"10.1002/ccr3.3779",FALSE,"Wiley-Blackwell","Clinical Case Reports","2050-0904","2050-0904","2050-0904","2050-0904","http://creativecommons.org/licenses/by/4.0/",TRUE,"33768852","PMC7981625","ut:000614567600001",NA,TRUE
"Bonn U",2021,1730.14,"10.1038/s41598-020-73054-8",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33004857","PMC7530673","ut:000577143400085",NA,TRUE
"Bonn U",2021,1730.14,"10.1038/s41598-020-78899-7",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33318564","PMC7736584","ut:000600105700020",NA,TRUE
"Bonn U",2021,1730.14,"10.1038/s41598-020-75258-4",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33139776","PMC7608557","ut:000589618700029",NA,TRUE
"Bonn U",2021,1730.14,"10.1038/s41598-020-79495-5",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"33372188","PMC7769972","ut:000603610400007",NA,TRUE
"Bonn U",2021,1730.14,"10.1038/s41598-020-71084-w",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322","2045-2322","https://creativecommons.org/licenses/by/4.0",TRUE,"32873854","PMC7463265","ut:000571222300039",NA,TRUE
"Bonn U",2021,1735.36,"10.1186/s12879-020-05429-1",FALSE,"Springer Nature","BMC Infectious Diseases","1471-2334",NA,"1471-2334","1471-2334","https://creativecommons.org/licenses/by/4.0",TRUE,"32993515","PMC7526136","ut:000576933500006",NA,TRUE
