Institution;Period;EUR;DOI;IS HYBRID
Free University of Bozen-Bolzano;2024;1415,20;10.1080/21693277.2024.2326526;FALSCH
Free University of Bozen-Bolzano;2024;1970,30;10.1080/13873954.2024.2350244;FALSCH
Free University of Bozen-Bolzano;2024;1970,30;10.1080/21693277.2024.2378199;FALSCH
Free University of Bozen-Bolzano;2024;2574,20;10.1080/19397038.2024.2432959;FALSCH
Free University of Bozen-Bolzano;2025;2574,20;10.1080/21693277.2025.2507954;FALSCH
Free University of Bozen-Bolzano;2025;1576,24;10.1080/1828051X.2025.2566719;FALSCH
Free University of Bozen-Bolzano;2025;1970,30;10.1080/1828051X.2025.2570055;FALSCH
Free University of Bozen-Bolzano;2024;864,67;10.3168/jdsc.2023-0448;FALSCH
Free University of Bozen-Bolzano;2025;2044,60;10.1186/s40360-025-00948-6;FALSCH
Free University of Bozen-Bolzano;2025;1209,26;10.15586/ijfs.v37i3.2994;FALSCH
Free University of Bozen-Bolzano;2024;1928,82;10.5194/hess-28-1981-2024;FALSCH
Free University of Bozen-Bolzano;2024;2440,00;10.1515/eujal-2022-0057;FALSCH
Free University of Bozen-Bolzano;2024;1220,00;10.1515/opag-2022-0281;FALSCH
Free University of Bozen-Bolzano;2024;2265,15;10.1128/spectrum.03524-23;FALSCH
Free University of Bozen-Bolzano;2024;657,12;10.1017/dsj.2024.12;FALSCH
Free University of Bozen-Bolzano;2024;1220,00;10.1515/eng-2024-0098;FALSCH
Free University of Bozen-Bolzano;2025;2049,60;10.1098/rsos.250010;FALSCH
Free University of Bozen-Bolzano;2024;492,45;10.1508/cytologia.90.51;WAHR
Free University of Bozen-Bolzano;2025;2061,80;10.1127/entomologia/3309;FALSCH
Free University of Bozen-Bolzano;2024;1778,94;10.3168/jds.2023-24347;FALSCH
Free University of Bozen-Bolzano;2024;1783,64;10.1016/j.jafr.2024.101298;FALSCH
Free University of Bozen-Bolzano;2024;1061,40;10.1016/j.softx.2024.101837;FALSCH
Free University of Bozen-Bolzano;2024;2685,83;10.1016/j.dibe.2024.100489;FALSCH
Free University of Bozen-Bolzano;2024;1700,68;10.1016/j.jik.2024.100531;FALSCH
Free University of Bozen-Bolzano;2024;2074,00;10.1016/j.fochx.2024.101824;FALSCH
Free University of Bozen-Bolzano;2024;1281,00;10.1016/j.afres.2024.100513;FALSCH
Free University of Bozen-Bolzano;2024;2364,36;10.1016/j.crfs.2024.100833;FALSCH
Free University of Bozen-Bolzano;2024;1420,69;10.1016/j.icte.2024.09.018;FALSCH
Free University of Bozen-Bolzano;2024;1077,44;10.1016/j.animal.2024.101351;FALSCH
Free University of Bozen-Bolzano;2024;1778,94;10.3168/jds.2024-25438;FALSCH
Free University of Bozen-Bolzano;2024;1427,40;10.1016/j.afres.2024.100540;FALSCH
Free University of Bozen-Bolzano;2024;1281,00;10.1016/j.afres.2024.100538;FALSCH
Free University of Bozen-Bolzano;2024;1503,65;10.1016/j.rineng.2024.103101;FALSCH
Free University of Bozen-Bolzano;2025;841,80;10.1016/j.annale.2024.100156;FALSCH
Free University of Bozen-Bolzano;2024;1731,79;10.1016/j.fufo.2024.100498;FALSCH
Free University of Bozen-Bolzano;2024;2582,13;10.1016/j.ecmx.2024.100789;FALSCH
Free University of Bozen-Bolzano;2025;2779,16;10.1016/j.yjsbx.2024.100119;FALSCH
Free University of Bozen-Bolzano;2025;2976,80;10.1016/j.lwt.2024.117316;FALSCH
Free University of Bozen-Bolzano;2025;1528,66;10.1016/j.stress.2025.100771;FALSCH
Free University of Bozen-Bolzano;2025;1830,00;10.1016/j.rineng.2025.104418;FALSCH
Free University of Bozen-Bolzano;2025;2086,20;10.1016/j.fufo.2025.100580;FALSCH
Free University of Bozen-Bolzano;2025;2989,00;10.1016/j.matdes.2025.113725;FALSCH
Free University of Bozen-Bolzano;2025;2989,00;10.1016/j.lwt.2025.117644;FALSCH
