institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
Bremen U	2021	1649,34	10.5194/bg-17-6527-2020	false						
Bremen U	2021	1975,11	10.3390/ma14010105 	false						
Bremen U	2021	1177,77	10.7717/peerj.10931	false						
Bremen U	2021	1177,77	10.7717/peerj.10696	false						
Bremen U	2021	2746,41	10.3389/fpsyg.2020.590497	false						
Bremen U	2021	1722,33	10.3389/feart.2020.592986	false						
Bremen U	2021	2746,41	10.3389/fonc.2020.610843	false						
Bremen U	2021	884,44	10.3389/feduc.2020.592870	false						
Bremen U	2021	1988,86	10.3390/ma14030525	false						
Bremen U	2021	4294,72	10.3390/su13010078 	false						
Bremen U	2021	1059,10	10.1016/j.hpopen.2021.100035	false						
Bremen U	2021	2534,94	10.3390/ijerph18041497 	false						
Bremen U	2021	1770,72	10.5194/cp-17-345-2021	false						
Bremen U	2021	1992,06	10.5194/tc-15-247-2021	false						
Bremen U	2021	2324,07	10.5194/amt-14-369-2021	false						
Bremen U	2021	1832,60	10.5194/amt-14-153-2021	false						
Bremen U	2021	1558,90	10.1016/j.cesx.2021.100088	false						
Bremen U	2021	2209,23	10.3390/s21030937	false						
Bremen U	2021	2014,65	10.1016/j.esr.2021.100626	false						
Bremen U	2021	1018,42	10.1039/d0ra09834e	false						
Bremen U	2021	1315,39	10.1371/journal.pone.0245953	false						
Bremen U	2021	943,71	10.3390/jmmp5010018 	false						
Bremen U	2021	1976,54	10.1364/AO.416028	false						
Bremen U	2021	1072,28	10.3389/fcomp.2021.605772	false						
Bremen U	2021	2753,56	10.3389/fmicb.2021.611704	false						
Bremen U	2021	2753,56	10.3389/fmicb.2021.611798	false						
Bremen U	2021	2753,56	10.3389/feart.2021.595755	false						
Bremen U	2021	1883,64	10.3390/su13042372 	false						
Bremen U	2021	2181,06	10.3390/s21041530 	false						
Bremen U	2021	1579,22	10.3390/jimaging7030044 	false						
Bremen U	2021	2290,75	10.5194/amt-14-1267-2021	false						
Bremen U	2021	1949,76	10.3390/app11052323	false						
Bremen U	2021	974,88	10.3390/computers10030034	false						
Bremen U	2021	1945,12	10.1371/journal.pntd.0009122	false						
Bremen U	2021	1934,94	10.3390/met11030465	false						
Bremen U	2021	1742,09	10.3390/d13030123	false						
Bremen U	2021	1039,58	10.1039/D1RA01331A	false						
Bremen U	2021	4491,69	10.1126/sciadv.abe4939	false						
Bremen U	2021	1930,78	 10.3390/pr9030566	false						
Bremen U	2021	2484,67	10.3389/fmars.2021.543075	false						
Bremen U	2021	2124,62	10.3390/s21072486 	false						
Bremen U	2021	1881,39	10.5194/cp-17-703-2021	false						
Bremen U	2021	2102,73	10.5194/bg-18-1873-2021	false						
Bremen U	2021	2877,42	10.5194/amt-14-2141-2021	false						
Bremen U	2021	1363,13	10.3390/data6030034	false						
Bremen U	2021	1229,87	10.1017/njg.2021.6	false						
Bremen U	2021	2146,09	10.3390/ma14082022 	false						
Bremen U	2021	2782,90	10.3389/fmicb.2021.617280	false						
Bremen U	2021	2782,90	10.3389/fmicb.2021.640469	false						
Bremen U	2021	896,06	10.3389/frvir.2021.640470	false						
Bremen U	2021	1352,04	10.3390/geriatrics6020051	false						
Bremen U	2021	3641,40	10.1016/j.envint.2021.106602	false						
Bremen U	2021	1405,18	10.1371/journal.pone.0249966	false						
Bremen U	2021	1834,90	10.3390/su13095101	false						
Bremen U	2021	1215,05	10.1177/20539517211017593	false						
Bremen U	2021	1073,04	10.3390/ma14092395	false						
Bremen U	2021	2221,20	10.3390/ijerph18073807 	false						
Bremen U	2021	2146,09	10.3390/ma14092386	false						
Bremen U	2021	1557,71	10.5194/bg-18-2609-2021	false						
Bremen U	2021	1832,60	10.5194/cp-17-805-2021	false						
Bremen U	2021	1394,96	10.3390/insects12050424	false						
Bremen U	2021	1738,33	10.3390/mi12050526	false						
Bremen U	2021	1973,95	10.1364/OE.424337	false						
Bremen U	2021	1545,18	10.3390/jimaging7040071	false						
Bremen U	2021	2741,09	10.3389/fmars.2021.617927	false						
Bremen U	2021	1285,20	10.1098/rsos.201835	false						
Bremen U	2021	1649,34	10.5194/acp-21-7579-2021	false						
Bremen U	2021	1765,54	10.1017/jog.2021.63	false						
Bremen U	2021	1352,04	10.3390/info12060226	false						
Bremen U	2021	1389,50	10.1371/journal.pone.0252615	false						
Bremen U	2021	2146,09	10.3390/en14113255	false						
Bremen U	2021	1011,50	10.1556/2006.2021.00034	false						
Bremen U	2021	1502,26	10.3390/jmmp5020055	false						
Bremen U	2021	1716,87	10.3390/cryst11060641	false						
Bremen U	2021	3023,79	10.5194/amt-14-3837-2021	false						
Bremen U	2021	1390,30	10.1371/journal.pone.0252147	false						
Bremen U	2021	1229,41	10.1177/20539517211025561	false						
Bremen U	2021	1000,63	10.1155/2021/5534641	false						
Bremen U	2021	1931,47	10.3390/ma14113081	false						
Bremen U	2021	2738,42	10.3389/fnins.2021.664490	false						
Bremen U	2021	2738,42	10.3389/fmicb.2021.660474	false						
Bremen U	2021	858,66	10.3389/frvir.2021.684677	false						
Bremen U	2021	2146,09	10.3390/app11125471	false						
Bremen U	2021	2380,00	10.1038/s41467-021-24250-1	false						
Bremen U	2021	1738,33	10.3390/d13060265	false						
Bremen U	2021	2124,62	10.3390/polym13121955	false						
Bremen U	2021	2092,43	10.3390/s21124164	false						
Bremen U	2021	856,80	10.17645/si.v9i2.3785	false						
Bremen U	2021	486,38	10.5334/jors.334	false						
Bremen U	2021	2950,13	10.3389/fendo.2021.697120	false						
Bremen U	2021	1931,47	10.3390/molecules26133916	false						
Bremen U	2021	50,00	10.2312/egp.20211033	false						
Bremen U	2021	1931,47	10.3390/ma14133699	false						
Bremen U	2021	1195,75	10.7717/peerj.11663	false						
Bremen U	2021	1466,08	10.5194/tc-15-2873-2021	false						
Bremen U	2021	2434,74	10.5194/tc-15-2781-2021	false						
Bremen U	2021	2656,08	10.5194/tc-15-2757-2021	false						
Bremen U	2021	1649,34	10.5194/hess-25-3227-2021	false						
Bremen U	2021	2877,42	10.5194/gmd-14-3159-2021	false						
Bremen U	2021	1738,33	10.3390/met11071107	false						
Bremen U	2021	1352,04	10.3390/educsci11080372	false						
Bremen U	2021	1785,00	10.52082/jssm.2021.642	false						
Bremen U	2021	2754,57	10.3389/feart.2021.673063	false						
Bremen U	2021	2829,02	10.3389/fmars.2021.625395	false						
Bremen U	2021	911,05	10.3389/frma.2021.615357	false						
Bremen U	2021	2387,88	10.3389/fpubh.2021.668998	false						
Bremen U	2021	2754,57	10.3389/feart.2021.683177	false						
Bremen U	2021	2974,37	10.3389/fphar.2021.706682	false						
Bremen U	2021	1394,96	10.3390/ma11081333	false						
Bremen U	2021	1190,00	10.1515/geo-2020-0275	false						
Bremen U	2021	1882,78	10.3390/ma14154074	false						
Bremen U	2021	1882,78	10.3390/app11156775	false						
Bremen U	2021	1352,04	10.3390/met11081173	false						
Bremen U	2021	2124,62	10.3390/s21155069	false						
Bremen U	2021	1931,47	10.3390/pr9081348	false						
Bremen U	2021	2107,49	10.5194/tc-15-3135-2021	false						
Bremen U	2021	5355,00	10.1016/j.celrep.2021.109490	false						
Bremen U	2021	5355,00	10.1016/j.xcrm.2021.100371	false						
Bremen U	2021	1931,47	10.3390/en14133778	false						
Bremen U	2021	2765,51	10.3389/fmars.2021.689977	false						
Bremen U	2021	2765,51	10.3389/fnbeh.2021.715030	false						
Bremen U	2021	2998,59	10.3389/fmars.2021.721626	false						
Bremen U	2021	200,00	10.2139/ssrn.3858350	false						
Bremen U	2021	139,82	10.5334/johd.35	false						
Bremen U	2021	152,61	10.21425/F5FBG50879	false						
Bremen U	2021	3213,00	10.1016/j.socscimed.2021.114261	false						
Bremen U	2021	3189,20	10.1038/s42003-021-02578-0	false						
Bremen U	2021	856,80	10.1016/j.trip.2021.100445	false						
Bremen U	2021	1073,04	10.3390/microorganisms9091888	false						
Bremen U	2021	1557,71	10.5194/amt-14-5791-2021	false						
Bremen U	2021	1740,97	10.5194/amt-14-5771-2021	false						
Bremen U	2021	1352,04	10.3390/jmmp5030098	false						
Bremen U	2021	2042,29	10.1371/journal.pntd.0009323	false						
Bremen U	2021	1434,64	10.1371/journal.pone.0257048	false						
Bremen U	2021	2292,74	10.3389/fnmol.2021.721749	false						
Bremen U	2021	1080,18	10.3390/app11188700	false						
Bremen U	2021	2146,09	10.3390/app11188442	false						
Bremen U	2021	1545,18	10.3390/jimaging7100194	false						
Bremen U	2021	1071,00	10.17645/si.v9i3.4327	false						
Bremen U	2021	2382,38	10.5194/amt-14-6057-2021	false						
Bremen U	2021	2801,29	10.3389/fpls.2021.709257	false						
Bremen U	2021	2877,01	10.3389/fmars.2021.663304	false						
Bremen U	2021	2801,29	10.3389/feart.2021.689931	false						
Bremen U	2021	2801,29	10.3389/fmars.2021.695821	false						
Bremen U	2021	2801,29	10.3389/fnbeh.2021.713311	false						
Bremen U	2021	2877,01	10.3389/fpsyg.2021.629115	false						
Bremen U	2021	902,12	10.3389/fsoc.2021.734985	false						
Bremen U	2021	2801,29	10.3389/fmars.2021.727199	false						
Bremen U	2021	428,29	10.3389/fcomp.2021.759136	false						
Bremen U	2021	2124,62	10.3390/s21206825	false						
Bremen U	2021	1502,26	10.3390/app11209574	false						
Bremen U	2021	1931,47	10.3390/app11209545	false						
Bremen U	2021	1745,12	10.1364/OE.434510	false						
Bremen U	2021	1931,47	10.3390/met11101651	false						
Bremen U	2021	1738,33	10.3390/mi12111279	false						
Bremen U	2021	856,80	10.17645/mac.v9i4.4227	false						
Bremen U	2021	856,80	10.17645/mac.v9i4.4217	false						
Bremen U	2021	1931,47	10.3390/en14216963	false						
Bremen U	2021	922,84	10.1145/3460210.3493585	false						
Bremen U	2021	2653,70	10.1016/j.matdes.2021.110186	false						
Bremen U	2021	1545,18	10.3390/plants10091836	false						
Bremen U	2021	2324,07	10.5194/bg-18-5789-2021	false						
Bremen U	2021	366,52	10.5194/esd-12-1057-2021	false						
Bremen U	2021	2988,09	10.5194/cp-17-2091-2021	false						
Bremen U	2021	1924,23	10.5194/acp-21-14871-2021	false						
Bremen U	2021	2221,20	10.3390/ijerph182212118	false						
Bremen U	2021	2159,16	10.1371/journal.pcbi.1009595	false						
Bremen U	2021	2831,36	10.3389/feart.2021.711910	false						
Bremen U	2021	2831,36	10.3389/fmars.2021.760535	false						
Bremen U	2021	2583,78	10.2196/26522	false						
Bremen U	2021	1063,96	10.1039/D1RA06010D	false						
Bremen U	2021	1553,58	10.1371/journal.pone.0260516	false						
Bremen U	2021	2124,62	10.3390/s21237841	false						
Bremen U	2021	1375,19	10.7717/peerj.12589	false						
Bremen U	2021	1931,47	10.3390/app112411615	false						
Bremen U	2021	1047,17	10.1039/D1RA05688C	false						
Bremen U	2021	2124,62	10.3390/s21248205	false						
Bremen U	2021	858,44	10.3390/math9243244	false						
Bremen U	2021	925,77	10.3389/feduc.2021.700760	false						
Bremen U	2021	1802,81	10.3389/fneur.2021.791366	false						
Bremen U	2021	2146,09	10.3390/ma14247766	false						
Bremen U	2021	1692,18	10.33265/polar.v40.5702	false						
Bremen U	2021	1352,04	10.3390/inorganics9110082	false						
Bremen U	2021	1738,33	10.3390/d14010021 	false						
Bremen U	2021	1738,33	10.3390/met12010006	false						
Bremen U	2021	3096,10	10.3389/fmats.2021.807004	false						
Bremen U	2021	1834,90	10.3390/su14010324 	false						
Bremen U	2021	788,38	10.1080/09669760.2021.1933918	true						
Bremen U	2021	895,48	10.1080/14616742.2021.1899840	true						
Bremen U	2021	758,63	10.1080/1523908X.2021.1888701	true						
Bremen U	2021	788,38	10.1080/13600826.2021.1924632	true						
Bremen U	2021	742,27	10.1080/23748834.2020.1870845	true						
Bremen U	2021	788,38	10.1080/23748834.2021.1876391	true						
Bremen U	2021	742,27	10.1080/14788810.2020.1870399	true						
Bremen U	2021	788,38	10.1080/13669877.2021.1881992	true						
Bremen U	2021	736,32	10.1080/17597536.2021.1996088	true						
