"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn";"issn_print";"issn_electronic";"issn_l";"license_ref";"indexed_in_crossref";"pmid";"pmcid";"ut";"url";"doaj"
"University of Debrecen";2021;1069.14;"10.3390/en14010022";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1496.26;"10.3390/polym13020275";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1163.76;"10.3390/jpm11010052";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1847.23;"10.3390/ijms22020864";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1496.26;"10.3390/app11020815";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1667.75;"10.3390/pathogens10070883";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1108.34;"10.3390/biomedicines9020096";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1169.92;"10.3390/ph14020083";"false";;;;;;;;;;;;;
"University of Debrecen";2021;974.93;"10.3390/su13031260";"false";;;;;;;;;;;;;
"University of Debrecen";2021;273;"10.1080/1828051X.2021.1877575";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1253.48;"10.3390/pathogens10020104";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1671.31;"10.3390/molecules26030599";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1163.76;"10.3390/insects12010078";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1922.01;"10.3390/ijerph18031065";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1569.75;"10.4103/1673-5374.320988";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1477.79;"10.3390/ijms22020975";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1670.84;"10.3390/s21030969";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1169.59;"10.3390/diagnostics11020212";"false";;;;;;;;;;;;;
"University of Debrecen";2021;2275;"10.3389/pore.2021.581395";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1670.84;"10.3390/nu13020455";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1542.45;"10.1371/journal.pone.0246062";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1253.13;"10.3390/toxins13020104";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1503.76;"10.3390/antibiotics10020127";"false";;;;;;;;;;;;;
"University of Debrecen";2021;720;"10.1177/2058460121992455";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1485.2;"10.3390/ijms22031459";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1333.58;"10.3390/life11020127";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1683.5;"10.3389/fncel.2021.614947";"false";;;;;;;;;;;;;
"University of Debrecen";2021;250;"10.15159/ar.21.011";"false";;;;;;;;;;;;;
"University of Debrecen";2021;819;"10.1155/2021/6682573";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1666.97;"10.3390/ijms22041629";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1917.02;"10.3390/ijerph18041455";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1411.2;"10.3390/foods10020363";"false";;;;;;;;;;;;;
"University of Debrecen";2021;556.95;"10.3390/economies9010020";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1478.06;"10.3390/polym13040588";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1662.82;"10.3390/ijms22041864";"false";;;;;;;;;;;;;
"University of Debrecen";2021;2684.5;"10.3389/fimmu.2021.630569";"false";;;;;;;;;;;;;
"University of Debrecen";2021;2684.5;"10.3389/fcell.2021.635659";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1496.54;"10.3390/biology10020155";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1478.06;"10.3390/app11041735";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1666.2;"10.3390/vaccines9020174";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1666.2;"10.3390/biom11020326";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1666.2;"10.3390/ijms22052297";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1999.45;"10.3390/nu13030721";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1916.13;"10.3390/ijerph18052206";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1290.2;"10.3390/proceedings2090531";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1425.53;"10.3390/rs13050857";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1658.83;"10.3390/molecules26051253";"false";;;;;;;;;;;;;
"University of Debrecen";2021;2684.5;"10.3389/fneur.2021.615177";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1474.6;"10.3390/ani11030693";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1310.76;"10.3390/life11030202";"false";;;;;;;;;;;;;
"University of Debrecen";2021;2184;"10.1155/2021/6642973";"false";;;;;;;;;;;;;
"University of Debrecen";2021;"1474.52";"10.3390/ijms22052516";"false";;;;;;;;;;;;;
"University of Debrecen";2021;2684.5;"10.3389/fphar.2021.650207";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1556.53;"10.3390/su13052817";"false";;;;;;;;;;;;;
"University of Debrecen";2021;2684.5;"10.3389/fneur.2021.613441";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1556.53;"10.3390/su13052999";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1579.68;"10.3390/su13052662";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1699.425;"10.3389/fpubh.2021.645043";"false";;;;;;;;;;;;;
"University of Debrecen";2021;2684.5;"10.3389/fimmu.2021.639975";"false";;;;;;;;;;;;;
"University of Debrecen";2021;1581.42;"10.3390/toxins13030204";"false";;;;;;;;;;;;;
"University of Debrecen";2021;2275;"10.3389/pore.2021.613071";"false";;;;;;;;;;;;;
