institution;period;euro;doi;url;is_hybrid;publisher;journal_full_title;issn.1;issn.2;Date
Duisburg Essen U;2018;1471;10.1371/journal.pone.0191482;;false;PLoS;PLoS ONE;1932-6203;;Jan 18
Duisburg Essen U;2018;1623;10.1186/s40798-018-0123-6;;false;Springer Open;Sports medicine open;2198-9761;;Feb 18
Duisburg Essen U;2018;1496;10.1371/journal.pone.0193000;;false;PLoS;PLoS ONE;1932-6203;;Feb 18
Duisburg Essen U;2018;1461;10.1371/journal.pone.0190263;;false;PLoS;PLoS ONE;1932-6203;;Feb 18
Duisburg Essen U;2018;1341;10.1063/1.5018851;;false;AIP;AIP Advances ;2158-3226;;Feb 18
Duisburg Essen U;2018;1630;10.1038/s41598-018-20903-2;;false;Springer Nature;Scientific reports;2045-2322;;Feb 18
Duisburg Essen U;2018;1866;10.3389/fpsyg.2018.00311;;false;Frontiers;Frontiers in Psychology ;1664-1078;;Mrz 18
Duisburg Essen U;2018;1630;10.1038/s41598-018-22705-y;;false;Springer Nature;Scientific reports;2045-2322;;Mrz 18
Duisburg Essen U;2018;1872;10.3389/fpsyg.2018.00253 ;;false;Frontiers;Frontiers in Psychology ;1664-1078;;Mrz 18
Duisburg Essen U;2018;1673;10.3390/ijms19030718;;false;MDPI;International Journal of Molecular Sciences;1422-0067;;Mrz 18
Duisburg Essen U;2018;1593;10.3389/fneur.2018.00175;;false;Frontiers;Frontiers in Neurology;1664-2295;;Mrz 18
Duisburg Essen U;2018;1142;10.3389/fimmu.2018.00584;;false;Frontiers;Frontiers in Immunology;1664-3224;;Mrz 18
Duisburg Essen U;2018;1875;10.3389/fmicb.2018.00740 ;;false;Frontiers;Frontiers in Microbiology;1664-302X;;Apr 18
Duisburg Essen U;2018;1886;10.3389/fmicb.2018.00806 ;;false;Frontiers;Frontiers in Microbiology;1664-302X;;Apr 18
Duisburg Essen U;2018;371;10.1093/ehjcr/yty039;;false;Oxford;European Heart Journal - Case Reports;2514-2119;;Apr 18
Duisburg Essen U;2018;1490;10.1371/journal.pone.0196180;;false;PLoS;PLoS ONE;1932-6203;;Apr 18
Duisburg Essen U;2018;1404;10.1088/1367-2630/aab530;;false;IOP;New Journal of Physics;1367-2630 ;;Apr 18
Duisburg Essen U;2018;700;;http://zeitschrift-suburban.de/sys/index.php/suburban/article/view/332;false;sub\urban e.V.;sub\urban. Zeitschrift für Kritische Stadtforschung (suburban) ;2197-2567;;Mai 18
Duisburg Essen U;2018;1893;10.3389/fimmu.2018.00917;;false;Frontiers;Frontiers in Immunology;1664-3224;;Mai 18
Duisburg Essen U;2018;1519;10.3390/polym10060567;;false;MDPI;Polymers ;2073-4360;;Mai 18
Duisburg Essen U;2018;537;10.3390/nu10050582;;false;MDPI;Nutrients ;2072-6643;;Mai 18
Duisburg Essen U;2018;1961;10.1155/2018/9037979;;false;Hindawi;BioMed Research International;1110-7251;2314-6141;Mai 18
