institution;period;euro;doi;is_hybrid;publisher;journal_full_title;issn;url
University of Eastern Finland;2021;1327,07;10.3390/antiox10010067;FALSE;;;;
University of Eastern Finland;2021;829,88;10.3390/su13010279;FALSE;;;;
University of Eastern Finland;2021;1499,72;10.3390/su13020517;FALSE;;;;
University of Eastern Finland;2021;772,61;10.3389/fsoc.2021.601726;FALSE;;;;
University of Eastern Finland;2021;1690;10.1038/s41538-020-00081-0;FALSE;;;;
University of Eastern Finland;2021;1570;10.1038/s41598-020-80127-1;FALSE;;;;
University of Eastern Finland;2021;2404,04;10.3389/fcell.2020.623771;FALSE;;;;
University of Eastern Finland;2021;2040;10.1186/s12913-021-06059-2;FALSE;;;;
University of Eastern Finland;2021;1425;10.1186/s40658-021-00355-w;FALSE;;;;
University of Eastern Finland;2021;601,74;10.3390/nano11010170;FALSE;;;;
University of Eastern Finland;2021;554,17;10.3390/en14020453;FALSE;;;;
University of Eastern Finland;2021;3200;10.1093/nar/gkab032;FALSE;;;;
University of Eastern Finland;2021;2433,19;10.3389/fcell.2021.623809;FALSE;;;;
University of Eastern Finland;2021;1496,26;10.3390/su13031118;FALSE;;;;
University of Eastern Finland;2021;1900;10.1016/j.matdes.2020.108886;FALSE;;;;
University of Eastern Finland;2021;2890;10.1016/j.neuroimage.2021.117734;FALSE;;;;
University of Eastern Finland;2021;1062;10.1080/23322039.2020.1821997;FALSE;;;;
University of Eastern Finland;2021;1630;10.1088/1367-2630/abd9e5;FALSE;;;;
University of Eastern Finland;2021;1690;10.1038/s41598-021-82724-0;FALSE;;;;
University of Eastern Finland;2021;1337,05;10.3390/foods10020261;FALSE;;;;
University of Eastern Finland;2021;1670,84;10.3390/ijms22041512;FALSE;;;;
University of Eastern Finland;2021;610;10.1016/j.dib.2021.106747;FALSE;;;;
University of Eastern Finland;2021;1666,97;10.3390/ijms22041563;FALSE;;;;
University of Eastern Finland;2021;2680;10.1038/s42003-021-01699-w;FALSE;;;;
University of Eastern Finland;2021;1833,67;10.3390/cancers13040692;FALSE;;;;
University of Eastern Finland;2021;990,18;10.2188/jea.je20200595;FALSE;;;;
University of Eastern Finland;2021;1500,28;10.3390/pharmaceutics13020219;FALSE;;;;
University of Eastern Finland;2021;1114,14;10.12688/f1000research.36775.1;FALSE;;;;
University of Eastern Finland;2021;2290;10.1038/s43247-021-00125-7;FALSE;;;;
University of Eastern Finland;2021;1332,96;10.3390/jimaging7020038;FALSE;;;;
University of Eastern Finland;2021;833,1;10.3390/educsci11020087;FALSE;;;;
University of Eastern Finland;2021;1990;10.21203/rs.3.rs-107882/v1;FALSE;;;;
University of Eastern Finland;2021;1209;10.5194/amt-14-355-2021;FALSE;;;;
University of Eastern Finland;2021;1690;10.1038/s41598-021-84800-x;FALSE;;;;
University of Eastern Finland;2021;2511;10.5194/bg-17-5693-2020;FALSE;;;;
University of Eastern Finland;2021;1492,95;10.3390/f12030293;FALSE;;;;
University of Eastern Finland;2021;1704,03;10.3390/en14041122;FALSE;;;;
University of Eastern Finland;2021;1698,34;10.3390/sym13020356;FALSE;;;;
University of Eastern Finland;2021;2452,61;10.3389/fnins.2021.625167;FALSE;;;;
University of Eastern Finland;2021;1474,60;10.3390/f12030312;FALSE;;;;
University of Eastern Finland;2021;1666,97;10.3390/ijms22041684;FALSE;;;;
University of Eastern Finland;2021;1990;10.1186/s12891-021-04056-4;FALSE;;;;
University of Eastern Finland;2021;860,84;10.1155/2021/6618505;FALSE;;;;
University of Eastern Finland;2021;2040;10.1186/s12891-021-04115-w;FALSE;;;;
